"Company: ","AGCO Corporation (AGCO:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","98.40000000000001","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Machinery","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","7602","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","8572","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","2336.1","2545.9","2922.7","3495.3","5273.3","5449.7","5435","6828.1","8424.6","6516.4","6896.6","8773.200000000001","9962.200000000001","10786.9","9723.700000000001","7467.3","7410.5","8306.5","9352","9041.4","9149.700000000001","11138.3","12651.4","14412.4","14007.6"
"cogs","1959.5","2106.7","2390.9","2878.9","4320.4","4516.1","4507.2","5637.1","6924.9","5444.5","5637.9","6997.1","7839","8396.299999999999","7657.4","5906.7","5895","6541.2","7355.3","7057.1","7092.2","8566","9650.1","10635","10315.3"
"gross_profit","376.6","439.2","531.8","616.4","952.9","933.6","927.8","1191","1499.7","1071.9","1258.7","1776.1","2123.2","2390.6","2066.3","1560.6","1515.5","1765.3","1996.7","1984.3","2057.5","2572.3","3001.3","3777.4","3692.3"
"sga","273.8","303.9","383.7","403","613.5","642.4","541.7","625.7","720.9","630.1","692.1","869.3","1041.2","1088.7","995.4","852.3","864.6","964.7","1069.4","1040.3","1001.5","1088.7","1189.5","1454.5","1474.6"
"rnd","","","","","","","127.9","154.9","194.5","191.9","219.6","275.6","317.1","353.4","337","282.2","297.6","323.4","355.2","343.4","342.6","405.8","444.2","548.8","560.1"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","37","25.6","1.4","2.3","15.8","16.5","188.3","17.9","19.1","18","18.4","21.6","49.3","47.8","41","42.7","51.2","57","64.7","61.1","59.5","61.1","60.1","57.7","56.8"
"total_opex","310.8","329.5","385.1","405.3","629.3","658.9","857.9","798.5","934.5","840","930.1","1166.5","1407.6","1489.9","1373.4","1177.2","1213.4","1345.1","1489.3","1444.8","1403.6","1555.6","1693.8","2061","2091.5"
"operating_income","65.8","109.7","146.7","211.1","323.6","274.7","69.90000000000001","392.5","565.2","231.9","328.6","609.6","715.6","900.7","692.9","383.4","302.1","420.2","507.4","539.5","653.9","1016.7","1307.5","1716.4","1600.8"
"net_interest_income_normal","","","","","","","","-24.1","-33.2","-42.1","-33.3","-30.2","-57.6","-58","-58.4","-45.4","-52.1","-45.1","-53.8","-19.9","-15","-6.7","-13","-4.6","-6"
"other_nonoperating_income","-79.7","-96.3","-120.9","-112.8","-99.2","-114.6","-89.09999999999999","-41.1","-20.3","-35.4","-20.4","-18.4","-57.2","-40.1","-95.5","-58.6","-45.1","-91.3","-93.3","-258.5","-76.90000000000001","-65.7","-187.3","-378.3","-376.8"
"pretax_income","-13.9","13.4","25.8","98.3","224.4","160.1","-19.2","327.3","511.7","154.4","274.9","561","600.8","802.6","539","279.4","204.9","283.8","360.3","261.1","562","944.3","1107.2","1333.5","1218"
"income_tax","7.6","-1.4","-99.8","-41.3","-86.2","-151.1","-73.5","-111.4","-164.6","-57.7","-104.4","-24.6","-137.9","-258.5","-187.7","-72.5","-92.2","-133.6","-110.9","-180.8","-187.7","-108.4","-296.6","-230.4","-179.3"
"net_income_continuing","-6.3","12","-74","57","138.2","9","-92.7","215.9","347.1","96.7","170.5","536.4","462.9","544.1","351.3","206.9","112.7","150.2","249.4","80.3","374.3","835.9","810.6","1103.1","1038.7"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","0.3","0.3","-2","5.7","4.9","6.2","2.4","-0.1","-2.9","1.8","2.4","7.3","-4.5","14.9","0.1","0.1"
