"Company: ","AGNC Investment Corp (AGNC:US)","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","",""
"Last Close Price: ","9.76","","","","","","","","","","","","","","","",""
"Industry: ","Mortgage Real Estate Investment Trusts (REITs)","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","",""
"Market Cap.: ","7160","","","","","","","","","","","","","","","",""
"Enterprise Value: ","6731","","","","","","","","","","","","","","","",""
"period_end_date","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","55.127","127.92","253","1109","2109","2193","1472","1466","1321","1293","1949","2842","1519","1361","1590","2041","2332"
"total_interest_expense","24.937","43.539","76","285","512","536","372","330","394","524","1173","2149","674","75","625","2287","2510"
"net_interest_income","30.19","84.381","177","824","1597","1657","1100","1136","927","769","776","693","845","1286","965","-246","-178"
"total_noninterest_revenue","10.917","45.71","119","-29","-270","-353","-1311","-898","-251","75","-547","78","-1018","-449","-2081","497","1025"
"revenue","41.107","130.091","296","795","1327","1304","-211","238","676","844","229","771","-173","837","-1116","251","847"
"credit_losses_provision","","","","","","","","","","","","","","","","",""
"net_interest_income_after_credit_losses_provision","30.19","84.381","177","824","1597","1657","1100","1136","927","769","776","693","845","1286","965","-246","-178"
"total_noninterest_expense","41.107","11.145","8","19","31","32","22","23","53","73","100","83","93","88","74","96","98"
"pretax_income","","118.946","288","776","1296","1272","-233","215","623","771","129","688","-266","749","-1190","155","749"
"income_tax","","-0.335","","-6","-19","-13","","","","","","","","","","",""
"net_income_continuing","35.352","118.611","288","770","1277","1259","-233","215","623","771","129","688","-266","749","-1190","155","749"
"net_income_discontinued","","","","","","","","","","","","","","","","",""
"net_income","35.352","118.611","288","770","1277","1259","-233","215","623","771","129","688","-266","749","-1190","155","749"
"preferred_dividends","","","","","10","14","23","28","28","32","36","54","96","100","105","123","124"
"net_income_available_to_shareholders","35.352","118.611","288","770","1267","1245","-256","187","595","739","93","634","-362","649","-1295","32","625"
"eps_basic","2.36","6.78","7.89","5.02","4.17","3.28","-0.72","0.54","1.79","2.04","0.21","1.16","-0.66","1.23","-2.41","0.05","0.91"
"eps_diluted","2.36","6.78","7.89","5.02","4.17","3.28","-0.73","0.54","1.79","2.04","0.21","1.16","-0.66","1.22","-2.41","0.05","0.91"
"shares_basic","15","17.507","36.5","153.3","303.9","379.1","353.3","348.6","331.9","358.6","441.1","540.6","551.6","528.1","537","618.4","618.4"
"shares_diluted","15","17.507","36.5","153.3","303.9","379.1","353.3","348.6","331.9","358.7","441.4","541.4","551.6","530","537","619.6","619.6"
"cash_and_equiv","56.012","202.803","173.258","1367","2430","2143","1720","1110","1208","1046","921","831","1017","998","1018","518","518"
"loans_gross","","","","","","","","","","","","","","","","",""
"allowance_for_loan_losses","","","","","","","","","","","","","","","","",""
"loans_net","","","","","","","","","","","","","","","","",""
"total_investments","1573.383","4300.115","13510.28","54726","83710","68541","57977","51502","45863","56447","83897","100168","66119","54684","3677","4242","4242"
"ppe_net","","","","","","","","","","","","","","","","",""
"intangible_assets","","","","","","","","","554","551","","","","","","",""
"goodwill","","","","","","","","","","","526","526","526","526","526","526","526"
"other_lt_assets","26.93","122.766","792.2910000000001","1879","14313","5571","8069","4409","9255","12332","23897","11557","14155","11941","46527","66310","66310"
"total_assets","1656.325","4625.684","14475.829","57972","100453","76255","67766","57021","56880","70376","109241","113082","81817","68149","51748","71596","71596"
"deposits_liability","","","","","","","","","","","","","","","","",""
"st_debt","","","72.92700000000001","","","","","","","","","","","","","",""
"lt_debt","","","","54","937","910","761","4348","3497","357","275","228","177","126","95","80","80"
"other_lt_liabilities","1398.174","4078.862","12830.838","51706","88620","66648","57577","44702","46027","61265","99060","101813","70561","57732","43783","63259","63259"
"total_liabilities","1398.174","4078.862","12903.765","51760","89557","67558","58338","49050","49524","61622","99335","102041","70738","57858","43878","63339","63339"
"common_stock","","","1","2","3","4","4","3","3","4","5","5","5","5","6","7","7"
"preferred_stock","","","","","167","167","336","336","336","484","484","932","1489","1489","1634","1634","1634"
"retained_earnings","-2.31","19.94","78.116","-38","-289","-497","-1674","-2350","-2518","-2562","-3433","-3886","-5106","-5214","-7284","-8148","-8148"
"aoci","-25.606","19.174","-68.60899999999999","311","1555","-1383","430","-66","-397","-345","-943","97","719","301","-672","-517","-517"
"apic","285.917","507.465","1561.908","5937","9460","10406","10332","10048","9932","11173","13793","13893","13972","13710","14186","15281","15281"
"treasury_stock","","","","","","","","","","","","","","","","",""
"other_equity","0.15000000000003","0.24300000000005","-0.35099999999989","","","","","","","","","","","","","",""
"total_equity","258.151","546.822","1572.064","6212","10896","8697","9428","7971","7356","8754","9906","11041","11079","10291","7870","8257","8257"
"total_liabilities_and_equity","1656.325","4625.684","14475.829","57972","100453","76255","67766","57021","56880","70376","109241","113082","81817","68149","51748","71596","71596"
"cfo_net_income","35.352","118.611","288","770","1277","1259","-233","215","623","771","129","688","-266","749","-1190","155","749"
"cfo_da","10.763","26.084","","","","","","","2","3","25","","","","","",""
"cfo_receivables","","-15.986","-33.613","","","","","","","","","","","","","",""
"cfo_inventory","","","","","","","","","","","","","","","","",""
"cfo_prepaid_expenses","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","-3.612","-0.161","9.613","-89","10","301","35","-78","80","163","21","-44","-105","-46","107","12","23"
"cfo_change_in_working_capital","-3.612","-16.147","-24","-89","10","301","35","-78","80","163","21","-44","-105","-46","107","12","23"
"cfo_deferred_tax","","","","","","","","","","","","","","","","",""
"cfo_stock_comp","","0.05","0.09","0.18","","","","","1","4","6","13","18","19","2","11","11"
"cfo_other_noncash_items","-11.821","-35.368","-31.09","388.82","1034","941","1820","1291","646","319","932","523","2100","818","2094","-296","-907"
"cf_cfo","30.682","93.23","233","1070","2321","2501","1622","1428","1352","1260","1113","1180","1747","1540","1013","-118","-124"
"cfi_ppe_net","","","","","","","","","","","","","","","","",""
"cfi_acquisitions_net","","","","","","","","","-555","","","","","","","",""
"cfi_investment_net","-1580.126","-2556.395","-8751","-38796","-20063","-1360","16648","1156","9720","-7871","-17395","-26180","38055","2564","7187","-10162","434"
"cfi_intangibles_net","","","","","","","","","","","","","","","","",""
"cfi_other","11.764","-9.5460000000003","-305","-776","-11118","10235","-4299","2937","-5964","-3190","-10541","11962","-1530","1272","4001","-4510","-2953"
"cf_cfi","-1568.362","-2565.941","-9056","-39572","-31181","8875","12349","4093","3201","-11061","-27936","-14218","36525","3836","11188","-14672","-2519"
"cff_common_stock_net","286.05","221.596","1055","4377","3524","947","-74","-285","-116","1238","2611","87","61","-281","475","1085","1155"
"cff_pfd_net","","","","","167","","169","","","142","","442","557","","145","",""
"cff_debt_net","1346.265","","73","-19","850","-6","-158","3598","-851","-3141","-78","-55","-62","-49","-24","-17","-16"
"cff_dividend_paid","-19.656","-80.31699999999999","-173","-664","-1415","-1659","-1094","-902","-799","-795","-974","-1139","-970","-860","-869","-1005","-1049"
"cff_other","-18.967","2478.223","7838","36002","26797","-10945","-13237","-8542","-3896","12438","25421","13465","-36816","-4985","-11119","14164","1587"
"cf_cff","1593.692","2619.502","8793","39696","29923","-11663","-14394","-6131","-5662","9882","26980","12800","-37230","-6175","-11392","14227","1677"
"ebitda","10.763","145.03","288","776","1296","1272","-233","215","625","774","154","688","-266","749","-1190","155","749"
"earning_assets","1629.395","4502.918","13683.538","56093","86140","70684","59697","52612","47071","57493","84818","100999","67136","55682","4695","4760","6531"
"book_value","258.151","546.822","1572.064","6212","10729","8530","9092","7635","7020","8270","9422","10109","9590","8802","6236","6623","6944"
"tangible_book_value","258.151","546.822","1572.064","6212","10729","8530","9092","7635","6466","7719","8896","9583","9064","8276","5710","6097","6418"
"roa","","0.04","0.03","0.02","0.02","0.01","","","0.01","0.01","","0.01","","0.01","-0.02","","0.01"
"roe","","0.29","0.27","0.2","0.15","0.13","-0.03","0.02","0.08","0.1","0.01","0.07000000000000001","-0.02","0.07000000000000001","-0.13","0.02","0.09"
"ebitda_margin","0.26","1.11","0.97","0.98","0.98","0.98","1.1","0.9","0.92","0.92","0.67","0.89","1.54","0.89","1.07","0.62","0.88"
"pretax_margin","","0.91","0.97","0.98","0.98","0.98","1.1","0.9","0.92","0.91","0.5600000000000001","0.89","1.54","0.89","1.07","0.62","0.88"
"net_income_margin","0.86","0.91","0.97","0.97","0.96","0.97","1.1","0.9","0.92","0.91","0.5600000000000001","0.89","1.54","0.89","1.07","0.62","0.88"
