"Company: ","ANSYS Inc (ANSS:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","324.38","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Software","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","28318","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","28001","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","74.467","84.836","91.011","113.535","134.539","158.036","263.64","385.34","478.339","516.885","580.236","691.449","798.018","861.26","936.021","942.753","988.465","1095.25","1293.636","1515.892","1681.297","1906.715","2065.553","2269.949","2227.107"
"cogs","6.586","11.353","11.76","18.477","18.277","24.039","56.727","78.047","91.414","97.236","100.879","119.014","139.516","146.692","153.386","147.246","146.86","150.164","155.885","166.273","225.264","257.984","250.641","271.298","272.313"
"gross_profit","67.881","73.483","79.251","95.05800000000001","116.262","133.997","206.913","307.293","386.925","419.649","479.357","572.4349999999999","658.502","714.568","782.635","795.5069999999999","841.605","945.086","1137.751","1349.619","1456.033","1648.731","1814.912","1998.651","1954.794"
"sga","29.467","32.771","30.283","36.866","39.824","43.285","86.901","115.108","134.887","137.264","155.096","180.357","205.178","218.907","246.376","253.603","269.515","338.64","413.58","521.2","587.707","715.377","772.871","855.135","886.194"
"rnd","14.502","16.893","19.605","23.792","26.281","30.688","49.406","56.481","71.59399999999999","79.85599999999999","88.98999999999999","108.53","132.628","151.439","165.421","168.831","183.093","202.746","233.802","298.21","355.371","404.87","433.661","494.869","503.345"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","4.333","5.271","2.289","1.055","21.149","1.184","6.35","8.935","10.713","16.326","16.003","17.989","26.443","22.359","23.388","19.394","12.755","12.972","13.795","15.169","16.599","15.213","15.722","22.512","23.476"
"total_opex","48.302","54.935","52.177","61.713","87.254","75.157","142.657","180.524","217.194","233.446","260.089","306.876","364.249","392.705","435.185","441.828","465.363","554.3579999999999","661.177","834.579","959.677","1135.46","1222.254","1372.516","1413.015"
"operating_income","19.579","18.548","27.074","33.345","29.008","58.84","64.256","126.769","169.731","186.203","219.268","265.559","294.253","321.863","347.45","353.679","376.242","390.728","476.574","515.04","496.356","513.271","592.658","626.135","541.779"
"net_interest_income_normal","","","","","","","","","-3.767","-8.661","-2.577","-0.332","0.699","1.672","2.223","2.829","4.209","6.876","11.36","9.335000000000001","-5.915","-10.327","-17.009","-27.557","-22.251"
"other_nonoperating_income","3.579","1.434","0.311","-2.671","18.893","4.271","-31.195","-2.506","0.727","-4.013","-0.297","-0.369","-1.405","-1.046","-1.534","0.257","-0.136","-1.91","-0.849","-1.792","3.484","12.41","-0.334","-6.44","-7.27"
"pretax_income","23.158","19.982","27.385","30.674","47.901","63.111","33.061","124.263","166.691","173.529","216.394","264.858","293.547","322.489","348.139","356.765","380.315","395.694","487.085","522.583","493.925","515.354","575.3150000000001","592.138","512.258"
"income_tax","-6.848","-6.29","-8.426","-9.361000000000001","-13.334","-19.208","-18.905","-41.871","-55.02","-57.138","-63.262","-84.18300000000001","-90.06399999999999","-77.16200000000001","-93.449","-104.244","-114.679","-136.443","-67.70999999999999","-71.288","-60.038","-60.727","-51.605","-91.726","-77.69"
"net_income_continuing","16.31","13.692","18.959","21.313","34.567","43.903","14.156","82.392","111.671","116.391","153.132","180.675","203.483","245.327","254.69","252.521","265.636","259.251","419.375","451.295","433.887","454.627","523.71","500.412","434.568"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","-3.5527136788005E-15","","-3.5527136788005E-15","","-7.105427357601E-15","","1.7763568394003E-15","","1.4210854715202E-14","1.4210854715202E-14","","","-2.8421709430404E-14","2.8421709430404E-14","","","5.6843418860808E-14","","","5.6843418860808E-14","","-5.6843418860808E-14","","-5.6843418860808E-14","-1.4210854715202E-14"
"net_income","16.31","13.692","18.959","21.313","34.567","43.903","14.156","82.392","111.671","116.391","153.132","180.675","203.483","245.327","254.69","252.521","265.636","259.251","419.375","451.295","433.887","454.627","523.71","500.412","434.568"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","16.31","13.692","18.959","21.313","34.567","43.903","14.156","82.392","111.671","116.391","153.132","180.675","203.483","245.327","254.69","252.521","265.636","259.251","419.375","451.295","433.887","454.627","523.71","500.412","434.568"
"eps_basic","0.26","0.24","0.33","0.36","0.5600000000000001","0.6899999999999999","0.19","1.06","1.35","1.32","1.69","1.96","2.2","2.65","2.77","2.82","3.05","3.05","4.99","5.36","5.05","5.22","6.02","5.76","5"
"eps_diluted","0.25","0.22","0.31","0.34","0.53","0.65","0.19","1.02","1.29","1.27","1.64","1.91","2.14","2.58","2.7","2.76","2.99","2.98","4.88","5.25","4.97","5.16","5.99","5.73","4.99"
"shares_basic","63.216","58.216","58.392","59.832","61.91","63.628","72.68600000000001","77.792","82.97499999999999","88.486","90.684","92.12","92.622","92.691","92.06699999999999","89.56100000000001","87.227","84.988","83.973","84.259","85.84","87.09999999999999","87.051","86.833","86.833"
"shares_diluted","65.07599999999999","61.752","62.376","63.752","65.956","67.384","76.398","81.13500000000001","86.768","91.785","93.209","94.381","94.95399999999999","95.139","94.194","91.502","88.96899999999999","86.854","85.913","85.925","87.288","88.102","87.48999999999999","87.386","87.386"
