"Company: ","APA Corporation (APA:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","29","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Oil, Gas & Consumable Fuels","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","10890","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","15966","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","2283.904","2777.126","2559.748","4190.299","5332.577","7584.244","8074.253","9961.982","12389.75","8615","12183","16810","16428","14771","12795","6510","5367","5887","7705","6491","4435","7985","11075","8279","8222"
"cogs","255.251","407.133","500.691","760.123","946.639","1140.735","1443.099","1790.262","2066.116","143","5293","7105","9960","8804","7037","5365","4312","3859","4532","4575","3530","4445","4820","4052","4120"
"gross_profit","2028.653","2369.993","2059.057","3430.176","4385.938","6443.509","6631.154","8171.72","10323.634","8472","6890","9705","6468","5967","5758","1145","1055","2028","3173","1916","905","3540","6255","4227","4102"
"sga","75.61499999999999","88.70999999999999","104.588","138.524","173.194","198.272","211.334","275.065","288.794","344","380","459","515","481","453","380","410","395","431","406","290","376","483","351","379"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","642.7190000000001","893.1180000000001","908.826","1197.242","1315.9","1868.94","2414.286","2945.438","8845.938","7560","892","975","831","1316","2945","3100","789","921","773","1065","442","244","542","500","489"
"total_opex","718.3339999999999","981.828","1013.414","1335.766","1489.094","2067.212","2625.62","3220.503","9134.732","7904","1272","1434","1346","1797","3398","3480","1199","1316","1204","1471","732","620","1025","851","868"
"operating_income","1310.319","1388.165","1045.643","2094.41","2896.844","4376.297","4005.534","4951.217","1188.902","568","5618","8271","5122","4170","2360","-2335","-144","712","1969","445","173","2920","5230","3376","3234"
"net_interest_income_normal","","","","","","","","","-256.51","-242","-229","-158","-172","-245","-413","-472","-416","-396","-384","-387","-427","-410","-312","-321","-316"
"other_nonoperating_income","-114.177","-188.911","-146.673","-172.153","-233.761","-170.043","4.061","-278.605","","","-183","-20","-110","-17","-8777","-9362","-1122","602","-627","-3066","-4586","-619","816","-172","-398"
"pretax_income","1196.142","1199.254","898.97","1922.257","2663.083","4206.254","4009.595","4672.612","932.3920000000001","326","5206","8093","4840","3908","-6830","-12169","-1682","918","958","-3008","-4840","1891","5734","2883","2520"
"income_tax","-483.086","-475.855","-344.641","-827.004","-993.0119999999999","-1582.524","-1457.144","-1860.254","-220.438","-611","-2174","-3509","-2853","-1928","518","1010","442","585","-672","-674","-64","-578","-1652","324","573"
"net_income_continuing","713.056","723.399","554.329","1095.253","1670.071","2623.73","2552.451","2812.358","711.954","-285","3032","4584","1987","1980","-6312","-11159","-1240","1503","286","-3682","-4904","1313","4082","3207","3093"
"net_income_discontinued","","","","","","","","","","","","","14","308","-1707","492","-33","","","","","","","",""
"income_allocated_to_minority_interest","","-7.609","","","","","","","","","","","","-56","-341","315","-132","-199","-246","167","120","-178","-478","-352","-348"
"other_income_statement_items","","7.6090000000002","","26.632","-1.3170000000002","","","","-1.1368683772162E-13","","","","","","","","","","","","","","","",""
"net_income","713.056","723.399","554.329","1121.885","1668.754","2623.73","2552.451","2812.358","711.954","-285","3032","4584","2001","2232","-8360","-10352","-1405","1304","40","-3515","-4784","1135","3604","2855","2745"
"preferred_dividends","19.988","19.601","10.815","5.68","5.68","5.68","5.68","5.68","5.68","7","32","76","76","44","","","","","","","","","","",""
"net_income_available_to_shareholders","693.068","703.798","543.514","1116.205","1663.074","2618.05","2546.771","2806.678","706.274","-292","3000","4508","1925","2188","-8360","-10352","-1405","1304","40","-3515","-4784","1135","3604","2855","2745"
"eps_basic","2.54","2.33","1.83","3.46","5.1","7.96","7.72","8.449999999999999","2.11","-0.87","8.529999999999999","11.75","4.95","5.53","-21.76","-27.4","-3.71","3.42","0.11","-9.43","-12.86","2.6","11.05","9.26","8.960000000000001"
"eps_diluted","2.46","2.25","1.8","3.43","5.03","7.84","7.64","8.390000000000001","2.09","-0.87","8.460000000000001","11.47","4.92","5.5","-21.76","-27.4","-3.71","3.41","0.11","-9.43","-12.86","2.59","11.02","9.25","8.94"
"shares_basic","272.861","302.245","297.002","322.603","326.093","328.901","329.893","332.151","334.351","336","352","384","389","395","384","378","379","381","382","377","378","374","332","308","308"
"shares_diluted","281.735","312.468","301.952","325.424","330.631","333.935","333.347","334.527","337.191","336","359","400","391","406","384","378","379","383","384","377","378","375","333","309","309"
"cash_and_equiv","37.173","35.625","51.886","33.503","111.093","228.86","140.524","125.823","1181.45","2048","134","295","160","1906","769","1467","1377","1668","714","247","262","302","245","87","87"
"st_investments","","102.95","","","","","","","791.999","","","","","","","","","","","","","","","",""
"receivables","506.723","456.638","527.687","639.0549999999999","939.736","1444.545","1651.664","1936.977","1356.979","1546","2134","3079","3086","2952","2024","1253","1128","1345","1194","1062","908","1394","1466","1610","1610"
"inventories","54.764","102.536","109.204","125.867","157.293","209.67","320.386","461.211","498.567","533","564","655","908","891","708","570","476","368","401","502","492","473","427","453","453"
"other_current_assets","31.36","","78.004","100.647","140.66","279.002","377.697","228.24","621.979","459","648","774","808","617","2914","462","260","344","378","150","184","211","570","312","312"
"total_current_assets","630.02","697.749","766.7809999999999","899.072","1348.782","2162.077","2490.271","2752.251","4450.974","4586","3480","4803","4962","6366","6415","3752","3241","3725","2687","1961","1846","2380","2708","2462","2462"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","121","1258","1555","1365","624","437","437"
"ppe_gross","11094.624","13148.203","14462.687","18140.808","21961.405","26304.942","32476.888","38708.038","45276.406","49428","67746","79219","94147","100427","103458","46843","46749","44141","47542","43962","44493","42773","43624","46159","46159"
"accumulated_depreciation","-4282.162","-5135.131","-5997.102","-6880.723","-8101.046","-9513.602000000001","-11130.636","-13476.445","-21317.889","-26527","-29595","-33771","-40867","-48006","-55382","-26005","-27882","-26382","-29121","-29804","-35674","-34438","-34612","-36121","-36121"
"ppe_net","6812.462","8013.072","8465.584999999999","11260.085","13860.359","16791.34","21346.252","25231.593","23958.517","22901","38151","45448","53280","52421","48076","20838","18867","17759","18421","14158","8819","8335","9012","10038","10038"
"intangible_assets","","0.0020000000000095","189.252","189.252","189.252","0.0020000000000095","0.0020000000000095","0.0020000000000095","0.0020000000000095","","","","","","","","","","","","","","","",""
"goodwill","","188.81","","","","189.25","189.25","189.25","189.25","189","1032","1114","1289","1369","","","","","","","","","","",""
"other_lt_assets","39.468","34.023000000001","38.23300000000199","67.71700000000099","104.087","129.127","282.4","461.555","587.742","510","762","686","1206","1481","1461","910","411","438","353","730","526","1223","803","2307","2307"
"total_assets","7481.95","8933.656000000001","9459.851000000001","12416.126","15502.48","19271.796","24308.175","28634.651","29186.485","28186","43425","52051","60737","61637","55952","25500","22519","21922","21582","18107","12746","13303","13147","15244","15244"
"accounts_payable","259.12","179.778","214.288","300.598","542.074","714.598","644.889","617.937","548.9450000000001","397","779","1048","1092","1616","1210","618","585","641","709","695","444","731","771","658","658"
"tax_payable","","","","","","","","","","","","817","350","248","54","47","22","55","58","51","25","28","90","138","138"
"current_accrued_liabilities","","","","","616.057","804.551","766.265","1036.531","1133.39","1013","1816","1786","2163","1933","1929","920","718","1019","950","614","398","443","575","626","626"
"st_debt","25","342.68","","","","0.274","1802.094","215.074","112.598","117","46","431","990","53","","1","","550","151","11","2","215","2","2","2"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","269.227","","317.947","519.78","124.76","667.141","598.364","795.474","725.502","866","883","881","941","850","471","255","518","299","333","315","323","601","1311","864","864"
"total_current_liabilities","553.347","522.458","532.235","820.378","1282.891","2186.564","3811.612","2665.016","2520.435","2393","3524","4963","5536","4700","3664","1841","1843","2564","2201","1855","1308","2117","2916","2404","2404"
"lt_debt","2193.258","2244.357","2158.815","2326.966","2588.39","2191.954","2019.831","4011.605","4808.975","4950","8095","6785","11355","9672","11245","8716","8544","7934","8093","8555","8770","7295","5451","5186","5186"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","","","","","",""
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","699.833","991.723","1120.609","1697.238","2146.637","2580.629","","","3166.657","2765","4249","7197","8024","8364","9499","2529","1710","545","391","346","215","148","314","371","371"
"other_lt_liabilities","280.872","315.952","723.912","1038.746","1280.141","1771.434","5285.679","6580.051","2181.697","2299","3180","4113","4491","3508","3407","2924","2743","2088","2085","2886","3098","4460","3121","3592","3592"
"total_liabilities","3727.31","4074.49","4535.571","5883.328","7298.059","8730.581","11117.122","13256.672","12677.764","12407","19048","23058","29406","26244","27815","16010","14840","13131","12770","13642","13391","14020","11802","11553","11553"
"common_stock","158","176","194","208","209","211","212","213","214","215","240","241","245","255","256","257","258","259","260","261","262","262","262","263","263"
"preferred_stock","306.594","306.594","98.387","98.387","98.387","98.387","98.387","98.387","98.387","","1227","1227","1227","","","","","","","","","","","",""
"retained_earnings","1226.531","1336.478","1427.607","2445.698","4017.339","6516.863","8898.576999999999","11457.592","11929.827","11437","14223","18500","20161","22032","16249","-1980","-3385","-2088","-2048","-5601","-10461","-9488","-5814","-2959","-2959"
"aoci","-40.232","-101.817","-112.936","-151.943","-129.482","-365.608","-31.332","-520.211","21.764","-290","-141","-9","-131","-115","-116","-119","-112","4","4","16","14","22","14","15","15"
"apic","2173.183","2812.648","3427.45","4038.007","4106.182","4170.714","4269.795","4367.149","4472.826","4634","8864","9066","9859","12251","12438","12619","12364","12128","12106","11769","11735","11645","11420","11126","11126"
"treasury_stock","-69.562","-111.885","-110.559","-105.169","-97.325","-89.764","-256.739","-238.264","-228.304","-217","-36","-32","-30","-1027","-2890","-2889","-2887","-2887","-3192","-3190","-3189","-4036","-5459","-5790","-5790"
"other_equity","0.12599999999975","0.46500000000015","0.33100000000013","-0.18199999999979","0.32000000000153","-0.37700000000041","0.36499999999978","0.32599999999729","0.22100000000137","","","","","","","","","","","","","","","",""
"minority_interest_liability","","440.683","","","","","","","","","","","","1997","2200","1602","1441","1375","1682","1210","994","878","922","1036","1036"
"total_equity","3754.64","4859.166","4924.28","6532.798","8204.421","10541.215","13191.053","15377.979","16508.721","15779","24377","28993","31331","35393","28137","9490","7679","8791","8812","4465","-645","-717","1345","3691","3691"
