"Company: ","AbbVie Inc (ABBV:US)","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","",""
"Last Close Price: ","170.75","","","","","","","","","","","","","","",""
"Industry: ","Biotechnology","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","",""
"Market Cap.: ","305036","","","","","","","","","","","","","","",""
"Enterprise Value: ","350772","","","","","","","","","","","","","","",""
"period_end_date","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","14214.196","15638","17444","18380","18790","19960","22859","25638","28216","32753","33266","45804","56197","58054","54318","54403"
"cogs","4056.39","4293","4639","4508","4581","4426","4500","5832","7042","7718","7439","15387","17446","17414","20415","20523"
"gross_profit","10157.806","11345","12805","13872","14209","15534","18359","19806","21174","25035","25827","30417","38751","40640","33903","33880"
"sga","3348.572","3820","5894","4989","5352","7724","6387","5881","6295","7399","6942","11299","12349","15260","12872","13148"
"rnd","1707.44","2495","2618","2778","2855","3297","4285","4385","5007","10329","6407","6379","6922","6510","7675","7322"
"special_charges","","","","","","","","","","","","","","","",""
"other_opex","","","","","","750","","","","500","-890","","432","56","-179","-169"
"total_opex","5056.012","6315","8512","7767","8207","11771","10672","10266","11302","18228","12459","17678","19703","21826","20368","20301"
"operating_income","5101.794","5030","4293","6105","6002","3763","7687","9540","9872","6807","13368","12739","19048","18814","13535","13579"
"net_interest_income_normal","","28","20","-84","-278","-391","-686","-965","-1004","-1144","-1509","-2280","-2384","-2044","-1684","-1683"
"other_nonoperating_income","848.523","-222","-645","-296","-392","-1003","-356","-691","-1141","-466","-3433","-7061","-3675","-3293","-5601","-4366"
"pretax_income","5950.317","4836","3668","5725","5332","2369","6645","7884","7727","5197","8426","3398","12989","13477","6250","7530"
"income_tax","-1313.802","-658","-235","-450","-1204","-595","-1501","-1931","-2418","490","-544","1224","-1440","-1632","-1377","-1526"
"net_income_continuing","4636.515","4178","3433","5275","4128","1774","5144","5953","5309","5687","7882","4622","11549","11845","4873","6004"
"net_income_discontinued","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","-6","-7","-9","-10","-11"
"other_income_statement_items","","","","","","","","","","","","","","","",""
"net_income","4636.515","4178","3433","5275","4128","1774","5144","5953","5309","5687","7882","4616","11542","11836","4863","5993"
"preferred_dividends","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","4636.515","4178","3433","5275","4128","1774","5144","5953","5309","5687","7882","4616","11542","11836","4863","5993"
"eps_basic","2.87","2.59","2.12","3.35","2.58","1.11","3.15","3.65","3.31","3.67","5.3","2.73","6.48","6.65","2.73","3.38"
"eps_diluted","2.85","2.57","2.11","3.35","2.56","1.1","3.13","3.63","3.3","3.66","5.28","2.72","6.45","6.63","2.72","3.37"
"shares_basic","1616","1616","1616","1577","1589","1595","1625","1622","1596","1541","1481","1667","1770","1771","1768","1768"
"shares_diluted","1625","1625","1625","1577","1604","1610","1637","1631","1603","1546","1484","1673","1777","1778","1773","1773"
"cash_and_equiv","","9.644","27","5901","9595","8348","8399","5100","9303","7289","39924","8449","9746","9201","12814","12814"
"st_investments","","1.131","626","2075","300","26","8","1323","486","772","","30","84","28","2","2"
"receivables","","3373.104","3817","4298","4803","3735","4730","4758","5088","5384","5428","8822","9977","11254","11155","11155"
"inventories","","836.27","872","1091","1150","1124","1719","1444","1605","1605","1813","3310","3128","3579","4099","4099"
"other_current_assets","","3998.344","2012","1989","2000","2848","1458","3562","4741","1895","2354","3562","4993","4401","4932","4932"
"total_current_assets","","8218.493","7354","15354","17848","16081","16314","16187","21223","16945","49519","24173","27928","28463","33002","33002"
"equity_and_other_investments","","137.36","229","119","118","92","145","1783","2090","1420","93","293","277","241","304","304"
"ppe_gross","","6101.926","5948","6542","6909","7105","7334","7526","8071","8396","8188","10859","10727","10986","11635","11635"
"accumulated_depreciation","","-3744.363","-3804","-4295","-4611","-4620","-4769","-4922","-5268","-5513","-5226","-5611","-5617","-6051","-6646","-6646"
"ppe_net","","2357.563","2144","2247","2298","2485","2565","2604","2803","2883","2962","5248","5110","4935","4989","4989"
"intangible_assets","","3691.18","2910","2323","1890","1513","19709","28897","27559","21233","18649","82876","75951","67439","55610","55610"
"goodwill","","6197.18","6100","6130","6277","5862","13168","15416","15785","15663","15604","33124","32379","32156","32293","32293"
"other_lt_assets","","532.929","784","835","767","1480","1149","1212","1326","1208","2288","4851","4884","5571","8513","8513"
"total_assets","","21134.705","19521","27008","29198","27513","53050","66099","70786","59352","89115","150565","146529","138805","134711","134711"
"accounts_payable","","356.784","417","556","933","1401","1597","1407","1474","1546","1452","2276","2882","2934","3688","3688"
"tax_payable","","","","","","","","","","","","","","","",""
"current_accrued_liabilities","","1556.106","5464","4255","3996","4762","5942","6944","7609","8778","8609","15548","17274","19788","24179","24179"
"st_debt","","","16","1042","431","4439","2431","402","6415","5308","3753","8502","12495","4136","7191","7191"
"current_deferred_revenue","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","",""
"other_current_liabilities","","1848.358","","923","1519","791","924","1028","1143","1607","1771","2335","2543","2680","2783","2783"
"total_current_liabilities","","3761.248","5897","6776","6879","11393","10894","9781","16641","17239","15585","28661","35194","29538","37841","37841"
"lt_debt","","","32","14630","14292","10538","29240","36440","30953","35002","62975","77554","64189","59135","52194","52194"
"noncurrent_capital_leases","","","","","","","","","","","","","","","",""
"pension_liabilities","","","397","979","1628","2220","1949","2085","2740","1840","2949","3413","3153","1638","1538","1538"
"noncurrent_deferred_revenue","","","646","360","570","159","5276","6890","2490","1067","1130","3646","3009","2190","1952","1952"
"other_lt_liabilities","","1670.458","617","900","1337","1461","1746","6267","12865","12650","14648","24194","25548","29017","30789","30789"
"total_liabilities","","5431.706","7589","23645","24706","25771","49105","61463","65689","67798","97287","137468","131093","121518","124314","124314"
"common_stock","","","11957","3713","16","16","17","18","18","18","18","18","18","18","18","18"
"preferred_stock","","","","","","","","","","","","","","","",""
"retained_earnings","","","","","1567","535","2248","4378","5459","3368","4717","1055","3127","4784","-1000","-1000"
"aoci","","288.289","-25","-350","-442","-2031","-2561","-2586","-2727","-2480","-3596","-3117","-2899","-2199","-2305","-2305"
"apic","","","","","3671","4194","13080","13678","14270","14756","15193","17384","18305","19245","20180","20180"
"treasury_stock","","","","","-320","-972","-8839","-10852","-11923","-24108","-24504","-2264","-3143","-4594","-6533","-6533"
"other_equity","","15414.71","","","","","","","","","","","","","",""
"minority_interest_liability","","","","","","","","","","","","21","28","33","37","37"
"total_equity","","15702.999","11932","3363","4492","1742","3945","4636","5097","-8446","-8172","13097","15436","17287","10397","10397"
"total_liabilities_and_equity","","21134.705","19521","27008","29198","27513","53050","66099","70786","59352","89115","150565","146529","138805","134711","134711"
"cfo_net_income","4636.515","4178","3433","5275","4128","1774","5144","5953","5309","5687","7882","4622","11549","11845","4873","6004"
"cfo_da","697.492","1184","1272","1150","897","786","836","1189","1501","1765","2017","6471","8521","8467","8698","8645"
"cfo_receivables","-322.193","-60","-498","223","681","-172","-1076","-71","-391","-591","-74","-929","-1321","-1455","66","-441"
"cfo_inventory","165.347","-73","-87","-203","-56","-203","-434","-38","93","-226","-231","-40","-142","-686","-417","-307"
"cfo_prepaid_expenses","450.263","-38","-206","90","459","-220","511","-393","-118","-200","-225","134","-197","-264","-188","263"
"cfo_other_working_capital","210.324","-695","1497","-731","-426","-193","1503","-1187","425","1408","-921","941","429","2311","3352","4356"
"cfo_change_in_working_capital","503.741","-866","706","-621","658","-788","504","-1689","9","391","-1451","106","-1231","-94","2813","3871"
"cfo_deferred_tax","","","","","","","","","1242","-1093","122","-2325","-898","-1931","-2889","-3011"
"cfo_stock_comp","156.72","167","163","187","212","241","282","353","365","421","430","753","692","671","747","782"
"cfo_other_noncash_items","-627.1319999999999","313","673","354","372","1536","769","1235","1534","6256","4324","7961","4144","5985","8597","6395"
"cf_cfo","5367.336","4976","6247","6345","6267","3549","7535","7041","9960","13427","13324","17588","22777","24943","22839","22686"
"cfi_ppe_net","-312.565","-448","-356","-333","-491","-612","-532","-479","-529","-638","-552","-798","-787","-695","-777","-795"
"cfi_acquisitions_net","-170","-2621","-273","-688","-405","-622","-12452","-2757","-308","-736","-1135","-39610","-1902","-794","-1223","-10259"
"cfi_investment_net","-4.207","-92","-688","-1397","1775","308","48","-2956","563","368","2116","1464","-21","92","-22","-25"
"cfi_intangibles_net","","","","","","","","","","","","","","","",""
"cfi_other","0.41699999999997","-1870","1870","","","","","118","","","167","1387","366","774","13","-19"
"cf_cfi","-486.355","-5031","553","-2418","879","-926","-12936","-6074","-274","-1006","596","-37557","-2344","-623","-2009","-11098"
"cff_common_stock_net","","","","","-320","-665","-7586","-6033","-1410","-12014","-629","-978","-934","-1487","-1972","-1341"
"cff_pfd_net","","","","","","","","","","","","","","","",""
"cff_debt_net","-34.766","","","15586","-601","-5","16623","5594","-2","3229","26247","-2683","-8414","-12433","-4149","12065"
"cff_dividend_paid","","","","","-2555","-2661","-3294","-3717","-4107","-5580","-6366","-7716","-9261","-10043","-10539","-10650"
"cff_other","-4846.385","65","-6783","-13655","34","38","9","228","7","-31","-544","-124","-430","-840","-562","-285"
"cf_cff","-4881.151","65","-6783","1931","-3442","-3293","5752","-3928","-5512","-14396","18708","-11501","-19039","-24803","-17222","-211"
"ebitda","5799.286","6214","5565","7255","6899","4549","8523","10729","11373","8572","15385","19210","27569","27281","22233","22224"
"capex","-312.565","-448","-356","-333","-491","-612","-532","-479","-529","-638","-552","-798","-787","-695","-777","-795"
"fcf","5054.771","4528","5891","6012","5776","2937","7003","6562","9431","12789","12772","16790","21990","24248","22062","21891"
"book_value","","15702.999","11932","3363","4492","1742","3945","4636","5097","-8446","-8172","13097","15436","17287","10397","8047"
"tangible_book_value","","5814.639","2922","-5090","-3675","-5633","-28932","-39677","-38247","-45342","-42425","-102903","-92894","-82308","-77506","-87604"
"roa","","0.4","0.17","0.23","0.15","0.06","0.13","0.1","0.08","0.09","0.11","0.04","0.08","0.08","0.04","0.04"
"roe","","0.53","0.25","0.6899999999999999","1.05","0.57","1.81","1.39","1.09","-3.4","-0.95","1.87","0.8100000000000001","0.72","0.35","0.5600000000000001"
"roic","","0.53","0.25","0.34","0.22","0.1","0.2","0.15","0.13","0.15","0.17","0.06","0.12","0.14","0.06","0.08"
"roce","","0.58","0.28","0.35","0.27","0.17","0.24","0.19","0.17","0.13","0.21","0.12","0.15","0.16","0.12","0.12"
"rotce","","1.34","0.71","0.7","0.44","0.27","0.62","0.79","0.67","0.49","0.5","0.44","1.27","1.28","0.9","0.79"
"gross_margin","0.71","0.73","0.73","0.75","0.76","0.78","0.8","0.77","0.75","0.76","0.78","0.66","0.6899999999999999","0.7","0.62","0.62"
"ebitda_margin","0.41","0.4","0.32","0.39","0.37","0.23","0.37","0.42","0.4","0.26","0.46","0.42","0.49","0.47","0.41","0.41"
"operating_margin","0.36","0.32","0.25","0.33","0.32","0.19","0.34","0.37","0.35","0.21","0.4","0.28","0.34","0.32","0.25","0.25"
"pretax_margin","0.42","0.31","0.21","0.31","0.28","0.12","0.29","0.31","0.27","0.16","0.25","0.07000000000000001","0.23","0.23","0.12","0.14"
"net_income_margin","0.33","0.27","0.2","0.29","0.22","0.09","0.23","0.23","0.19","0.17","0.24","0.1","0.21","0.2","0.09","0.11"
"fcf_margin","0.36","0.29","0.34","0.33","0.31","0.15","0.31","0.26","0.33","0.39","0.38","0.37","0.39","0.42","0.41","0.4"
"assets_to_equity","","1.35","1.64","8.029999999999999","6.5","15.79","13.45","14.26","13.89","-7.03","-10.9","11.5","9.49","8.029999999999999","12.96","18.5"
"equity_to_assets","","0.74","0.61","0.12","0.15","0.06","0.07000000000000001","0.07000000000000001","0.07000000000000001","-0.14","-0.09","0.09","0.11","0.12","0.08","0.05"
"debt_to_equity","","","","4.66","3.28","8.6","8.029999999999999","7.95","7.33","-4.77","-8.17","6.57","4.97","3.66","5.71","9.199999999999999"
"debt_to_assets","","","","0.58","0.5","0.54","0.6","0.5600000000000001","0.53","0.68","0.75","0.57","0.52","0.46","0.44","0.5"
"revenue_per_share","8.75","9.619999999999999","10.73","11.66","11.71","12.4","13.96","15.72","17.6","21.19","22.42","27.38","31.62","32.65","30.64","30.69"
"ebitda_per_share","3.57","3.82","3.42","4.6","4.3","2.83","5.21","6.58","7.09","5.54","10.37","11.48","15.51","15.34","12.54","12.54"
"operating_income_per_share","3.14","3.1","2.64","3.87","3.74","2.34","4.7","5.85","6.16","4.4","9.01","7.61","10.72","10.58","7.63","7.66"
"pretax_income_per_share","3.66","2.98","2.26","3.63","3.32","1.47","4.06","4.83","4.82","3.36","5.68","2.03","7.31","7.58","3.53","4.25"
"fcf_per_share","3.11","2.79","3.63","3.81","3.6","1.82","4.28","4.02","5.88","8.27","8.609999999999999","10.04","12.37","13.64","12.44","12.35"
