"Company: ","Abbott Laboratories (ABT:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","105.49","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Health Care Equipment & Supplies","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","183183","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","189108","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","13745.916","16285.246","15279.537","17280.333","19680.016","22337.808","22476.322","25914.238","29527.552","30764.707","35166.721","21407","19050","19657","20247","20405","20853","27390","30578","31904","34608","43075","43653","40109","40326"
"cogs","6238.646","7748.382","6820.501","7774.239","8884.156999999999","10641.111","9815.147000000001","11422.046","12612.022","13209.329","14665.192","10017","8899","9193","9218","8747","9094","12409","12706","13231","15003","18537","19142","17975","18107"
"gross_profit","7507.27","8536.864","8459.036","9506.093999999999","10795.859","11696.697","12661.175","14492.192","16915.53","17555.378","20501.529","11390","10151","10464","11029","11658","11759","14981","17872","18673","19605","24538","24511","22134","22219"
"sga","2894.178","3734.88","3724.855","4808.09","4921.78","5496.123","6349.685","7407.998","8435.624","8405.904","10376.324","7365","6735","6372","6530","6785","6736","9182","9744","9765","9696","11324","11248","10949","11146"
"rnd","1351.024","1577.552","1474.537","1623.752","1696.753","1821.175","2255.271","2505.649","2688.811","2913.733","3724.424","1512","1461","1371","1345","1405","1447","2260","2300","2440","2420","2742","2888","2741","2771"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","-138.507","","","","","","","","","","","884","595","588","555","601","550","1975","2178","1936","2132","2047","2013","1966","1947"
"total_opex","4106.695","5312.432","5199.392","6431.842","6618.533","7317.298","8604.956","9913.647000000001","11124.435","11319.637","14100.748","9761","8791","8331","8430","8791","8733","13417","14222","14141","14248","16113","16149","15656","15864"
"operating_income","3400.575","3224.432","3259.644","3074.252","4177.326","4379.399","4056.219","4578.545","5791.095","6235.741","6400.781","1629","1360","2133","2599","2867","3026","1564","3650","4532","5357","8425","8362","6478","6355"
"net_interest_income_normal","","","","","","","","","-327.245","-381.877","-447.682","-294","-261","-78","-73","-58","-332","-780","-721","-576","-500","-490","-375","-252","-261"
"other_nonoperating_income","415.832","-1341.284","61.343","312.899","-51.726","240.521","-1779.849","-108.897","392.436","1339.91","-240.265","-99","-1319","-14","-8","374","-1281","1447","-56","121","111","276","319","438","444"
"pretax_income","3816.407","1883.148","3320.987","3387.151","4125.6","4619.92","2276.37","4469.648","5856.286","7193.774","5712.834","1236","-220","2041","2518","3183","1413","2231","2873","4077","4968","8211","8306","6664","6538"
"income_tax","-1030.43","-332.758","-773.982","-882.426","-949.764","-1247.855","-559.615","-863.3339999999999","-1122.07","-1447.936","-1086.662","-110","457","-53","-797","-577","-350","-1878","-539","-390","-497","-1140","-1373","-941","-908"
"net_income_continuing","2785.977","1550.39","2547.005","2504.725","3175.836","3372.065","1716.755","3606.314","4734.216","5745.838","4626.172","1126","237","1988","1721","2606","1063","353","2334","3687","4471","7071","6933","5723","5630"
"net_income_discontinued","","","246.698","248.508","60.015","","","","146.503","","","3602","5726","588","563","1817","337","124","34","","24","","","",""
