"Company: ","Agilent Technologies Inc (A:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","134.69","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Life Sciences Tools & Services","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","39411","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","39876","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-10","2001-10","2002-10","2003-10","2004-10","2005-10","2006-10","2007-10","2008-10","2009-10","2010-10","2011-10","2012-10","2013-10","2014-10","2015-10","2016-10","2017-10","2018-10","2019-10","2020-10","2021-10","2022-10","2023-10","TTM"
"revenue","9361","8396","6010","4468","4556","4685","4973","5420","5774","4481","5444","6615","6858","3894","4048","4038","4202","4472","4914","5163","5339","6319","6848","6833","6591"
"cogs","4586","4890","3694","2633","2392","2321","2315","2451","2578","2189","2514","3086","3254","1987","2072","1997","2005","2073","2234","2358","2502","2912","3126","3368","3254"
"gross_profit","4775","3506","2316","1835","2164","2364","2658","2969","3196","2292","2930","3529","3604","1907","1976","2041","2197","2399","2680","2805","2837","3407","3722","3465","3337"
"sga","2786","3004","2754","1784","1502","1498","1660","1700","1697","1603","1752","1809","1817","1184","1199","1189","1253","1251","1389","1460","1496","1619","1637","1634","1576"
"rnd","1065","1280","1169","771","599","650","655","685","704","642","612","649","668","337","358","330","329","341","387","404","495","441","467","481","473"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","-121","","","","","","","","","","","","","","","","","",""
"total_opex","3851","4284","3923","2555","2101","2148","2194","2385","2401","2245","2364","2458","2485","1521","1557","1519","1582","1592","1776","1864","1991","2060","2104","2115","2049"
"operating_income","924","-778","-1607","-720","63","216","464","584","795","47","566","1071","1119","386","419","522","615","807","904","941","846","1347","1618","1350","1288"
"net_interest_income_normal","","","","","","","","","-10","-59","-76","-72","-92","-100","-101","-59","-61","-57","-37","-38","-70","-79","-75","-44","-21"
"other_nonoperating_income","94","301","60","24","24","75","163","86","30","19","202","33","16","7","-89","17","-10","53","79","16","66","92","-39","33","62"
"pretax_income","1018","-477","-1547","-696","87","291","627","670","815","7","692","1032","1043","293","229","480","544","803","946","919","842","1360","1504","1339","1329"
"income_tax","-346","71","525","-1090","-57","-142","-91","-32","-122","-38","-8","-20","110","-68","3","-42","-82","-119","-630","152","-123","-150","-250","-99","-87"
"net_income_continuing","672","-406","-1022","-1786","30","149","536","638","693","-31","684","1012","1153","225","232","438","462","684","316","1071","719","1210","1254","1240","1242"
"net_income_discontinued","85","646","-10","-13","310","136","1870","","","","","","","509","317","-37","","","","","","","","",""
"income_allocated_to_minority_interest","","","","9","","-10","-5","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","-72","","-268","29","52","906","","","","","","","","","","","","","","","","","",""
"net_income","757","168","-1032","-2058","369","327","3307","638","693","-31","684","1012","1153","734","549","401","462","684","316","1071","719","1210","1254","1240","1242"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","757","168","-1032","-2058","369","327","3307","638","693","-31","684","1012","1153","734","549","401","462","684","316","1071","719","1210","1254","1240","1242"
"eps_basic","1.68","0.38","-2.22","-4.35","0.76","0.66","7.67","1.62","1.91","-0.09","1.97","2.92","3.31","2.15","1.65","1.2","1.42","2.12","0.98","3.41","2.33","3.98","4.19","4.22","4.25"
"eps_diluted","1.66","0.38","-2.22","-4.35","0.75","0.65","7.5","1.57","1.87","-0.09","1.94","2.85","3.27","2.13","1.62","1.2","1.4","2.1","0.97","3.37","2.3","3.94","4.18","4.19","4.23"
"shares_basic","449","458","465","473","483","494","431","394","363","346","347","347","348","341","333","333","326","322","321","314","309","304","299","294","294"
"shares_diluted","455","458","465","473","490","500","441","406","371","346","353","355","353","345","338","335","329","326","325","318","312","307","300","296","296"
"cash_and_equiv","996","1170","1844","1607","2315","2226","2262","1826","1405","2479","2649","3527","2351","2675","2218","2003","2289","2678","2247","1382","1441","1484","1053","1590","1590"
"st_investments","","","","","","25","","","24","14","","","","","","","","","","","","91","","",""
"receivables","1938","977","1119","1086","788","678","692","735","770","595","869","860","923","899","626","606","631","724","776","930","1038","1172","1405","1291","1291"
"inventories","1610","1491","1184","995","809","612","627","643","646","552","716","898","1014","1066","574","541","533","575","638","679","720","830","1038","1031","1031"
"other_current_assets","595","1161","733","201","751","906","377","467","337","321","1935","284","341","343","2091","536","182","192","187","198","216","222","282","274","274"
"total_current_assets","5139","4799","4880","3889","4663","4447","3958","3671","3182","3961","6169","5569","4629","4983","5509","3686","3635","4169","3848","3189","3415","3799","3778","4186","4186"
"equity_and_other_investments","","","","","","","","","206","163","142","117","109","139","96","86","135","138","68","102","158","185","195","164","164"
"ppe_gross","3914","4125","4073","4271","2847","2610","2349","2465","2346","2451","2575","2612","2882","2878","1369","1334","1406","1600","1660","1775","1874","2067","2248","2493","2493"
"accumulated_depreciation","-2229","-2277","-2494","-2824","-1863","-1755","-1574","-1664","-1522","-1606","-1595","-1606","-1718","-1744","-738","-730","-767","-843","-838","-925","-1029","-1122","-1148","-1223","-1223"
"ppe_net","1685","1848","1579","1447","984","855","775","801","824","845","980","1006","1164","1134","631","604","639","757","822","850","845","945","1100","1270","1270"
"intangible_assets","467","1070","685","402","345","","83","178","228","167","494","429","1086","916","649","445","416","361","491","1107","831","981","821","475","475"
"goodwill","","","","","","345","385","558","646","655","1456","1567","3025","3047","2507","2366","2517","2607","2973","3593","3602","3975","3952","3960","3960"
"other_lt_assets","1039","269","1059","559","1152","1104","2168","2346","1921","1821","455","369","523","467","1423","292","452","394","339","611","776","820","686","708","708"
"total_assets","8330","7986","8203","6297","7144","6751","7369","7554","7007","7612","9696","9057","10536","10686","10815","7479","7794","8426","8541","9452","9627","10705","10532","10763","10763"
"accounts_payable","857","392","305","441","306","323","378","323","308","307","499","472","461","432","302","279","257","305","340","354","354","446","580","418","418"
"tax_payable","","","","","","","","","128","","","","","","","","","","","","","","","",""
"current_accrued_liabilities","695","755","574","311","208","158","131","137","614","530","725","299","375","330","279","218","184","181","203","440","285","328","329","309","309"
"st_debt","110","","","","","","","","","1","1501","253","250","","","","","210","","616","75","","36","",""
"current_deferred_revenue","322","279","244","262","227","205","225","249","280","285","358","389","420","439","260","258","269","291","324","336","386","441","461","505","505"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
