"Company: ","Airbnb Inc (ABNB:US)","","","","","","",""
"Exchange: ","NASDAQ","","","","","","",""
"Last Close Price: ","150.91","","","","","","",""
"Industry: ","Hotels, Restaurants & Leisure","","","","","","",""
"Currency: ","USD","","","","","","",""
"Country: ","US","","","","","","",""
"Market Cap.: ","94204","","","","","","",""
"Enterprise Value: ","85103","","","","","","",""
"period_end_date","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","2561.721","3651.985","4805.239","3378.199","5992","8399","9917","10241"
"cogs","647.6900000000001","864.032","1196.313","876.042","1156","1499","1703","1755"
"gross_profit","1914.031","2787.953","3608.926","2502.157","4836","6900","8214","8486"
"sga","1198.905","1580.814","2318.7","2310.176","2022","2466","3788","3896"
"rnd","400.749","579.193","976.6950000000001","2752.872","1425","1502","1722","1777"
"special_charges","","","","","","","",""
"other_opex","395.739","609.202","815.074","877.901","847","1041","1186","1189"
"total_opex","1995.393","2769.209","4110.469","5940.949","4294","5009","6696","6862"
"operating_income","-81.36199999999999","18.744","-501.543","-3438.792","542","1891","1518","1624"
"net_interest_income_normal","15.699","40.65","75.934","-144.571","-425","162","638","698"
"other_nonoperating_income","6.564","-12.361","13.906","-1098.575","-417","-64","-54","-57"
"pretax_income","-59.099","47.033","-411.703","-4681.938","-300","1989","2102","2265"
"income_tax","-10.947","-63.893","-262.636","97.22199999999999","-52","-96","2690","2674"
"net_income_continuing","-70.04600000000001","-16.86","-674.3390000000001","-4584.716","-352","1893","4792","4939"
"net_income_discontinued","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","",""
"other_income_statement_items","-1.4210854715202E-14","","-1.1368683772162E-13","","","","",""
"net_income","-70.04600000000001","-16.86","-674.3390000000001","-4584.716","-352","1893","4792","4939"
"preferred_dividends","","","","","","","",""
"net_income_available_to_shareholders","-70.04600000000001","-16.86","-674.3390000000001","-4584.716","-352","1893","4792","4939"
"eps_basic","-0.13","-0.03","-1.27","-16.12","-0.57","2.97","7.52","7.71"
"eps_diluted","-0.13","-0.03","-1.27","-16.12","-0.57","2.79","7.24","7.47"
"shares_basic","521.7089999999999","530.9450000000001","530.9450000000001","284.363","616","637","637","637"
"shares_diluted","521.7089999999999","530.9450000000001","530.9450000000001","284.363","616","680","662","662"
"cash_and_equiv","","2140.877","2013.547","5480.557","6067","7378","6874","6874"
"st_investments","","1188.431","1060.726","910.7","2255","2244","3197","3197"
"receivables","","2305.011","3145.457","2181.329","3715","4983","6118","6118"
"inventories","","","","","","","",""
"other_current_assets","","240.213","341.713","343.8","349","256","320","320"
"total_current_assets","","5874.532","6561.443","8916.386","12386","14861","16509","16509"
"equity_and_other_investments","","","","","","","",""
"ppe_gross","","453.119","865.602","922.1130000000001","808","571","389","389"
"accumulated_depreciation","","-143.711","-178.735","-267.851","-379","-312","-110","-110"
"ppe_net","","309.408","686.867","654.2619999999999","429","259","279","279"
"intangible_assets","","28.757","102.91","75.887","52","34","40","40"
"goodwill","","289.86","652.09","655.8","653","650","752","752"
"other_lt_assets","","110.532","306.809","189.164","188","234","3065","3065"
"total_assets","","6613.089","8310.119000000001","10491.499","13708","16038","20645","20645"
"accounts_payable","","70.63","151.417","79.898","118","137","141","141"
"tax_payable","","159.901","207.462","165.257","310","624","1119","1119"
"current_accrued_liabilities","","335.031","485.781","346.831","552","813","897","897"
"st_debt","","","","26.755","","","",""
"current_deferred_revenue","","","","","1002","1182","1427","1427"
"current_deferred_tax_liability","","218.591","262.454","188.309","183","206","",""
"other_current_liabilities","","2951.857","4088.628","4276.143","4131","4957","6305","6305"
