"Company: ","Albemarle Corp (ALB:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","92.77","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Chemicals","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","11329","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","12793","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","917.549","942.752","1007.918","1110.237","1513.737","2107.499","2368.506","2336.187","2467.115","2005.394","2362.764","2869.005","2519.154","2394.27","2445.548","2826.429","2677.203","3071.976","3374.95","3589.427","3128.909","3327.957","7320.104","9617.203","8397.687"
"cogs","646.086","721.417","775.388","871.727","1201.388","1684.101","1817.692","1713.696","1859.441","1521.532","1620.854","1914.058","1620.311","1543.799","1674.7","1966.196","1706.897","1965.7","2157.694","2331.649","2134.056","2329.986","4245.517","8431.294","8449.379999999999"
"gross_profit","271.463","221.335","232.53","238.51","312.349","423.398","550.814","622.491","607.674","483.862","741.91","954.947","898.843","850.471","770.848","860.2329999999999","970.306","1106.276","1217.256","1257.778","994.853","997.971","3074.587","1185.909","-51.693"
"sga","103.234","98.91500000000001","111.676","117.226","157.737","219.725","237.856","244.969","255.132","225.021","274.615","360.07","308.456","158.189","355.135","300.44","353.765","450.286","446.09","533.3680000000001","429.827","441.482","524.145","919.4930000000001","960.099"
"rnd","26.201","21.919","16.485","18.411","31.273","41.675","46.299","62.691","67.292","60.918","58.394","77.083","78.919","82.246","88.31","89.187","80.47499999999999","84.33","70.054","58.287","59.214","54.026","71.98099999999999","85.72499999999999","88.786"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","-8.134","2.051","1.55","10.049","4.858","-1.898","","","38.544","","","","","","","","","","","","","","","",""
"total_opex","121.301","122.885","129.711","145.686","193.868","259.502","284.155","307.66","360.968","285.939","333.009","437.153","387.375","240.435","443.445","389.627","434.24","534.616","516.144","591.655","489.041","495.508","596.126","1005.218","1048.885"
"operating_income","150.162","98.45","102.819","92.824","118.481","163.896","266.659","314.831","246.706","197.923","408.901","517.794","511.468","610.0359999999999","327.403","470.606","536.066","571.66","701.112","666.123","505.812","502.463","2478.461","180.691","-1100.578"
"net_interest_income_normal","","","","","","","","","-38.175","-24.584","-25.533","-37.574","-32.8","-31.559","-41.358","-81.65000000000001","-65.181","-115.35","-52.405","-57.695","-73.116","-61.476","-122.973","-116.072","-127.264"
"other_nonoperating_income","-2.661","-1.254","-1.712","-4.769","-46.637","-13.967","-133.273","-37.012","-25.188","-13.066","-4.17","0.357","-110.456","-40.035","-72.866","-78.212","44.379","-9.512","145.994","-45.478","-59.177","-307.369","77.956","182.119","149.528"
"pretax_income","147.501","97.196","101.107","88.05500000000001","71.84399999999999","149.929","133.386","277.819","183.343","160.273","379.198","480.577","368.212","538.442","213.179","310.744","515.264","446.798","794.701","562.95","373.519","133.618","2433.444","246.738","-1078.314"
"income_tax","-45.725","-29.029","-28.086","-13.89","-17.005","-27.593","-2.192","-55.078","6.539","7.028","-87.756","-104.134","-80.43300000000001","-134.445","-18.484","-11.134","-96.26300000000001","-431.817","-144.826","-88.161","-54.425","-29.446","-390.588","-430.277","-149.593"
