"Company: ","Albertsons Companies (ACI:US)","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","",""
"Last Close Price: ","19.87","","","","","","","","","","","",""
"Industry: ","Consumer Staples Distribution & Retail","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","",""
"Market Cap.: ","11437","","","","","","","","","","","",""
"Enterprise Value: ","18639","","","","","","","","","","","",""
"period_end_date","2013-02","2014-02","2015-02","2016-02","2017-02","2018-02","2019-02","2020-02","2021-02","2022-02","2023-02","2024-02","TTM"
"revenue","3712","20054.7","27198.6","58734","59678.2","59924.6","60534.5","62455.1","69690.39999999999","71887","77649.7","79237.7","79237.7"
"cogs","2774.3","14655.7","19695.8","42672.3","43037.7","43563.5","43639.9","44860.9","49275.9","51164.6","55894.1","57192","57192"
"gross_profit","937.7","5399","7502.8","16061.7","16640.5","16361.1","16894.6","17594.2","20414.5","20722.4","21755.6","22045.7","22045.7"
"sga","899","5874.1","8152.2","15660","16032.9","16208.7","16272.3","16641.9","18835.8","18300.5","19596","19932.9","19932.9"
"rnd","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","",""
"total_opex","899","5874.1","8152.2","15660","16032.9","16208.7","16272.3","16641.9","18835.8","18300.5","19596","19932.9","19932.9"
"operating_income","38.7","-475.1","-649.4","401.7","607.6","152.4","622.3","952.3","1578.7","2421.9","2159.6","2112.8","2112.8"
"net_interest_income_normal","-7.2","-390.1","-633.2","-950.5","-1003.8","-874.8","-830.8","-698","-538.2","-481.9","-404.6","-492.1","-492.1"
"other_nonoperating_income","","2005.7","-96","7","-67.40000000000001","-195.1","260.7","344.9","88.2","159.5","180.5","-31.7","-31.7"
"pretax_income","31.5","1140.5","-1378.6","-541.8","-463.6","-917.5","52.2","599.2","1128.7","2099.5","1935.5","1589","1589"
"income_tax","-1.7","572.6","153.4","39.6","90.3","963.8","78.90000000000001","-132.8","-278.5","-479.9","-422","-293","-293"
"net_income_continuing","29.8","1713.1","-1225.2","-502.2","-373.3","46.3","131.1","466.4","850.2","1619.6","1513.5","1296","1296"
"net_income_discontinued","49.2","19.5","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","",""
"other_income_statement_items","","","-2.2737367544323E-13","-5.6843418860808E-14","","4.2632564145606E-14","-2.8421709430404E-14","-5.6843418860808E-14","","","","",""
"net_income","79","1732.6","-1225.2","-502.2","-373.3","46.3","131.1","466.4","850.2","1619.6","1513.5","1296","1296"
"preferred_dividends","","","","","","","","","","335.6","303.2","1","1"
