"Company: ","Alcoa Corp (AA:US)","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","",""
"Last Close Price: ","39.94","","","","","","","","","","",""
"Industry: ","Metals & Mining","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","",""
"Market Cap.: ","7282","","","","","","","","","","",""
"Enterprise Value: ","8393","","","","","","","","","","",""
"period_end_date","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","12573","13147","11199","9318","11652","13403","10433","9286","12152","12451","10551","10480"
"cogs","11040","10548","9039","7877","8950","10053","8537","7969","9153","10212","9813","9813"
"gross_profit","1533","2599","2160","1441","2702","3350","1896","1317","2999","2239","738","667"
"sga","406","383","353","356","280","248","280","206","227","204","226","232"
"rnd","86","95","69","33","32","31","27","27","31","32","39","40"
"special_charges","","","","","","","","","","","",""
"other_opex","1026","1069","942","841","768","847","857","656","702","672","700","708"
"total_opex","1518","1547","1364","1230","1080","1126","1164","889","960","908","965","980"
"operating_income","15","1052","796","211","1622","2224","732","428","2039","1331","-227","-313"
"net_interest_income_normal","-305","-309","-270","-243","-104","-122","-121","-146","-195","-106","-107","-108"
"other_nonoperating_income","-2457","-806","-863","-130","-318","-477","-1049","-109","-645","-523","-250","-308"
"pretax_income","-2747","-63","-337","-162","1200","1625","-438","173","1199","702","-584","-729"
"income_tax","-123","-284","-402","-184","-592","-732","-415","-187","-629","-664","-189","-119"
"net_income_continuing","-2870","-347","-739","-346","608","893","-853","-14","570","38","-773","-848"
"net_income_discontinued","","","","","","","","","","","",""
"income_allocated_to_minority_interest","-39","91","-124","-54","-329","-643","-272","-156","-141","-161","122","176"
"other_income_statement_items","","","","","","","","","","","",""
"net_income","-2909","-256","-863","-400","279","250","-1125","-170","429","-123","-651","-672"
"preferred_dividends","","","","","","","","","","","",""
"net_income_available_to_shareholders","-2909","-256","-863","-400","279","250","-1125","-170","429","-123","-651","-672"
"eps_basic","-16.01","-1.4","-4.73","-2.19","1.51","1.34","-6.07","-0.91","2.3","-0.68","-3.65","-3.76"
"eps_diluted","-16.01","-1.4","-4.73","-2.19","1.49","1.33","-6.07","-0.91","2.26","-0.68","-3.65","-3.76"
"shares_basic","181.7","182.4","182.4","183","184","186","185","186","186","181","178","178"
"shares_diluted","181.7","182.4","182.4","183","187","189","185","186","190","181","178","178"
"cash_and_equiv","","266","557","853","1358","1113","879","1607","1814","1363","944","944"
"st_investments","","","","","","","","","","","",""
"receivables","","712","504","834","1043","1003","660","556","884","909","808","808"
"inventories","","1501","1172","1160","1453","1819","1644","1398","1956","2427","2158","2158"
"other_current_assets","","438","333","334","384","393","347","959","372","551","495","495"
"total_current_assets","","2917","2566","3181","4238","4328","3530","4520","5026","5250","4405","4405"
"equity_and_other_investments","","1777","1472","1358","1410","1360","1113","1051","1199","1122","979","979"
"ppe_gross","","24268","22118","22550","23046","21807","21715","20522","19753","19605","20381","20381"
"accumulated_depreciation","","-12942","-12728","-13225","-13908","-13480","-13799","-13332","-13130","-13112","-13596","-13596"
"ppe_net","","11326","9390","9325","9138","8327","7916","7190","6623","6493","6785","6785"
"intangible_assets","","70","53","135","62","57","52","45","36","29","37","37"
"goodwill","","160","152","155","154","151","150","145","144","145","146","146"
"other_lt_assets","","2430","2780","2587","2445","1909","1870","1909","1997","1717","1803","1803"
"total_assets","","18680","16413","16741","17447","16132","14631","14860","15025","14756","14155","14155"
"accounts_payable","","1740","1379","1455","1898","1663","1484","1403","1674","1757","1714","1714"
"tax_payable","","141","136","147","282","426","104","91","374","230","88","88"
"current_accrued_liabilities","","","","","","","","","","","",""
"st_debt","","29","18","21","16","1","1","79","76","1","79","79"
"current_deferred_revenue","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","",""
"other_current_liabilities","","825","871","1198","1056","829","974","1188","1099","1016","1149","1149"
"total_current_liabilities","","2735","2404","2821","3252","2919","2563","2761","3223","3004","3030","3030"
"lt_debt","","313","207","1424","1388","1801","1799","2463","1726","1806","1732","1732"
"noncurrent_capital_leases","","","","","","","100","82","64","59","104","104"
"pension_liabilities","","612","529","3139","3568","2382","2364","2352","1187","788","815","815"
"noncurrent_deferred_revenue","","155","84","76","68","61","102","101","90","65","62","62"
"other_lt_liabilities","","1792","1676","1584","2373","1381","1817","2085","2451","2445","2567","2567"
"total_liabilities","","5607","4900","9044","10649","8544","8745","9844","8741","8167","8310","8310"
"common_stock","","","","2","2","2","2","2","2","2","2","2"
"preferred_stock","","","","","","","","","","","",""
"retained_earnings","","","","-104","113","570","-555","-725","-315","-570","-1293","-1293"
"aoci","","-1316","-1600","-3775","-5182","-4565","-4974","-5629","-4592","-3539","-3645","-3645"
"apic","","","","9531","9590","9611","9639","9663","9577","9183","9187","9187"
"treasury_stock","","","","","","","","","","","",""
"other_equity","","11915","11042","","","","","","","","",""
"minority_interest_liability","","2474","2071","2043","2275","1970","1774","1705","1612","1513","1594","1594"
"total_equity","","13073","11513","7697","6798","7588","5886","5016","6284","6589","5845","5845"
"total_liabilities_and_equity","","18680","16413","16741","17447","16132","14631","14860","15025","14756","14155","14155"
"cfo_net_income","-2870","-347","-739","-346","608","893","-853","-14","570","38","-773","-848"
"cfo_da","1026","954","780","718","752","733","713","653","664","617","632","640"
"cfo_receivables","-62","-91","130","-234","-118","-43","283","16","-414","-59","104","-148"
"cfo_inventory","36","-126","212","1","-279","-306","137","122","-639","-547","243","297"
"cfo_prepaid_expenses","-1","-21","58","-52","43","-32","27","17","-41","44","39","29"
"cfo_other_working_capital","-175","-380","-835","-566","-213","-441","-712","-179","422","-286","-656","-370"
"cfo_change_in_working_capital","-202","-618","-435","-851","-567","-822","-265","-24","-672","-848","-270","-192"
"cfo_deferred_tax","-10","-50","86","-46","168","-30","15","-26","147","219","-22","-61"
"cfo_stock_comp","33","39","35","28","24","35","30","25","39","40","35","35"
"cfo_other_noncash_items","2475","864","1148","186","239","-361","1046","-220","172","756","489","457"
"cf_cfo","452","842","875","-311","1224","448","686","394","920","822","91","31"
"cfi_ppe_net","-567","-444","-391","-404","-405","-399","-379","-353","-390","-480","-531","-549"
"cfi_acquisitions_net","","","","","","","","","","","",""
"cfi_investment_net","-242","-117","-63","143","-66","-7","-112","-12","-11","-22","-70","-67"
"cfi_intangibles_net","","","","","","","","","","","",""
"cfi_other","7","223","70","112","245","1","23","198","966","7","16","16"
"cf_cfi","-802","-338","-384","-149","-226","-405","-468","-167","565","-495","-585","-600"
"cff_common_stock_net","","","","","","-50","","","-150","-500","",""
"cff_pfd_net","","","","","","","","","","","",""
"cff_debt_net","-34","-35","-24","1190","-32","425","-7","738","-799","3","55","775"
"cff_dividend_paid","","","","","","","","","-19","-72","-72","-73"
"cff_other","463","-409","-138","-441","-474","-663","-437","-224","-190","-199","74","69"
"cf_cff","429","-444","-162","749","-506","-288","-444","514","-1158","-768","57","771"
"ebitda","1041","2006","1576","929","2374","2957","1445","1081","2703","1948","405","327"
"capex","-567","-444","-391","-404","-405","-399","-379","-353","-390","-480","-531","-549"
"fcf","-115","398","484","-715","819","49","307","41","530","342","-440","-518"
"book_value","","13073","11513","7697","6798","7588","5886","5016","6284","6589","5845","5534"
