"Company: ","Align Technology Inc (ALGN:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","235.23","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Health Care Equipment & Supplies","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","17847","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","16948","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","6.741","44.808","69.69799999999999","122.725","172.83","207.125","206.354","284.332","303.976","312.333","387.126","479.741","560.0410000000001","660.206","761.653","845.486","1079.874","1473.413","1966.492","2406.796","2471.941","3952.584","3734.635","3862.26","3916.544"
"cogs","20.251","46.83","44.991","51.565","57.526","63.784","64.77500000000001","75.035","78.84999999999999","78.84099999999999","83.709","118.458","143.653","162.1","183.21","205.376","264.58","356.466","518.625","662.899","708.706","1017.229","1100.86","1155.397","1172.519"
"gross_profit","-13.51","-2.022","24.707","71.16","115.304","143.341","141.579","209.297","225.126","233.492","303.417","361.283","416.388","498.106","578.443","640.11","815.294","1116.947","1447.867","1743.897","1763.235","2935.355","2633.775","2706.863","2744.025"
"sga","58.436","83.10299999999999","84.578","77.985","89.783","122.31","160.641","151.511","177.216","243.933","170.137","233.769","251.336","292.798","332.068","390.239","490.653","665.777","852.404","1072.053","1200.757","1708.64","1674.469","1703.379","1715.51"
"rnd","9.169","15.644","13.064","13.112","15.756","18.585","18.474","25.727","26.165","22.252","25.997","37.154","42.869","44.083","52.799","61.237","75.72","97.559","128.899","157.361","175.307","250.315","305.258","346.83","351.242"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","-0.116","","","","","-1.796","","","","","","","","","","","","","","","","",""
"total_opex","67.605","98.747","97.526","91.09699999999999","105.539","140.895","179.115","175.442","203.381","266.185","196.134","270.923","294.205","336.881","384.867","451.476","566.373","763.336","981.303","1229.414","1376.064","1958.955","1979.727","2050.209","2066.752"
"operating_income","-81.11499999999999","-100.769","-72.819","-19.937","9.765000000000001","2.446","-37.536","33.855","21.745","-32.693","107.283","90.36","122.183","161.225","193.576","188.634","248.921","353.611","466.564","514.4829999999999","387.171","976.4","654.048","656.654","677.273"
"net_interest_income_normal","","","","","","","","","3.028","0.494","0.555","0.501","-1.296","-1.073","-3.207","-2.533","4.213","6.948","8.576000000000001","12.482","3.125","3.103","5.367","17.258","19.313"
"other_nonoperating_income","-7.633","1.73","","-0.101","-0.003","0.283","3.401","3.095","-7.697","-1.694","-5.835","-0.92","-36.591","-67.01300000000001","","","-10.568","4.24","-8.489000000000001","35.686","-11.347","32.92","-60.358","-32.708","-31.62"
"pretax_income","-88.748","-99.039","-72.819","-20.038","9.762","2.729","-34.135","36.95","17.076","-33.893","102.003","89.941","84.29600000000001","93.139","190.369","186.101","242.566","364.799","466.651","562.651","378.949","1012.423","599.057","641.204","664.966"
"income_tax","","-0.01","","-0.08400000000000001","-0.994","-1.316","-0.828","-1.226","62.911","2.624","-27.75","-23.225","-25.605","-28.844","-44.537","-42.081","-51.2","-130.162","-57.723","-112.347","1396.939","-240.403","-237.484","-196.151","-202.683"
"net_income_continuing","-88.748","-99.04900000000001","-72.819","-20.122","8.768000000000001","1.413","-34.963","35.724","79.98699999999999","-31.269","74.253","66.71599999999999","58.691","64.295","145.832","144.02","191.366","234.637","408.928","450.304","1775.888","772.02","361.573","445.053","462.283"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","","","","","","","-7.105427357601E-15","","3.5527136788005E-15","","-1.4210854715202E-14","","1.4210854715202E-14","","2.8421709430404E-14","-1.684","-3.219","-8.693","-7.528","-2.2737367544323E-13","","","5.6843418860808E-14","2.8421709430404E-14"
"net_income","-88.748","-99.04900000000001","-72.819","-20.122","8.768000000000001","1.413","-34.963","35.724","79.98699999999999","-31.269","74.253","66.71599999999999","58.691","64.295","145.832","144.02","189.682","231.418","400.235","442.776","1775.888","772.02","361.573","445.053","462.283"
"preferred_dividends","53.516","11.191","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-142.264","-110.24","-72.819","-20.122","8.768000000000001","1.413","-34.963","35.724","79.98699999999999","-31.269","74.253","66.71599999999999","58.691","64.295","145.832","144.02","189.682","231.418","400.235","442.776","1775.888","772.02","361.573","445.053","462.283"
"eps_basic","-25.64","-2.61","-1.52","-0.35","0.15","0.02","-0.55","0.53","1.2","-0.45","0.98","0.86","0.73","0.8","1.81","1.8","2.38","2.89","5","5.57","22.55","9.779999999999999","4.62","5.82","6.09"
"eps_diluted","-25.64","-2.61","-1.52","-0.35","0.14","0.02","-0.55","0.5","1.18","-0.45","0.95","0.83","0.71","0.78","1.77","1.77","2.33","2.83","4.92","5.53","22.41","9.69","4.61","5.81","6.07"
"shares_basic","5.548","42.247","47.878","57.758","59.963","61.644","63.246","67.176","66.812","69.09399999999999","75.825","77.988","80.529","80.551","80.754","79.998","79.85599999999999","80.08499999999999","80.06399999999999","79.42400000000001","78.76000000000001","78.917","78.19","76.426","76.426"
"shares_diluted","5.548","42.247","47.878","57.758","64.089","63.152","63.246","71.444","68.06399999999999","69.09399999999999","78.08","80.294","83.04000000000001","82.589","82.283","81.521","81.48399999999999","81.83199999999999","81.357","80.09999999999999","79.23","79.67","78.42","76.568","76.568"
"cash_and_equiv","2.828","50.55","35.552","44.939","69.65900000000001","74.21899999999999","55.113","89.119","87.09999999999999","166.487","294.664","240.675","306.386","242.953","199.871","167.714","389.275","449.511","636.899","550.425","960.843","1099.37","942.05","937.438","937.438"
"st_investments","9.632999999999999","12.494","2.693","2.292","","","8.930999999999999","38.771","23.066","19.978","8.615","7.395","28.485","127.04","254.787","359.581","250.981","272.031","98.45999999999999","318.202","","71.97199999999999","57.534","35.304","35.304"
"receivables","4.465","11.556","16.766","21.265","28.809","29.305","33.635","44.85","52.362","54.537","65.43000000000001","91.53700000000001","98.992","113.25","129.751","158.55","247.415","324.189","482.314","616.548","657.704","990.808","1000.169","1047.152","1047.152"
"inventories","2.024","1.549","1.533","2.334","2.852","2.93","3.09","2.91","1.965","2.046","2.544","9.401999999999999","15.122","13.968","15.928","19.465","27.131","31.688","55.641","112.051","139.237","230.23","338.752","296.902","296.902"
"other_current_assets","22.412","5.434","9.288","6.284","5.514","5.132","7.32","8.867000000000001","13.414","18.251","17.358","35.807","36.808","47.465","56.823","26.7","38.176","80.94799999999999","29.165","36.193","91.754","101.695","85.886","129.822","129.822"
"total_current_assets","41.362","81.583","65.83199999999999","77.114","106.834","111.586","108.089","184.517","177.907","261.299","388.611","384.816","485.793","544.676","657.16","732.01","952.978","1158.367","1302.479","1633.419","1849.538","2494.075","2424.391","2446.618","2446.618"
"equity_and_other_investments","6.251","","","","","","","","","","9.089","","21.252","101.978","147.892","151.37","104.844","94.554","55.025","","","125.32","41.978","8.022","8.022"
"ppe_gross","21.1","42.638","44.467","49.058","54.738","65.676","73.883","79.07899999999999","88.342","94.977","98.458","129.432","165.126","181.249","197.927","254.51","310.881","484.601","693.056","917.49","1118.526","1562.284","1800.461","1959.624","1959.624"
"accumulated_depreciation","","-10.617","-19.389","-25.937","-33.036","-39.249","-46.979","-53.759","-61.363","-70.006","-67.774","-75.467","-85.935","-105.506","-107.802","-118.037","-135.714","-135.808","-171.727","-229.516","-301.252","-359.101","-449.726","-550.7619999999999","-550.7619999999999"
"ppe_net","21.1","32.021","25.078","23.121","21.702","26.427","26.904","25.32","26.979","24.971","30.684","53.965","79.191","75.74299999999999","90.125","136.473","175.167","348.793","521.329","687.974","817.274","1203.183","1350.735","1408.862","1408.862"
"intangible_assets","","","","","","0.717","13.822","10.613","7.786","4.986","2.186","50.025","45.773","23.742","20.686","18.092","20.958","24.458","17.919","11.772","130.069","109.706","95.721","82.11799999999999","82.11799999999999"
"goodwill","","","","","","0.48","0.48","0.48","0.48","0.48","0.48","135.38","99.23999999999999","61.62","61.37","61.07","61.04","64.61","64.03","63.92","444.82","418.55","407.55","419.53","419.53"
"other_lt_assets","1.848","4.614","1.946","1.967","2.176","2.9","2.263","1.831","66.18899999999999","63.504","45.893","25.078","25.063","24.388","10.764","59.618","81.164","93.227","91.676","103.617","1587.982","1591.276","1627.572","1718.727","1718.727"
"total_assets","70.56100000000001","118.218","92.85599999999999","102.202","130.712","142.11","151.558","222.761","279.341","355.24","476.943","649.264","756.312","832.147","987.997","1158.633","1396.151","1784.009","2052.458","2500.702","4829.683","5942.11","5947.947","6083.877","6083.877"
"accounts_payable","5.541","4.376","1.974","3.095","3.361","2.489","5.034","9.222","5.58","6.122","7.768","22.313","22.415","21.771","28.983","34.354","28.596","36.776","64.256","87.25","142.132","163.886","127.87","113.125","113.125"
"tax_payable","","","","","","","","","","5.312","4.876","7.478","5.825","7.42","7.483","7.447","9.242000000000001","17.908","5.752","14.13","30.13","33.838","74.32299999999999","38.103","38.103"
"current_accrued_liabilities","14.753","11.426","11.112","19.18","23.481","29.372","40.307","39.875","38.282","37.51","46.482","62.897","61.506","65.768","71.51300000000001","97.68000000000001","121.249","164.988","228.927","290.091","353.717","550.758","353.477","458.026","458.026"
"st_debt","","0.483","2.183","1.989","1.849","","11.5","","","","","","","","","","","","","","","","","",""
"current_deferred_revenue","","1.551","9.403","13.113","16.257","16.747","10.942","12.362","16.71","32.299","33.848","52.252","61.975","77.27500000000001","90.684","129.553","191.407","273.086","393.138","563.7619999999999","777.8869999999999","1152.87","1343.643","1427.706","1427.706"
