"Company: ","Allegion PLC (ALLE:US)","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","",""
"Last Close Price: ","116.13","","","","","","","","","","","","",""
"Industry: ","Building Products","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","",""
"Market Cap.: ","10352","","","","","","","","","","","","",""
"Enterprise Value: ","11560","","","","","","","","","","","","",""
"period_end_date","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","2021.2","2023.3","2069.6","2118.3","2068.1","2238","2408.2","2731.7","2854","2719.9","2867.4","3271.9","3650.8","3621.7"
"cogs","1211.4","1197.7","1208.1","1264.6","1199","1248.3","1335.3","1558.4","1601.7","1541.1","1662.5","1949.5","2069.3","2039.8"
"gross_profit","809.8","825.6","861.5","853.7","869.1","989.7","1072.9","1173.3","1252.3","1178.8","1204.9","1322.4","1581.5","1581.9"
"sga","450.8","454.3","483.1","527.4","510.5","555.4","580.4","647.5","681.3","635.7","674.7","736","865.6","864.9"
"rnd","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","",""
"total_opex","450.8","454.3","483.1","527.4","510.5","555.4","580.4","647.5","681.3","635.7","674.7","736","865.6","864.9"
"operating_income","359","371.3","378.4","326.3","358.6","434.3","492.5","525.8","571","543.1","530.2","586.4","715.9","717"
"net_interest_income_normal","-1","-1.4","-9.4","-52.7","-51.4","-62.4","-104.5","-53.2","-54.2","-50.2","-49.8","-74.59999999999999","-86.3","-82.7"
"other_nonoperating_income","4.2","-3.2","-145.6","-5.7","-97.90000000000001","-76.90000000000001","7.7","2.6","-41.6","-127.5","43.6","2.7","-12.4","-11.9"
"pretax_income","362.2","366.7","223.4","267.9","209.3","295","395.7","475.2","475.2","365.4","524","514.5","617.2","622.4"
"income_tax","-130.5","-136.7","-175","-84.2","-54.6","-63.8","-119","-39.8","-73.09999999999999","-50.9","-40.7","-56.2","-76.59999999999999","-81.59999999999999"
"net_income_continuing","231.7","230","48.4","183.7","154.7","231.2","276.7","435.4","402.1","314.5","483.3","458.3","540.6","540.8"
"net_income_discontinued","-7.3","-4.2","-3.6","-11.1","-0.4","","","","","","","","",""
"income_allocated_to_minority_interest","-6.3","-5.7","-12.5","2.6","-0.4","-2.1","-3.4","-0.5","-0.3","-0.2","-0.3","-0.3","-0.2","-0.1"
"other_income_statement_items","2.8421709430404E-14","-2.8421709430404E-14","-7.105427357601E-15","","","","","","","","","","","-2.8421709430404E-14"
"net_income","218.1","220.1","32.3","175.2","153.9","229.1","273.3","434.9","401.8","314.3","483","458","540.4","540.7"
"preferred_dividends","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","218.1","220.1","32.3","175.2","153.9","229.1","273.3","434.9","401.8","314.3","483","458","540.4","540.7"
"eps_basic","2.27","2.29","0.34","1.82","1.6","2.39","2.87","4.58","4.29","3.41","5.37","5.2","6.15","6.16"
"eps_diluted","2.27","2.29","0.34","1.8","1.59","2.36","2.85","4.54","4.26","3.39","5.34","5.19","6.12","6.13"
"shares_basic","96.029","96.029","96","96.09999999999999","95.90000000000001","95.8","95.09999999999999","95","93.59999999999999","92.3","89.90000000000001","88","87.90000000000001","87.90000000000001"
"shares_diluted","96.029","96.029","96.09999999999999","97.2","96.90000000000001","96.90000000000001","96","95.7","94.3","92.8","90.5","88.3","88.3","88.3"
"cash_and_equiv","","317.5","227.4","290.5","199.7","312.4","466.2","283.8","355.3","480.4","397.9","288","468.1","468.1"
"st_investments","","","","","","","","","","","","","",""
"receivables","","381.9","418.8","230.4","313.9","271.9","308.8","340.3","344","347.6","312.4","403.9","421.7","421.7"
"inventories","","166.4","187.5","169.3","204.1","220.6","239.8","280.3","269.9","283.1","380.4","479","438.5","438.5"
"other_current_assets","","44.1","113.1","311.5","17.4","24.4","17.9","27.2","32.6","33.9","26.9","43.7","32.6","32.6"
"total_current_assets","","909.9","946.8","1001.7","735.1","829.3","1032.7","931.6","1001.8","1145","1117.6","1214.6","1360.9","1360.9"
"equity_and_other_investments","","","","","","","","","","","","","",""
"ppe_gross","","586.8","566.4","579.8","616.5","640.4","707.9","748.8","786","830.1","827.7","875.6","961.4","961.4"
"accumulated_depreciation","","-354.8","-366.2","-372.6","-391.7","-413.8","-455.7","-472.1","-494.6","-535.2","-544","-566.9","-603.3","-603.3"
"ppe_net","","232","200.2","207.2","224.8","226.6","252.2","276.7","291.4","294.9","283.7","308.7","358.1","358.1"
"intangible_assets","","150.5","146.1","125.4","372.4","357.4","394.3","547.1","510.9","487.1","447.5","608.9","572.8","572.8"
"goodwill","","637.9","504.9","484.4","714.1","716.8","761.2","883","873.3","819","803.8","1413.1","1443.1","1443.1"
"other_lt_assets","","53.5","202.6","197.2","216.6","117.3","101.6","171.8","289.8","323.4","398.4","445.9","576.6","576.6"
"total_assets","","1983.8","2000.6","2015.9","2263","2247.4","2542","2810.2","2967.2","3069.4","3051","3991.2","4311.5","4311.5"
"accounts_payable","","227.2","211.3","175.6","175.1","179.9","188.3","235","221","220.4","259.1","280.7","259.2","259.2"
"tax_payable","","","","","9.1","2.7","18.2","20.2","12.8","18.2","11.9","27.7","14.9","14.9"
"current_accrued_liabilities","","92.7","111.5","98.8","124.9","117.8","134.6","135","174.7","189.4","199.9","247.9","258.2","258.2"
"st_debt","","2.2","71.90000000000001","49.6","65.59999999999999","48.2","35","35.3","0.1","0.2","12.6","12.6","412.6","412.6"
