"Company: ","Amdocs Ltd (DOX:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","78.29000000000001","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","IT Services","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","9075","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","9176","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-09","2001-09","2002-09","2003-09","2004-09","2005-09","2006-09","2007-09","2008-09","2009-09","2010-09","2011-09","2012-09","2013-09","2014-09","2015-09","2016-09","2017-09","2018-09","2019-09","2020-09","2021-09","2022-09","2023-09","TTM"
"revenue","1118.32","1533.91","1613.565","1483.327","1773.732","2038.621","2480.05","2836.173","3162.096","2862.607","2984.223","3177.728","3246.903","3345.854","3563.637","3643.538","3718.229","3867.155","3974.837","4086.669","4169.039","4288.64","4576.697","4887.55","4969.574"
"cogs","645.524","853.242","933.337","913.359","1122.832","1295.655","1583.826","1796.382","2026.291","1834.633","1905.666","2069.367","2085.468","2167.052","2306.892","2349.488","2408.04","2507.656","2595.276","2653.172","2755.563","2810.967","2957.547","3159.941","3222.347"
"gross_profit","472.796","680.668","680.228","569.968","650.9","742.966","896.224","1039.791","1135.805","1027.974","1078.557","1108.361","1161.435","1178.802","1256.745","1294.05","1310.189","1359.499","1379.561","1433.497","1413.476","1477.673","1619.15","1727.609","1747.227"
"sga","137.004","195.592","223.551","206.265","210.384","232.066","313.997","370.194","404.134","344.335","373.585","409.465","424.671","418.574","445.134","440.085","464.883","472.778","481.093","492.457","458.539","487.255","528.572","570.707","574.27"
"rnd","74.852","105.807","124.082","119.256","126.407","144.457","186.76","230.444","225.492","210.387","207.836","221.886","242.063","240.266","257.896","254.944","252.292","259.097","276.615","273.936","282.042","312.941","354.706","374.855","370.216"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
