"Company: ","Amedisys Inc (AMED:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","92.13","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Health Care Providers & Services","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","2994","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","3242","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","88.155","110.174","129.424","142.473","227.089","381.558","541.148","697.934","1187.415","1513.459","1601.07","1418.464","1440.836","1249.344","1204.554","1280.541","1419.261","1511.272","1662.578","1955.633","2071.519","2214.112","2223.199","2236.382","2251.407"
"cogs","41.468","49.046","58.244","58.554","96.078","163.032","235.458","329.008","562.633","724.465","793.991","750.439","810.704","717.996","691.061","725.915","834.381","903.377","992.8630000000001","1150.337","1185.369","1233.356","1260.425","1245.509","1252.036"
"gross_profit","46.687","61.128","71.18000000000001","83.919","131.011","218.526","305.69","368.926","624.782","788.994","807.079","668.025","630.1319999999999","531.348","513.4930000000001","554.626","584.88","607.895","669.715","805.296","886.15","980.756","962.774","990.873","999.371"
"sga","49.251","53.665","63.06","69.581","97.633","168.424","229.928","246.64","423.277","509.756","543.296","506.806","516.673","474.074","441.738","452.435","503.43","482.213","501.306","607.926","668.3","711.24","754.058","780.0599999999999","798.994"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","10.106","25.724","44.404","48.49","52.502","50.454","60.211","52.753","44.601","34.089","19.678","17.123","13.261","18.428","-5.57","17.601","24.935","17.747","17.575"
"total_opex","49.251","53.665","63.06","69.581","97.633","168.424","240.034","272.364","467.681","558.246","595.798","557.26","576.884","526.827","486.339","486.524","523.1079999999999","499.336","514.567","626.354","662.73","728.841","778.9930000000001","797.807","816.569"
"operating_income","-2.564","7.463","8.119999999999999","14.338","33.378","50.102","65.65600000000001","96.562","157.101","230.748","211.281","110.765","53.248","4.521","27.154","68.102","61.772","108.559","155.148","178.942","223.42","251.915","183.781","193.066","182.802"
"net_interest_income_normal","","","","","","","","3.15","-15.6","-11.457","-8.766","-8.557","-12.051","-4.358","-8.122999999999999","-10.712","-5.089","-4.873","-7.092","-14.437","-10.746","-9.476000000000001","-22.05","-28.004","-27.285"
"other_nonoperating_income","-1.769","-2.167","-10.653","-0.711","-0.019","-1.362","-3.759","3.706","-0.145","3.103","0.722","-579.255","-156.474","-153.638","1.945","-57.698","4.883","-22.885","10.932","5.905","-1.855","37.792","-1.487","-125.439","-123.376"
"pretax_income","-4.333","5.296","-2.533","13.627","33.359","48.74","61.897","103.418","141.356","222.394","203.237","-477.047","-115.277","-153.475","20.976","-0.308","61.566","80.801","158.988","170.41","210.819","280.231","160.244","39.623","32.141"
"income_tax","1.647","-0.22","3.285","-5.22","-12.855","-18.638","-23.642","-38.298","-54.743","-86.17100000000001","-79.19499999999999","102.739","20.02","58.773","-7.671","-2.004","-23.935","-50.118","-38.859","-42.503","-25.635","-70.065","-42.545","-50.559","-53.392"
"net_income_continuing","-2.686","5.076","0.752","8.407","20.504","30.102","38.255","65.12","86.613","136.223","124.042","-374.308","-95.25700000000001","-94.702","13.305","-2.312","37.631","30.683","120.129","127.907","185.184","210.166","117.699","-10.936","-21.251"
"net_income_discontinued","1.403","0.31","","","","","","","","","-10.769","-8.034000000000001","-3.326","-3.073","-0.216","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","-0.007","0.06900000000000001","-0.386","-0.6929999999999999","-0.122","14.995","1.597","-0.313","-0.709","-0.37","-0.382","-0.783","-1.074","-1.576","-1.094","0.91","1.189","0.658"
"other_income_statement_items","5.053","","-2.2204460492503E-16","","","","7.105427357601E-15","","","-2.8421709430404E-14","","","","","","","","","1.4210854715202E-14","","","","","","-1.7763568394003E-14"
"net_income","3.77","5.386","0.752","8.407","20.504","30.102","38.255","65.113","86.682","135.837","112.58","-382.464","-83.58799999999999","-96.178","12.776","-3.021","37.261","30.301","119.346","126.833","183.608","209.072","118.609","-9.747","-20.593"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","3.77","5.386","0.752","8.407","20.504","30.102","38.255","65.113","86.682","135.837","112.58","-382.464","-83.58799999999999","-96.178","12.776","-3.021","37.261","30.301","119.346","126.833","183.608","209.072","118.609","-9.747","-20.593"
"eps_basic","0.65","0.68","0.07000000000000001","0.65","1.18","1.45","1.75","2.52","3.28","4.99","4.02","-13.33","-2.79","-3.08","0.39","-0.09","1.12","0.9","3.64","3.95","5.64","6.41","3.65","-0.3","-0.63"
"eps_diluted","0.65","0.51","0.06","0.62","1.13","1.41","1.72","2.48","3.22","4.89","3.95","-13.33","-2.79","-3.08","0.39","-0.09","1.1","0.88","3.55","3.84","5.52","6.34","3.63","-0.3","-0.64"
"shares_basic","5.781","7.921","11.332","13.077","17.409","20.808","21.809","25.842","26.445","27.231","28.032","28.693","29.896","31.247","32.301","33.018","33.198","33.704","32.791","32.142","32.559","32.642","32.517","32.599","32.599"
"shares_diluted","5.781","10.64","12.009","13.432","18.057","21.293","22.289","26.275","26.903","27.759","28.484","28.693","29.896","31.247","32.823","33.018","33.741","34.304","33.609","32.99","33.268","32.972","32.653","32.599","32.599"
"cash_and_equiv","6.967","3.515","4.861","29.779","89.679","17.231","84.221","56.19","2.847","34.485","120.295","48.004","14.545","17.303","8.032","27.502","30.197","86.363","20.229","30.294","81.80800000000001","42.694","40.54","126.45","126.45"
"st_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"receivables","6.628","23.682","14.102","15.185","24.478","68.139","79.93899999999999","96.309","175.698","150.269","141.549","162.861","171.972","119.533","116.725","133.51","175.756","213.796","193.972","243.096","263.945","294.961","316.785","335.173","335.173"
"inventories","0.414","0.822","0.857","1.879","3.377","","","","","","","","","","","","","","","","","","","",""
"other_current_assets","0.911","0.244","3.403","2.753","1.356","6.97","15.045","12.014","15.805","33.282","32.086","21.151","19.271","68.443","10.801","14.251","8.957000000000001","10.997","9.917","77.164","16.231","19.029","31.636","35.312","35.312"
"total_current_assets","14.92","28.263","23.223","49.596","118.89","92.34","179.205","164.513","194.35","218.036","293.93","232.016","205.788","205.279","135.558","175.263","214.91","311.156","224.118","350.554","361.984","356.684","388.961","496.935","496.935"
"equity_and_other_investments","","","","","","","","","","","","6.4","8.9","16.9","23.8","25.7","27.8","26.4","35.1","35.7","14.2","53.1","60.5","66.09999999999999","66.09999999999999"
"ppe_gross","7.617","15.355","15.249","17.218","22.685","44.437","75.002","93.07899999999999","118.458","151.719","216.654","242.8","269.9","289","283.9","184.5","175.6","177.9","124.9","208.991","215.44","219.357","339.446","368.606","368.606"
"accumulated_depreciation","-4.682","-5.065","-6.992","-9.999000000000001","-12.682","-17.048","-22.042","-24.766","-39.2","-59.8","-78.09999999999999","-94.26600000000001","-113.154","-129.891","-146.438","-141.8","-138.6","-146.814","-95.45099999999999","-96.087","-98.3","-99.7","-204.564","-196.022","-196.022"
"ppe_net","2.935","10.29","8.257","7.219","10.003","27.389","52.96","68.313","79.258","91.919","138.554","148.534","156.746","159.109","137.462","42.7","37","31.086","29.449","112.904","117.14","119.657","134.882","172.584","172.584"
"intangible_assets","","","","35.658","66.98399999999999","11.449","12.735","14.305","42.389","57.611","53.395","50.062","47.054","36.685","33.19","44.05","46.752","46.06","44.132","64.748","74.178","111.19","101.166","102.674","102.674"
"goodwill","","","","","","197","213.03","332.53","733.88","786.92","791.41","334.7","209.59","208.92","205.59","261.66","288.96","319.95","329.48","658.5","932.6900000000001","1196.09","1287.4","1244.68","1244.68"
"other_lt_assets","21.115","22.301","27.479","","3.856","11.819","5.826","7.449999999999901","20.317","17.865","22.536","86.57299999999999","102.517","99.51300000000001","134.142","132.342","118.607","78.83","54.839","40.339","67.006","20.247","3.3359999999998","-22.803","-22.803"
"total_assets","38.97","60.854","58.959","92.473","199.733","339.997","463.756","587.111","1070.194","1172.351","1299.825","858.285","730.595","726.4059999999999","669.742","681.715","734.029","813.482","717.1180000000001","1262.745","1567.198","1856.968","1976.245","2060.17","2060.17"
"accounts_payable","1.59","2.44","2.495","3.34","6.681","29.922","14.339","14.438","18.652","16.535","23.374","25.475","29.175","20.139","16.056","25.682","30.358","25.384","28.531","31.259","42.674","38.217","43.735","28.237","28.237"
"tax_payable","","","","","","","","","","","","","","","","","","","","0.5","","","","",""
"current_accrued_liabilities","","13.918","13.933","16.14","31.83","45.165","46.587","66.667","134.049","152.654","136.849","131.63","116.741","260.101","111.253","120.046","118.58","148.836","161.458","224.077","265.729","251.501","231.187","344.835","344.835"
"st_debt","6.726","30.265","6.379","5.191","2.112","20.695","3.223","","","","","33.888","35.807","13.904","12","5","5.22","10.638","1.612","8.227","10.496","12.995","15.496","36.314","36.314"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","71.59999999999999","","","",""
"current_deferred_tax_liability","","","","","1.353","4.173","11.63","6.771","4.663","11.245","14.285","11.748","6.009","3.9","2.885","0.7","0.3","","2.9","3.1","3.3","3.4","","",""
"other_current_liabilities","14.073","-7.105427357601E-15","8.948","9.347","","-1.4210854715202E-14","6.139","2.811","4.631","4.618","4.618","13.993","15.855","12.572","19.329","23.165","26.49","29.304","27.975","30.311","32.492","36.936","31.59","38.049","38.049"
"total_current_liabilities","22.389","46.623","31.755","34.018","41.976","99.955","81.91800000000001","101.736","204.627","229.306","216.304","221.734","204.787","312.416","162.323","175.193","181.348","215.062","222.476","326.943","456.337","374.282","355.529","473.721","473.721"
"lt_debt","9.372999999999999","5.591","4.474","2.696","1.38","43.063","2.114","","","","","111.551","66.904","33","104.372","91.63","87.809","78.203","5.775","230.556","204.511","432.075","419.42","361.862","361.862"
"noncurrent_capital_leases","","3.208","1.042","0.391","0.329","","","12.991","285.942","170.899","144.688","","","","","","","","","57.828","61.987","69.309","69.504","62.751","62.751"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","2.756","6.749","3.556","10.781","18.495","11.548","29.399","52.286","","3.4","3.4","3.3","2.8","1.8","1.9","1.3","1","28.7","1","21.011","41.235","41.235"
"other_lt_liabilities","11.729","2.057","4.725","1.213","0.82599999999999","0.82399999999998","4.936","6.069","5.959","6.412","6.832000000000099","4.852","1.271","5.111","1.985","1.656","1.9299999999999","1.891","4.934","4.905","4.922","3.979","4.208","0.8179999999998699","0.8179999999998699"
"total_liabilities","43.491","57.479","41.996","41.074","51.26","147.398","99.749","139.291","508.076","436.016","420.11","338.137","276.362","353.927","271.98","271.279","272.887","297.056","234.485","621.232","756.457","880.645","869.672","940.3869999999999","940.3869999999999"
"common_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"preferred_stock","0.001","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","-18.598","-13.212","-12.46","-4.053","16.451","46.552","84.807","149.57","236.252","372.089","484.669","102.205","18.617","-77.56100000000001","-64.785","-67.806","-30.545","0.204","119.55","246.383","429.991","639.063","757.672","747.925","747.925"
"aoci","","","","","","-0.628","","0.01","-0.447","0.114","0.025","0.013","0.015","0.015","0.015","0.015","0.015","0.015","0.015","0.015","","","","",""
"apic","14.096","16.539","29.439","55.465","132.032","146.684","279.553","297.802","326.12","363.67","407.156","432.39","450.792","467.89","481.762","504.29","537.472","568.78","603.6660000000001","645.256","698.287","728.1180000000001","755.063","787.177","787.177"
"treasury_stock","-0.025","-0.025","-0.025","-0.025","-0.025","-0.025","-0.379","-0.437","-0.617","-0.735","-14.022","-15.77","-17.116","-18.176","-19.86","-26.966","-46.774","-53.713","-241.685","-251.241","-319.092","-435.868","-461.2","-468.626","-468.626"
"other_equity","0.0049999999999981","0.0069999999999983","0.009000000000000299","0.011999999999993","0.015000000000015","0.015999999999991","0.02600000000001","0.02600000000001","0.027000000000044","0.02800000000002","0.029000000000224","0.030000000000086","0.032000000000039","0.032999999999959","0.034999999999968","0.034999999999968","0.034999999999968","0.034999999999968","0.036000000000001","0.037000000000035","0.037999999999897","0.037999999999897","0.038000000000011","0.038000000000011","0.038000000000011"
"minority_interest_liability","","0.066","","","","","","0.849","0.783","1.169","1.858","1.28","1.893","0.278","0.595","0.868","0.9389999999999999","1.105","1.051","1.063","1.517","44.972","55","53.269","53.269"
"total_equity","-4.521","3.375","16.963","51.399","148.473","192.599","364.007","447.82","562.1180000000001","736.335","879.715","520.148","454.233","372.479","397.762","410.436","461.142","516.426","482.633","641.513","810.741","976.323","1106.573","1119.783","1119.783"
"total_liabilities_and_equity","38.97","60.854","58.959","92.473","199.733","339.997","463.756","587.111","1070.194","1172.351","1299.825","858.285","730.595","726.4059999999999","669.742","681.715","734.029","813.482","717.1180000000001","1262.745","1567.198","1856.968","1976.245","2060.17","2060.17"
"cfo_net_income","0.5590000000000001","5.386","0.752","8.407","20.504","30.102","38.255","65.113","86.613","136.223","113.273","-382.342","-98.583","-97.77500000000001","13.089","-2.312","37.631","30.683","120.129","127.907","185.184","210.166","117.699","-10.936","-21.251"
"cfo_da","2.872","3.439","2.947","3.072","4.126","6.973","10.558","13.749","20.406","28.312","34.589","39.559","40.059","37.383","28.347","20.036","19.678","17.123","13.261","54.333","67.94199999999999","71.265","70.964","57.843","58.231"
"cfo_receivables","2.492","-1.905","7.04","-3.321","-12.348","-34.616","-18.564","-32.013","-60.478","5.2","-10.494","-6.526","-42.84","41.578","-5.29","-36.493","-36","-34.672","12.224","-24.146","2.114","-18.03","-14.23","-26.727","-66.057"
"cfo_inventory","0.235","-0.266","-1.307","-0.445","-1.134","-2.012","","","","","","","","","","","","","","","","","","",""
"cfo_prepaid_expenses","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","-1.643","-4.813","3.889","6.688","6.048","25.82","-19.309","25.902","30.277","8.233000000000001","-13.193","-0.744","-2.408","135.762","-157.474","18.148","-11.558","11.372","30.758","-7.21","24.108","-112.988","-90.81399999999999","-36.48","-19.644"
"cfo_change_in_working_capital","1.084","-6.984","9.622","2.922","-7.434","-10.808","-37.873","-6.111","-30.201","13.433","-23.687","-7.27","-45.248","177.34","-162.764","-18.345","-47.558","-23.3","42.982","-31.356","26.222","-131.018","-105.044","-63.207","-85.70099999999999"
"cfo_deferred_tax","","","-3.514","4.62","6.996","7.425","16.499","2.529","29.436","21.547","25.927","-122.402","-31.161","-57.095","22.561","-0.677","24.547","52.178","20.271","13.466","-26.56","44.582","23.377","20.655","20.477"
"cfo_stock_comp","","","","","","","","","","19.08","10.63","8.289999999999999","7.22","6.52","5.6","11.82","16.4","16.3","17.89","25.04","26.73","23.81","16.56","29.02","33.64"
"cfo_other_noncash_items","2.399","-0.295","3.41","2.767","5.519","9.848000000000001","15.641","17.805","44.487","29.064","45.541","605.375","197.207","35.89","27.633","97.26300000000001","11.561","12.747","8.949999999999999","12.61","9.433999999999999","-29.912","9.727","103.813","99.29000000000001"
"cf_cfo","6.914","1.546","13.217","21.788","29.711","43.54","43.08","93.08499999999999","150.741","247.659","206.273","141.21","69.494","102.263","-65.53400000000001","107.785","62.259","105.731","223.483","202","288.952","188.893","133.283","137.188","104.686"
"cfi_ppe_net","-0.048","-13.407","-1.128","-1.555","-5.129","-20.184","-29.186","-25.493","-28.353","-36.318","-63.922","-44.415","-47.631","-39.927","-12.005","-1.429","-15.717","-10.458","-6.504","-7.726","-5.252","-6.158","-6.099","-5.484","-6.84"
"cfi_acquisitions_net","","","","","","","","-102.297","-471.319","-53.572","-3.821","-132.235","-12.499","3.519","4.233","-68.717","-35.522","-33.715","-9.26","-345.46","-281.082","-270.165","-72.589","47.437","-0.196"
"cfi_investment_net","","","","","","32","","","","-3.107","-5","-3.515","","-10.067","-6.407","1.515","-1.04","-0.476","-7.144","-0.21","-0.875","-5","-15","0.15",""
"cfi_intangibles_net","","","","","","","","","-4.73","-5.214","-2.376","","","","","","","","","","","-0.419","-1.05","-7.093","-7.106"
"cfi_other","6.858","-2.366","-2.191","-6.772","-29.822","-144.517","-18.874","3.466","-1.249","0.9560000000000201","1.503","-0.54500000000002","0.137","0.017000000000003","-0.121","1.21","0.23","0.622","0.715","0.44799999999998","0.10100000000006","0.13499999999999","0.252","0.054000000000009","0.242"
