"Company: ","Ameren Corp (AEE:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","70.15000000000001","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Multi-Utilities","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","18973","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","34055","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","3855.849","3858","3841","4574","5135","6780","6880","7546","7869","7135","7638","6148","5781","5838","6053","6098","6076","6174","6291","5910","5794","6394","7957","7500","7254"
"cogs","1234.688","914","825","1493","1851","3012","3099","3454","3542","2799","4919","3950","3477","3490","3586","3501","3442","3391","3496","3167","2936","3403","4614","4033","3718"
"gross_profit","2621.161","2944","3016","3081","3284","3768","3781","4092","4327","4336","2719","2198","2304","2348","2467","2597","2634","2783","2795","2743","2858","2991","3343","3467","3536"
"sga","","","","","","","","","","","","","","","","","","","","","","","","","-307"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","1679.659","1979","2143","1991","2206","2484","2608","2750","2951","2913","1214","1076","1116","1164","1213","1338","1256","1329","1438","1476","1558","1522","1644","1614","1958"
"total_opex","1679.659","1979","2143","1991","2206","2484","2608","2750","2951","2913","1214","1076","1116","1164","1213","1338","1256","1329","1438","1476","1558","1522","1644","1614","1651"
"operating_income","941.502","965","873","1090","1078","1284","1173","1342","1376","1423","1505","1122","1188","1184","1254","1259","1378","1454","1357","1267","1300","1469","1699","1853","1885"
"net_interest_income_normal","","","","","","","","","-440","-508","-464","-356","-360","-368","-304","-314","-342","-357","-401","-381","-419","-356","-451","-533","-570"
"other_nonoperating_income","-183.216","-184","-254","-283","-266","-300","-342","-394","35","41","-565","-75","1","13","20","3","5","8","102","130","151","39","7","20","29"
"pretax_income","758.2859999999999","781","619","807","812","984","831","948","971","956","476","691","829","829","970","948","1041","1105","1058","1016","1032","1152","1255","1340","1344"
"income_tax","-301.192","-305","-237","-301","-282","-356","-284","-330","-327","-332","-325","-254","-307","-311","-377","-363","-382","-576","-237","-182","-155","-157","-176","-183","-190"
"net_income_continuing","457.094","476","382","506","530","628","547","618","644","624","151","437","522","518","593","585","659","529","821","834","877","995","1079","1157","1154"
"net_income_discontinued","","","","","","","","","","","","89","-1496","-223","-1","51","","","","","","","","",""
"income_allocated_to_minority_interest","-12.7","-12.445","","","-15","-16","-38","-38","-39","-12","-12","-7","","-6","-6","-6","-6","-6","-6","-6","-6","-5","-5","-5","-5"
"other_income_statement_items","12.7","5.445","","18","15","-6","38","38","","","","","","","","","","","","","","","","",""
"net_income","457.094","469","382","524","530","606","547","618","605","612","139","519","-974","289","586","630","653","523","815","828","871","990","1074","1152","1149"
"preferred_dividends","","","11","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","457.094","469","371","524","530","606","547","618","605","612","139","519","-974","289","586","630","653","523","815","828","871","990","1074","1152","1149"
"eps_basic","3.33","3.41","2.61","3.25","2.84","3.02","2.66","2.98","2.88","2.78","0.58","2.15","-4.01","1.19","2.42","2.6","2.69","2.16","3.34","3.37","3.53","3.86","4.16","4.39","4.36"
"eps_diluted","3.33","3.4","2.61","3.25","2.84","3.02","2.66","2.98","2.88","2.78","0.58","2.15","-4.01","1.18","2.4","2.59","2.68","2.14","3.32","3.35","3.5","3.84","4.14","4.38","4.35"
"shares_basic","137.265","137.3","146.36","161.231","186.62","200.8","205.6","207.4","210.1","220.4","238.8","241.5","242.6","242.6","242.6","242.6","242.6","242.6","243.8","245.6","247","256.3","258.4","262.8","262.8"
"shares_diluted","137.265","137.941","146.36","161.231","186.62","200.8","205.6","207.4","210.1","220.4","238.8","242.1","243","244.5","244.4","243.6","243.4","244.2","245.8","247.1","248.7","257.6","259.5","263.4","263.4"
"cash_and_equiv","125.968","67","628","111","69","96","137","355","92","622","545","255","184","30","5","292","9","10","16","16","139","8","10","25","25"
"st_investments","","","","","","","","","","","","","","","","","","","","","","8","240","",""
"receivables","530.954","460","442","547","816","965","887","929","1258","1109","1133","866","716","904","769","725","795","838","837","734","749","820","1100","919","919"
"inventories","227.05","295","299","487","497","572","647","735","842","782","707","712","570","526","524","538","527","522","483","494","521","592","667","733","733"
"other_current_assets","37.21","42","83","172","90","185","203","461","416","329","505","462","2126","512","396","362","262","242","197","187","244","540","651","504","504"
"total_current_assets","921.182","864","1452","1317","1472","1818","1874","2480","2608","2842","2890","2295","3596","1972","1694","1917","1593","1612","1533","1431","1653","1968","2668","2181","2181"
"equity_and_other_investments","","","","","","","","","239","293","337","357","408","494","549","556","607","704","684","847","982","1159","958","1150","1150"
"ppe_gross","13910.039","14963","15671","17514","20291","20809","22013","23484","25066","26397","27047","27556","23694","24849","27183","29146","31074","33099","35083","37382","40580","43475","45727","49202","49202"
"accumulated_depreciation","-6204.367","-6536","-6179","-6594","-6994","-7228","-7727","-8415","-8499","-8787","-9194","-9429","-8346","-8644","-9759","-10347","-10961","-11633","-12273","-13006","-13773","-14214","-14465","-15426","-15426"
"ppe_net","7705.672","8427","9492","10920","13297","13581","14286","15069","16567","17610","17853","18127","15348","16205","17424","18799","20113","21466","22810","24376","26807","29261","31262","33776","33776"
"intangible_assets","","","","574","1066","1299","1047","1029","167","129","7","7","14","","","","","","","","","","","",""
"goodwill","","","","","","","","","831","831","411","411","411","411","411","411","411","411","411","411","411","411","411","411","411"
"other_lt_assets","1087.576","1110","1207","1425","1615","1473","2371","2150","2259","1997","2013","2448","2453","1960","2211","1957","1975","1752","1777","1868","2177","2936","2605","3312","3312"
"total_assets","9714.43","10401","12151","14236","17450","18171","19578","20728","22671","23702","23511","23645","22230","21042","22289","23640","24699","25945","27215","28933","32030","35735","37904","40830","40830"
"accounts_payable","462.924","392","369","480","567","706","671","687","813","694","651","693","533","806","711","777","805","902","817","874","958","1095","1159","1136","1136"
"tax_payable","","","","","","","","","54","54","63","65","49","55","46","43","46","52","","","","","","",""
"current_accrued_liabilities","475.333","409","222","318","388","492","463","522","107","110","107","101","89","86","85","89","93","99","","94","114","","","",""
