"Company: ","American Express Company (AXP:US)","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","230.59","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Consumer Finance","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","166497","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","161178","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","2137","2991","3063","2795","5230","6756","7424","7745","5331","7073","6696","6854","7005","7179","7545","7484","8563","10606","12084","10083","9033","12658","19983","21342"
"total_interest_expense","1501","1082","905","1605","1979","2866","3981","3555","2207","2423","2320","2226","1958","1707","1623","1705","2112","2943","3464","2098","1283","2763","6849","7422"
"net_interest_income","636","1909","2158","1190","3251","3890","3443","4190","3124","4650","4376","4628","5047","5472","5922","5779","6451","7663","8620","7985","7750","9895","13134","13920"
"total_noninterest_revenue","20445","20816","22803","19776","19174","20936","24116","24175","21001","22932","25586","26927","27819","27972","26835","30877","30427","32652","35013","28254","35397","42665","47229","48058"
"revenue","21081","22725","24961","20966","22425","24826","27559","28365","24125","27582","29962","31555","32866","33444","32757","36656","36878","40315","43633","36239","43147","52560","60363","61978"
"credit_losses_provision","","","","1963","2387","2558","3901","5798","5313","2207","1112","1712","1832","2044","1988","2027","2760","3352","3573","4730","-1419","2182","4923","5137"
"net_interest_income_after_credit_losses_provision","636","1909","2158","-773","864","1332","-458","-1608","-2189","2443","3264","2916","3215","3428","3934","3752","3691","4311","5047","3255","9169","7713","8211","8783"
"total_noninterest_expense","18790","19012","20716","15190","15712","17141","18954","19108","16844","20136","22303","22653","22806","22364","22473","26177","26651","28864","31506","27088","33887","40651","44748","45350"
"pretax_income","1596","3727","4247","3831","4053","5152","5694","3581","2841","5964","6956","6451","7888","8991","7938","8042","7425","8122","8429","4296","10689","9585","10513","11491"
"income_tax","-285","-1056","-1247","-1145","-991","-1527","-1568","-710","-704","-1907","-2057","-1969","-2529","-3106","-2775","-2667","-4677","-1201","-1670","-1161","-2629","-2071","-2139","-2496"
"net_income_continuing","1311","2671","3000","2686","3062","3625","4126","2871","2137","4057","4899","4482","5359","5885","5163","5375","2748","6921","6759","3135","8060","7514","8374","8995"
"net_income_discontinued","","","","759","672","82","-114","-172","-7","","36","","","","","","","","","","","","",""
"net_income","1311","2671","2987","3445","3734","3707","4012","2699","2130","4057","4935","4482","5359","5885","5163","5375","2748","6921","6759","3135","8060","7514","8374","8995"
"preferred_dividends","","","","","","","","","306","","","","","","62","80","81","80","81","79","71","57","58","62"
"net_income_available_to_shareholders","1311","2671","2987","3445","3734","3707","4012","2699","1824","4057","4935","4482","5359","5885","5101","5295","2667","6841","6678","3056","7989","7457","8316","8933"
"eps_basic","0.99","2.02","2.33","2.74","3.03","3.06","3.4","2.33","1.54","3.37","4.14","3.91","4.91","5.58","5.07","5.63","3","7.93","8","3.77","10.04","9.859999999999999","11.23","12.16"
"eps_diluted","0.98","2.01","2.3","2.68","2.97","2.99","3.34","2.32","1.54","3.35","4.12","3.89","4.88","5.56","5.05","5.61","2.99","7.91","7.99","3.77","10.02","9.85","11.21","12.14"
"shares_basic","1324","1320","1284","1259","1233","1212","1173","1154","1168","1188","1178","1135","1082","1045","999","933","883","856","828","805","789","751","735","735"
"shares_diluted","1336","1330","1298","1285","1258","1238","1193","1156","1171","1195","1184","1141","1089","1051","1003","935","886","859","830","806","790","752","736","736"
"cash_and_equiv","7222","10288","5726","7808","7126","5306","8878","20547","16599","16356","24893","22250","19486","22084","22721","25093","32879","27381","24274","32826","21522","33537","46530","46530"
"loans_gross","27401","29003","33411","35340","76056","81690","95287","76256","67048","98552","103948","108566","112022","116168","118972","114034","130133","141547","149572","119926","145118","170993","193492","193492"
"allowance_for_loan_losses","-961","-1181","-1111","-1084","-2039","-2188","-3025","-3419","-3841","-4056","-2330","-1919","-1660","-1678","-1510","-1732","-2307","-2831","-3154","-5849","-3421","-4035","-5418","-5418"
"loans_net","26440","27822","32300","34256","74017","79502","92262","72837","63207","94496","101618","106647","110362","114490","117462","112302","127826","138716","146418","114077","141697","166958","188074","188074"
"total_investments","46488","53638","57067","21675","21334","18274","13214","12526","24337","14010","7147","5614","5016","5053","4397","3981","4182","4647","8406","21631","2591","4578","2186","2186"
"ppe_net","2811","2979","3184","2380","2230","2350","2692","2948","2782","2905","3367","3635","3875","3938","4108","4433","4329","4416","4834","5015","4988","5215","5138","5138"
"intangible_assets","","","","","","156","204","717","717","972","1149","993","817","854","796","868","899","275","267","265","201","146","98","98"
"goodwill","","","","","","1469","1508","2301","2328","2639","3172","3181","3198","3024","2749","2927","3009","3072","3315","3852","3804","3786","3851","3851"
"other_lt_assets","68139","62526","76724","128097","9253","21272","30985","14198","15175","15311","11991","10820","10621","9660","8951","9289","8072","10095","10807","13701","13745","14134","15231","15231"
"total_assets","151100","157253","175001","194216","113960","128329","149743","126074","125145","146689","153337","153140","153375","159103","161184","158893","181196","188602","198321","191367","188548","228354","261108","261108"
"deposits_liability","14557","18317","21250","19892","31754","19225","22594","21919","32264","35345","43021","44404","46003","47844","58244","55854","67007","69960","73287","86875","84382","110239","129144","129144"
"st_debt","31569","21103","19046","14531","15633","15236","15327","8523","2344","3414","4337","3314","5021","3480","4812","5581","3278","3100","6442","1878","2243","1348","1293","1293"
"lt_debt","8288","16819","20654","32676","30781","42747","55285","60041","52338","66416","59570","58973","55330","57955","48061","46990","55804","58423","57835","42952","38675","42573","47866","47866"
"other_lt_liabilities","84649","87153","98728","111097","25243","40610","45508","23750","23793","25284","27615","27563","27525","29151","29394","29967","36846","34829","37686","36678","41071","49483","54748","54748"
"total_liabilities","139063","143392","159678","178196","103411","117818","138714","114233","110739","130459","134543","134254","133879","138430","140511","138392","162935","166312","175250","168383","166371","203643","233051","233051"
"common_stock","266","261","257","250","248","240","232","232","237","238","232","221","213","205","194","181","172","170","163","161","153","149","145","145"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","6421","7606","8793","8196","1788","1153","1075","2719","3737","4972","7221","7525","8507","9513","9665","10371","8307","12499","13871","13837","13474","16279","19612","19612"
"aoci","-177","319","192","258","-139","-520","-442","-1606","-712","-917","-876","-927","-1426","-1919","-2534","-2784","-2428","-2597","-2737","-2895","-2945","-3210","-3072","-3072"
"apic","5527","5675","6081","7316","8652","9638","10164","10496","11144","11937","12217","12067","12202","12874","13348","12733","12210","12218","11774","11881","11495","11493","11372","11372"
"treasury_stock","","","","","","","","","","","","","","","","","","","","","","","",""
"other_equity","","","","","","","","","","","","","","","","","","","","","","","",""
"total_equity","12037","13861","15323","16020","10549","10511","11029","11841","14406","16230","18794","18886","19496","20673","20673","20501","18261","22290","23071","22984","22177","24711","28057","28057"
"total_liabilities_and_equity","151100","157253","175001","194216","113960","128329","149743","126074","125145","146689","153337","153140","153375","159103","161184","158893","181196","188602","198321","191367","188548","228354","261108","261108"
"cfo_net_income","1311","2671","2987","2686","3062","3625","4126","2871","2137","4057","4899","4482","5359","5885","5163","5375","2748","6921","6759","3135","8060","7514","8374","8995"
"cfo_da","1196","951","676","600","567","608","648","712","1070","917","918","991","1020","1012","1043","1095","1321","1293","1188","1543","1695","1626","1651","1641"
"cfo_receivables","","","","-716","-682","-295","-927","101","-730","-498","663","153","-73","-56","-714","-332","473","248","","","","","",""
"cfo_inventory","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_prepaid_expenses","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","-1066","2078","-3707","1624","1644","2164","765","-2536","-21","624","1057","-1049","64","2756","2485","938","5174","-3622","1403","-3810","6457","10206","3821","9039"
"cfo_change_in_working_capital","-1066","2078","-3707","908","962","1869","-162","-2435","-751","126","1720","-896","-9","2700","1771","606","5647","-3374","1403","-3810","6457","10206","3821","9039"
"cfo_deferred_tax","","","120","934","-266","-378","-851","442","-1429","1135","818","496","-5","-941","507","-1066","782","455","-151","-939","294","-1189","-1329","-1129"
"cfo_stock_comp","","","","183","232","275","276","256","230","287","301","297","350","290","234","254","282","283","283","249","330","375","450","486"
"cfo_other_noncash_items","3883","2974","2462","3832","3488","3113","3974","5927","5080","2207","1112","1712","1832","2044","1988","2027","2760","3352","4150","5413","-2191","2547","5592","5456"
"cf_cfo","5324","8674","2538","9143","8045","9112","8011","7773","6337","8729","9768","7082","8547","10990","10706","8291","13540","8930","13632","5591","14645","21079","18559","24488"
"cfi_ppe_net","-859","-670","-1021","-364","-345","-754","-883","-950","-672","-869","-1189","-1053","-1006","-1195","-1341","-1375","-1062","-1310","-1645","-1478","-1550","-1855","-1563","-1598"
"cfi_acquisitions_net","","","","","","","-124","","","","","","-195","","-155","","-211","","-352","","","","",""
