"Company: ","American Homes 4 Rent (AMH:US)","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","",""
"Last Close Price: ","36.25","","","","","","","","","","","","",""
"Industry: ","Diversified REITs","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","",""
"Market Cap.: ","15371","","","","","","","","","","","","",""
"Enterprise Value: ","19749","","","","","","","","","","","","",""
"period_end_date","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","","4.54","139.032","398.874","630.576","878.889","960.399","1072.855","1132.137","1172.514","1303.882","1490.534","1623.605","1649.457"
"cogs","","4.527","80.104","184.814","293.319","388.034","424.786","487.478","520.7619999999999","540.159","587.0700000000001","664.789","722.822","732.283"
"gross_profit","","0.013","58.928","214.06","337.257","490.855","535.6130000000001","585.377","611.375","632.355","716.812","825.745","900.783","917.174"
"sga","","7.269","9.923999999999999","24.533","26.867","33.068","34.732","36.575","43.206","48.517","56.444","68.057","74.61499999999999","78.645"
"rnd","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","",""
"other_opex","","2.111","70.98699999999999","165.516","242.848","298.677","297.29","318.685","329.293","343.153","372.848","426.531","456.55","459.559"
"total_opex","","9.380000000000001","80.911","190.049","269.715","331.745","332.022","355.26","372.499","391.67","429.292","494.588","531.165","538.204"
"operating_income","","-9.367000000000001","-21.983","24.011","67.542","159.11","203.591","230.117","238.876","240.685","287.52","331.157","369.618","378.97"
"net_interest_income_normal","","","-0.37","-19.881","-89.413","-130.847","-112.62","-122.9","-127.114","-117.038","-114.893","-134.871","-140.198","-142.893"
"other_nonoperating_income","","-0.869","2.279","-37.222","-26.077","-17.817","-14.479","5.221","44.498","31.182","37.932","113.739","202.722","186.461"
"pretax_income","","-10.236","-20.074","-33.092","-47.948","10.446","76.492","112.438","156.26","154.829","210.559","310.025","432.142","422.538"
"income_tax","","","","","","","","","","","","","",""
"net_income_continuing","","-10.236","-20.074","-33.092","-47.948","10.446","76.492","112.438","156.26","154.829","210.559","310.025","432.142","422.538"
"net_income_discontinued","","","1.008","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","-13.245","-14.965","-14.353","-3.751","4.507","-4.165","-15.221","-14.455","-21.467","-36.887","-51.974","-50.546"
"other_income_statement_items","","","","","","","-1.4210854715202E-14","","","","2.8421709430404E-14","","",""
"net_income","","-10.236","-32.311","-48.057","-62.301","6.695","80.999","108.273","141.039","140.374","189.092","273.138","380.168","371.992"
"preferred_dividends","","","1.16","18.928","22.276","40.237","60.718","52.586","55.128","55.128","37.923","17.081","13.944","13.944"
"net_income_available_to_shareholders","","-10.236","-33.471","-66.985","-84.577","-33.542","20.281","55.687","85.911","85.246","151.169","256.057","366.224","358.048"
"eps_basic","","-0.14","-0.36","-0.34","-0.4","-0.14","-0.08","0.08","0.29","0.28","0.42","0.72","1.01","0.98"
"eps_diluted","","-0.14","-0.36","-0.34","-0.4","-0.14","-0.08","0.08","0.29","0.28","0.41","0.71","1.01","0.98"
"shares_basic","","72.235","123.592","196.349","210.6","234.01","264.255","293.641","299.415","306.613","324.245","349.291","362.025","362.025"
"shares_diluted","","72.235","123.592","196.349","210.6","234.01","264.255","294.268","299.919","307.075","325.518","349.787","362.477","362.477"
"cash_and_equiv","","397.198","148.989","108.787","57.686","118.799","46.156","30.284","37.575","137.06","48.198","69.155","59.385","59.385"
"st_investments","","","","","","","","","","","","","",""
"receivables","0.011","6.586","6.863","11.009","13.936","17.618","30.144","29.027","66.452","77.063","76.93300000000001","50.135","43.876","43.876"
"inventories","","","","","","","","","","","","","",""
"other_current_assets","0.017","","26.43","77.19799999999999","111.282","131.442","136.667","144.93","126.544","128.017","143.569","148.805","162.476","162.476"
"total_current_assets","0.028","403.784","182.282","196.994","182.904","267.859","212.967","204.241","230.571","342.14","268.7","268.095","265.737","265.737"
"equity_and_other_investments","","","","25.666","25.666","25.666","25.666","25.666","93.601","118.775","147.616","133.013","139.864","139.864"
"ppe_gross","","","","","","","","","3.836","18.772","17.269","19.129","16.623","16.623"
"accumulated_depreciation","","","","","","","","","","","","","",""
"ppe_net","","","","","","","","","3.836","18.772","17.269","19.129","16.623","16.623"
"intangible_assets","","","-4.105","-16.743","-10.722","-2.067","-5.25","-10.473","-8.143000000000001","4.863","13.133","-0.0010000000000048","-0.0010000000000048","-0.0010000000000048"
"goodwill","","","120.66","120.66","120.66","120.28","120.28","120.28","120.28","120.28","120.28","120.28","120.28","120.28"
"other_lt_assets","3.495","517.674","3925.307","5900.774","6432.711","7695.472","8255.105","8661.767","8659.964","8988.795","10395.435","11634.543","12145.687","12145.687"
"total_assets","3.523","921.458","4224.144","6227.351","6751.219","8107.21","8608.768","9001.481","9100.109","9593.625","10962.433","12175.059","12688.19","12688.19"
"accounts_payable","","0.259","0.901","4.925","1.173","0.008999999999999999","1.726","0.195","5.037","0.432","1.113","5.719","36.056","36.056"
"tax_payable","0.007","4.76","28.24","49.018","46.024","46.091","47.765","40.566","44.28","48.689","52.545","51.586","59.015","59.015"
"current_accrued_liabilities","0.038","4.532","38.455","46.273","37.46","41.161","49.716","59.747","72.134","102.008","134.146","190.601","201.716","201.716"
"st_debt","","","","","","","140","250","","","350","130","90","90"
"current_deferred_revenue","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","",""
"other_current_liabilities","0.004","6.743","35.801","42.877","57.912","70.43000000000001","107.653","101.182","102.485","109.067","105.809","119.386","119.577","119.577"
"total_current_liabilities","0.049","16.294","103.397","143.093","142.569","157.691","346.86","451.69","223.936","260.196","643.6130000000001","497.292","506.364","506.364"
"lt_debt","","","441.938","1850.091","2594.352","2922.574","2335.887","2553.543","2833.497","2817.412","3530.478","4385.998","4371.647","4371.647"
"noncurrent_capital_leases","","","","","","","","","3.916","19.166","18.723","20.755","18.288","18.288"
"pension_liabilities","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","6.613","16.275","19.515","20.727","22.506","19.97","24.421","31.19","26.922","30.32","30.32"
"other_lt_liabilities","","","28.15","57.96","62.79","69.81","29.47","","","4.5474735088646E-13","","69.434","108.688","108.688"
"total_liabilities","0.049","16.294","573.485","2057.757","2815.986","3169.59","2732.944","3027.739","3081.319","3121.195","4224.004","5000.401","5035.307","5035.307"
"common_stock","","","2","2","2","2","3","3","3","3","3","4","4","4"
"preferred_stock","","","0.091","0.171","0.171","0.37","0.384","0.354","0.354","0.354","0.154","0.092","0.092","0.092"
"retained_earnings","-0.042","-10.278","-63.479","-170.162","-296.865","-378.578","-453.953","-491.214","-465.368","-443.522","-438.71","-440.791","-394.908","-394.908"
"aoci","","","","-0.229","-0.102","0.095","0.075","7.393","6.658","5.84","1.814","1.332","0.843","0.843"
