"Company: ","American Water Works (AWK:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","129.37","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Water Utilities","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","25751","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","37733","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","1997-12","1998-12","1999-12","2000-12","2001-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","1131.374","1200.037","1260.857","1350.59","1438.887","2136.746","2093.067","2214.215","2336.928","2441.466","2555.035","2666.236","2853.926","2879","3011","3159","3302","3357","3440","3610","3777","3930","3792","4234","4307"
"cogs","508.702","525.8099999999999","552.963","592.634","664.549","","","","","","1290.941","1301.794","1329.5","1289","1350","1404","1499","1369","1479","1544","1622","1777","1589","1720","1743"
"gross_profit","622.672","674.227","707.894","757.956","774.338","2136.746","2093.067","2214.215","2336.928","2441.466","1264.094","1364.442","1524.426","1590","1661","1755","1803","1988","1961","2066","2155","2153","2203","2514","2564"
"sga","","","","","","","","","","","","","","","","","","","","","","","","",""
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","750.328","794.312","288.3","894.412","982.056","","1845.537","2211.279","1773.824","1817.857","535.861","562.299","601.16","641","660","683","728","751","822","852","907","957","930","1010","1029"
"total_opex","750.328","794.312","288.3","894.412","982.056","","1845.537","2211.279","1773.824","1817.857","535.861","562.299","601.16","641","660","683","728","751","822","852","907","957","930","1010","1029"
"operating_income","-127.656","-120.085","419.594","-136.456","-207.718","2136.746","247.53","2.936","563.104","623.609","728.2329999999999","802.143","923.266","949","1001","1072","1075","1237","1139","1214","1248","1196","1273","1504","1535"
"net_interest_income_normal","","","","","","","","","-285.155","-296.545","-318.281","-317.47","-316.152","-308","-299","-308","-325","-342","-350","-382","-395","-399","-381","-387","-386"
"other_nonoperating_income","353.337","366.072","-189.245","402.823","479.525","-2136.746","-356.468","-258.455","-728.543","-438.729","19.472","19.007","23.275","-33","8","18","20","17","-2","1","71","843","116","79","75"
"pretax_income","225.681","245.987","230.349","266.367","271.807","","-108.938","-255.519","-450.594","-111.665","429.424","503.68","630.389","608","710","782","770","912","787","833","924","1640","1008","1196","1224"
