"Company: ","Ameriprise Financial Inc (AMP:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","438.13","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Capital Markets","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","43737","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","42048","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"premiums_earned","","","","","1023","1129","1070","1063","1048","1098","1179","1220","1223","1282","1385","1455","1491","1394","2467","2224","1395","221","1397","1539","1567"
"net_investment_income","","","","","","","","2018","817","2002","2309","76","116","276","197","251","163","66","144","-43","41","102","165","35","-18"
"fees_and_other_income","6261","4744","5575","6042","5873","6267","6950","5724","5232","4846","6094","8896","8878","9641","10686","10464","10146","10672","10224","10573","10463","13054","12696","13961","14390"
"revenue","6261","4744","5575","6042","6896","7396","8020","8805","7097","7946","9582","10192","10217","11199","12268","12170","11800","12132","12835","12754","11899","13377","14258","15535","15939"
"sga","","","","","2288","2293","2480","4615","4384","4296","4802","5569","5687","5981","6331","6358","6284","6555","6808","7097","7179","8463","8658","8949","9165"
"net_policyholder_claims_expense","","","","","828","1083","1113","1179","1125","1342","1750","1606","1899","1954","1982","2261","2646","2233","2302","2576","1806","-321","554","2128","1616"
"policy_acquisition_expense","","","","","","","","","933","217","127","397","286","207","367","354","415","267","322","179","277","259","252","246","245"
"interest_expense_insurance","","","","","52","73","116","361","109","127","360","317","276","281","328","387","241","207","245","214","162","191","198","324","334"
"operating_income","","","","","1173","745","797","1016","-423","920","1634","1447","1238","1970","2547","2142","1591","2214","2484","2232","1831","4185","3931","3234","3957"
"pretax_income","","","","","1173","745","797","1016","-423","920","1634","1447","1238","1970","2547","2142","1591","2214","2484","2232","1831","4185","3931","3234","3957"
"income_tax","","","","","-308","-187","-166","-202","333","-183","-350","-377","-335","-492","-545","-455","-278","-734","-386","-339","-297","-768","-782","-678","-828"
"net_income_continuing","","","","","865","558","631","814","-90","737","1284","1070","903","1478","2002","1687","1313","1480","2098","1893","1534","3417","3149","2556","3129"
"net_income_discontinued","","","","0.36","0.32","16","","","","","-24","-60","-2","-3","-2","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","54","-15","-163","106","128","-141","-381","-125","","","","","","","","",""
"net_income","1025","87","674","725","794","574","631","814","-36","722","1097","1116","1029","1334","1619","1562","1313","1480","2098","1893","1534","3417","3149","2556","3129"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","1025","87","674","725","794","574","631","814","-36","722","1097","1116","1029","1334","1619","1562","1313","1480","2098","1893","1534","3417","3149","2556","3129"
"eps_basic","4.16","0.35","2.74","2.95","3.22","2.32","2.56","3.45","-0.16","2.98","4.26","4.62","4.7","6.56","8.449999999999999","8.6","7.9","9.6","14.41","14.12","12.39","29.13","28.29","24.18","29.94"
"eps_diluted","4.16","0.35","2.74","2.95","3.22","2.32","2.54","3.39","-0.16","2.95","4.18","4.53","4.62","6.44","8.300000000000001","8.48","7.81","9.44","14.2","13.92","12.2","28.48","27.7","23.71","29.38"
"shares_basic","246.2","246.2","246.2","245.763","246.584","247.1","246.5","236.2","222.3","242.2","257.4","241.4","218.7","203.2","191.6","181.7","166.3","154.1","145.6","134.1","123.8","117.3","111.3","105.7","105.7"
"shares_diluted","246.2","246.2","246.2","245.763","246.584","247.2","248.5","239.9","224.9","244.4","262.3","246.3","222.8","207.1","195","184.2","168.2","156.7","147.7","136","125.7","120","113.7","107.8","107.8"
"cash_and_equiv","","","","","","","2760","3836","6228","3278","3310","3251","2950","3051","3028","2859","2486","2620","3097","3827","6845","7248","7097","7564","7564"
"total_investments","","","","","","","","","","36974","35929","43709","40148","39560","40392","39400","36786","36654","36317","38381","41765","37022","45999","56691","56691"
"receivables","","","","","","","3161","3441","3887","4484","4909","4440","4315","4610","5027","5274","5310","5787","6185","7210","7835","16222","15615","15106","15106"
"deferred_policy_acquisition_cost","","","","","","","4499","4503","4482","4334","4619","2440","2399","2663","2608","2730","2648","2676","2776","2698","2532","2782","2777","2713","2713"
"ppe_net","","","","","","","","","","","","","","","","","","","","","","","","",""
"intangible_assets","","","","","","","","","","","","","","","","","","","","","","","","",""
