"Company: ","Amgen Inc (AMGN:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","319.31","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Biotechnology","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","170666","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","221019","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","3448.4","4015.7","5523","8356","10550","12430","14268","14771","15003","14642","15053","15582","17265","18676","20063","21662","22991","22849","23747","23362","25424","25979","26323","28190","29532"
"cogs","196.6","443","736","1341","1731","2082","2095","2548","2296","2091","2220","2708","3199","3346","4422","4227","4162","4069","4101","4356","6159","6454","6406","8451","9931"
"gross_profit","3251.8","3572.7","4787","7015","8819","10348","12173","12223","12707","12551","12833","12874","14066","15330","15641","17435","18829","18780","19646","19006","19265","19525","19917","19739","19601"
"sga","826.9","970.7","1449","1957","2556","2790","3366","3361","3789","3820","3983","4499","4814","5184","4699","4846","5062","4870","5332","5150","5730","5368","5414","6179","6729"
"rnd","845","865","1117","1655","2028","2314","3366","3266","3030","2864","2894","3167","3380","4083","4297","4070","3840","3562","3737","4116","4207","4819","4434","4784","5069"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","211.8","205.8","14","312","333","396","370","817","674","361","411","896","295","196","454","49","133","375","314","66","189","194","503","879","836"
"total_opex","1883.7","2041.5","2580","3924","4917","5500","7102","7444","7493","7045","7288","8562","8489","9463","9450","8965","9035","8807","9383","9332","10126","10381","10351","11842","12634"
"operating_income","1368.1","1531.2","2207","3091","3902","4848","5071","4779","5214","5506","5545","4312","5577","5867","6191","8470","9794","9973","10263","9674","9139","9144","9566","7897","6967"
"net_interest_income_normal","","","","","","","","","-199","-302","-228","-162","-568","-602","-606","-492","-631","-376","-718","-1289","-1262","-1197","-1406","-2875","-3156"
"other_nonoperating_income","306.2","155.1","-2892","82","-507","20","-1051","-818","","","","","","","","","","","","753","256","-1246","-814","2833","534"
"pretax_income","1674.3","1686.3","-685","3173","3395","4868","4020","3961","5015","5204","5317","4150","5009","5265","5585","7978","9163","9597","9545","9138","8133","6701","7346","7855","4345"
"income_tax","-535.8","-566.6","-707","-914","-1032","-1194","-1070","-795","-963","-599","-690","-467","-664","-184","-427","-1039","-1441","-7618","-1151","-1296","-869","-808","-794","-1138","-582"
"net_income_continuing","1138.5","1119.7","-1392","2259","2363","3674","2950","3166","4052","4605","4627","3683","4345","5081","5158","6939","7722","1979","8394","7842","7264","5893","6552","6717","3763"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","2.2737367544323E-13","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","1138.5","1119.7","-1392","2259","2363","3674","2950","3166","4052","4605","4627","3683","4345","5081","5158","6939","7722","1979","8394","7842","7264","5893","6552","6717","3763"
