"Company: ","Antero Midstream Partners LP (AM:US)","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","",""
"Last Close Price: ","14.9","","","","","","","","",""
"Industry: ","Oil, Gas & Consumable Fuels","","","","","","","","",""
"Currency: ","USD","","","","","","","","",""
"Country: ","US","","","","","","","","",""
"Market Cap.: ","7054","","","","","","","","",""
"Enterprise Value: ","10203","","","","","","","","",""
"period_end_date","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","","","","","849.598","971.391","968.874","990.657","1112.443","1132.019"
"cogs","","","","","348.354","344.848","336.582","382.688","419.896","417.84"
"gross_profit","","","","","501.244","626.543","632.292","607.9690000000001","692.547","714.179"
"sga","","0.8139999999999999","41.134","43.851","118.113","52.213","63.838","62.125","71.068","74.94199999999999"
"rnd","","","","","","","","","",""
"special_charges","","","","","","","","","",""
"other_opex","","","","","11.588","15.399","4.457","4.927","3.441","3.048"
"total_opex","","0.8139999999999999","41.134","43.851","129.701","67.61199999999999","68.295","67.05200000000001","74.509","77.98999999999999"
"operating_income","","-0.8139999999999999","-41.134","-43.851","371.543","558.931","563.997","540.917","618.038","636.189"
"net_interest_income_normal","","","","-0.136","-110.402","-147.007","-175.281","-189.948","-217.245","-215.929"
"other_nonoperating_income","1.264","16.944","69.72","142.906","-718.721","-590.139","60.024","92.767","99.28","102.05"
"pretax_income","1.264","16.13","28.586","98.919","-457.58","-178.215","448.74","443.736","500.073","522.3099999999999"
"income_tax","-0.483","-6.419","-26.261","-32.311","102.466","55.688","-117.123","-117.494","-128.287","-133.105"
"net_income_continuing","0.781","9.711","2.325","66.608","-355.114","-122.527","331.617","326.242","371.786","389.205"
"net_income_discontinued","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","",""
"other_income_statement_items","","1.7763568394003E-15","8.8817841970013E-16","","","","","5.6843418860808E-14","5.6843418860808E-14","-1.4210854715202E-14"
"net_income","0.781","9.711","2.325","66.608","-355.114","-122.527","331.617","326.242","371.786","389.205"
"preferred_dividends","","","","","0.442","0.55","0.55","0.55","0.55","0.55"
"net_income_available_to_shareholders","0.781","9.711","2.325","66.608","-355.556","-123.077","331.067","325.692","371.236","388.655"
"eps_basic","","0.05","0.03","0.33","-0.8","-0.26","0.6899999999999999","0.68","0.77","0.8"
"eps_diluted","","0.05","0.03","0.33","-0.8","-0.26","0.6899999999999999","0.68","0.77","0.79"
"shares_basic","186.17","186.17","186.176","186.203","442.64","478.278","477.27","478.232","479.378","479.378"
"shares_diluted","186.17","186.17","186.176","186.203","442.64","478.278","479.736","480.3","482.372","482.372"
"cash_and_equiv","0.07199999999999999","9.609","5.987","2.822","1.235","0.64","","","0.066","0.066"
"st_investments","","","","","","","","","",""
"receivables","","0.217","","","105.603","91.812","82.884","87.667","89.562","89.562"
"inventories","","","","","","","","","",""
"other_current_assets","","","","0.08699999999999999","1.72","1.479","0.92","1.326","1.5","1.5"
"total_current_assets","0.07199999999999999","9.826000000000001","5.987","2.909","108.558","93.931","83.804","88.99299999999999","91.128","91.128"
