"Company: ","Aon PLC (AON:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","292.82","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","64894","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","74402","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","7319","7426","7443","9810","10172","6651","6881","7359","7528","7595","8512","11287","11514","11815","12045","9480","9409","9998","10770","11013","11066","12193","12479","13376","13575"
"cogs","","","","","","","","","","","5097","6567","6709","6945","7014","5605","5514","6003","6103","6054","5905","6738","6477","6902","6993"
"gross_profit","7319","7426","7443","9810","10172","6651","6881","7359","7528","7595","3415","4720","4805","4870","5031","3875","3895","3995","4667","4959","5161","5455","6002","6474","6582"
"sga","5190","5813","6355","7123","7406","5700","5862","6053","6588","6574","2171","3124","3209","3199","3065","1562","1552","1706","1869","1723","1510","2541","1739","1862","1870"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","-12963","-7781","1490","1570","244","224","193","","","","","","","","726","705","1310","1253","1058","857","803","773","790","772"
"total_opex","","-7150","-1426","8613","8976","5944","6086","6246","6588","6574","2171","3124","3209","3199","3065","2288","2257","3016","3122","2781","2367","3344","2512","2652","2642"
"operating_income","7319","14576","8869","1197","1196","707","795","1113","940","1021","1244","1596","1596","1671","1966","1587","1638","979","1545","2178","2794","2111","3490","3822","3940"
"net_interest_income_normal","","","","","","-125","-129","-138","-32","-106","-167","-227","-218","-201","-245","-259","-273","-255","-273","-299","-328","-311","-388","-453","-463"
"other_nonoperating_income","-6465","-14274","-8063","-87","-316","-5","-3","35","-29","34","-18","19","2","68","44","100","36","-39","-26","-9","","131","54","-200","-226"
"pretax_income","854","302","806","1110","880","577","663","1010","879","949","1059","1388","1380","1538","1765","1428","1401","685","1246","1870","2466","1931","3156","3169","3251"
"income_tax","-333","-156","-310","-411","-303","-161","-216","-348","-242","-268","-300","-378","-360","-390","-334","-175","-148","-250","-146","-297","-448","-623","-510","-541","-609"
"net_income_continuing","521","146","496","699","577","416","447","662","637","681","759","1010","1020","1148","1431","1253","1253","435","1100","1573","2018","1308","2646","2628","2642"
"net_income_discontinued","5","1","-30","-35","-31","319","272","202","841","111","-27","4","-1","","","169","177","828","74","-1","1","","","",""
"income_allocated_to_minority_interest","-40","40","34","-36","","","","","-16","-45","-26","-31","-27","-35","-34","-37","-34","-37","-40","-41","-49","-53","-57","-64","-57"
"other_income_statement_items","-12","-40","-34","","","","1","","","","","-4","1","","","","","","","1","-1","","","",""
