"Company: ","Apartment Income REIT Corp (AIRC:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","39.05","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Residential REITs","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","5661","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","8663","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","913.554","1103.842","1105.589","1149.762","950.894","1058.29","1601.705","1376.82","1243.17","1131.103","958.54","914.355","958.511","974.053","984.3630000000001","981.3099999999999","995.854","1005.437","840.247","770.602","719.556","740.853","773.723","820.0359999999999","803.848"
"cogs","","","","","","","","27.192","556.407","522.582","429.99","386.623","386.355","380.051","380.964","362.116","354.913","354.584","285.645","261.241","249.036","268.101","261.264","275.832","268.118"
"gross_profit","913.554","1103.842","1105.589","1149.762","950.894","1058.29","1601.705","1349.628","686.763","608.521","528.55","527.732","572.1559999999999","594.002","603.399","619.194","640.941","650.853","554.602","509.361","470.52","472.752","512.4589999999999","544.204","535.73"
"sga","18.123","18.53","20.344","28.815","78.093","92.91800000000001","90.149","90.667","99.157","56.64","53.374","50.906","49.602","45.67","44.092","46.31","46.784","43.657","49.636","49.615","46.377","18.585","24.939","25.494","28.65"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","636.875","723.534","684.077","779.385","681.554","780.524","1192.291","1017.206","415.567","427.666","372.528","341.535","337.303","299.313","296.957","316.669","347.361","377.332","328.82","334.02","394.803","319.742","350.945","342.593","326.681"
"total_opex","654.998","742.064","704.421","808.2","759.647","873.442","1282.44","1107.873","514.724","484.306","425.902","392.441","386.905","344.983","341.049","362.979","394.145","420.989","378.456","383.635","441.18","338.327","375.884","368.087","355.331"
"operating_income","258.556","361.778","401.168","341.562","191.247","184.848","319.265","241.755","172.039","124.215","102.648","135.291","185.251","249.019","262.35","256.215","246.796","229.864","176.146","125.726","29.34","134.425","136.575","176.117","180.399"
"net_interest_income_normal","","","","","","","","-314.553","-304.204","-303.443","-266.769","-262.66","-216.108","-219.105","-214.093","-192.736","-188.592","-186.283","-170.479","-134.974","-134.661","-70.816","-66.19499999999999","-121.34","-120.091"
"other_nonoperating_income","-258.556","-361.778","-401.168","-341.562","-191.247","-184.848","-319.265","-6.403","-38.915","-39.9","-13.495","-14.809","11.243","2.723","-0.829","0.387","406.227","272.662","676.599","498.085","86.18600000000001","410.369","903.593","636.937","637.256"
"pretax_income","","","","","","","","-79.20099999999999","-171.08","-219.128","-177.616","-142.178","-19.614","32.637","47.428","63.866","464.431","316.243","682.266","488.837","-19.135","473.978","973.973","691.7140000000001","697.564"
"income_tax","","","","","","","","19.84","53.202","17.487","16.839","5.941","0.858","1.959","20.047","27.524","18.842","30.836","13.346","-0.305","-95.437","5.246","-3.923","-2.427","-2.607"
"net_income_continuing","","","","","","","","-59.361","-117.878","-201.641","-160.777","-136.237","-18.756","34.596","67.47499999999999","91.39","483.273","347.079","695.612","488.532","-114.572","479.224","970.05","689.287","694.957"
"net_income_discontinued","15.071","20.44","36.1","104.125","220.521","102.939","219.262","83.095","744.88","156.841","71.15300000000001","78.07299999999999","214.117","203.229","","","","","20.991","19.495","11.228","","","",""
"income_allocated_to_minority_interest","10.539","12.442","-23.908","-8.465","13.887","12.428","-6.319","6.177","-214.995","-19.474","17.896","1.077","-62.905","-30.535","-46.862","-23.273","-52.863","-31.305","-50.376","-33.944","-0.783","-31.603","-65.61799999999999","-54.186","-55.071"
"other_income_statement_items","73.568","74.47","156.854","63.197","29.089","-44.385","-36.156","-7.105427357601E-15","5.6843418860808E-14","-1.4210854715202E-14","1.4210854715202E-14","","","-2.8421709430404E-14","288.636","180.593","5.6843418860808E-14","","","5.6843418860808E-14","1.4210854715202E-14","","","","1.1102230246252E-15"
"net_income","99.178","107.352","169.046","158.857","263.497","70.982","176.787","29.911","412.007","-64.274","-71.72799999999999","-57.087","132.456","207.29","309.249","248.71","430.41","315.774","666.227","474.083","-104.127","447.621","904.432","635.101","639.886"
"preferred_dividends","63.183","90.331","93.55800000000001","93.565","88.804","87.94799999999999","81.13200000000001","66.01600000000001","60.693","50.566","53.59","45.852","49.888","2.804","7.947","11.794","11.994","8.593999999999999","8.593","7.335","","0.181","0.172","0.172","0.173"
