"Company: ","Ardagh Metal Packaging SA (AMBP:US)","","","","",""
"Exchange: ","NYSE","","","","",""
"Last Close Price: ","3.48","","","","",""
"Industry: ","Metals & Mining","","","","",""
"Currency: ","USD","","","","",""
"Country: ","US","","","","",""
"Market Cap.: ","2133","","","","",""
"Enterprise Value: ","5580","","","","",""
"period_end_date","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","3344","3451","4055","4689","4812","4822"
"cogs","2832","2903","3439","4163","4338","4338"
"gross_profit","512","548","616","526","474","484"
"sga","165","189","418","212","255","263"
"rnd","","","","","",""
"special_charges","","","","","",""
"other_opex","149","149","151","138","143","144"
"total_opex","314","338","569","350","398","407"
"operating_income","198","210","47","176","76","77"
"net_interest_income_normal","-191","-158","-186","-135","-197","-204"
"other_nonoperating_income","-22","88","-49","215","50","45"
"pretax_income","-15","140","-188","256","-71","-82"
"income_tax","-25","-29","-22","-19","21","21"
"net_income_continuing","-40","111","-210","237","-50","-61"
"net_income_discontinued","","","","","",""
"income_allocated_to_minority_interest","","","","","",""
"other_income_statement_items","","","","","",""
"net_income","-40","111","-210","237","-50","-61"
"preferred_dividends","","","","11","24","24"
"net_income_available_to_shareholders","-40","111","-210","226","-74","-85"
"eps_basic","-0.07000000000000001","0.18","-0.39","0.38","-0.12","-0.14"
"eps_diluted","-0.07000000000000001","0.18","-0.39","0.38","-0.12","-0.14"
"shares_basic","603.283","603.283","538.8","601","597.6","597.6"
"shares_diluted","603.283","603.283","538.8","601","597.6","597.6"
"cash_and_equiv","","254","460","550","434","434"
"st_investments","","","","","",""
"receivables","","507","694","748","582","582"
"inventories","","250","407","567","469","469"
"other_current_assets","","26","100","43","20","20"
"total_current_assets","","1037","1661","1908","1505","1505"
"equity_and_other_investments","","","","","",""
"ppe_gross","","1810","2567","3266","3747","3747"
"accumulated_depreciation","","-578","-725","-876","-1119","-1119"
"ppe_net","","1232","1842","2390","2628","2628"
"intangible_assets","","829","652","497","383","383"
"goodwill","","1055","1010","976","999","999"
"other_lt_assets","","101","160","94","154","154"
"total_assets","","4254","5325","5865","5669","5669"
"accounts_payable","","646","1006","1060","1091","1091"
"tax_payable","","59","40","80","73","73"
"current_accrued_liabilities","","","12","13","14","14"
"st_debt","","42","56","68","94","94"
"current_deferred_revenue","","","2","","",""
"current_deferred_tax_liability","","","","","",""
"other_current_liabilities","","222","284","243","250","250"
"total_current_liabilities","","969","1400","1464","1522","1522"
"lt_debt","","2793","2831","3524","3640","3640"
"noncurrent_capital_leases","","","","","",""
"pension_liabilities","","219","256","149","169","169"
"noncurrent_deferred_revenue","","203","207","158","136","136"
"other_lt_liabilities","","22","345","115","96","96"
"total_liabilities","","4206","5039","5410","5563","5563"
"common_stock","","","7","267","267","267"
"preferred_stock","","","","","",""
"retained_earnings","","","-120","-144","-469","-469"
"aoci","","-15","-5593","-5657","-5687","-5687"
"apic","","","5992","5989","5989","5989"
"treasury_stock","","","","","",""
"other_equity","","63","","","",""
"minority_interest_liability","","","","","6","6"
"total_equity","","48","286","455","106","106"
"total_liabilities_and_equity","","4254","5325","5865","5669","5669"
"cfo_net_income","-40","111","-210","237","-50","-61"
"cfo_da","290","315","343","359","418","429"
"cfo_receivables","","","","","",""
"cfo_inventory","","","","","",""
"cfo_prepaid_expenses","","","","","",""
"cfo_other_working_capital","102","7","16","-202","270","193"
"cfo_change_in_working_capital","102","7","16","-202","270","193"
"cfo_deferred_tax","25","29","22","19","-21","-21"
"cfo_stock_comp","","","","","",""
"cfo_other_noncash_items","","-128","287","-208","-1","-5"
"cf_cfo","377","334","458","205","616","535"
"cfi_ppe_net","-201","-263","-678","-584","-367","-304"
"cfi_acquisitions_net","","","-5","","",""
"cfi_investment_net","","","","","",""
"cfi_intangibles_net","-4","-5","-8","-11","-11",""
"cfi_other","","","","","","-10"
"cf_cfi","-205","-268","-691","-595","-378","-314"
"cff_common_stock_net","","","925","-36","",""
"cff_pfd_net","","","","257","",""
