"Company: ","Arrow Electronics Inc (ARW:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","123.05","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Electronic Equipment, Instruments & Components","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","6685","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","9074","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","12065.283","9487.291999999999","7390.154","8528.331","10646.113","11164.196","13577.112","15984.992","16761.009","14684.101","18744.676","21390.264","20405.128","21357.285","22768.674","23282.02","23487.872","26554.563","29676.768","28916.847","28673.363","34477.018","37124.422","33107.12","31294.952"
"cogs","10078.8","8004.657","6130.581","7107.378","8922.962","9424.585999999999","11545.719","13699.715","14478.296","12933.207","16326.069","18441.661","17667.842","18566.356","19772.779","20246.77","20343.55","23197.595","25975.856","25618.466","25482.233","30274.653","32287.797","28958.102","27401.93"
"gross_profit","1986.483","1482.635","1259.573","1420.953","1723.151","1739.61","2031.393","2285.277","2282.713","1750.894","2418.607","2948.603","2737.286","2790.929","2995.895","3035.25","3144.322","3356.968","3700.912","3298.381","3191.13","4202.365","4836.625","4149.018","3893.022"
"sga","1123.039","1125.099","1020.527","1117.627","1219.888","1200.826","1362.149","1519.908","1607.261","1305.566","1556.986","1892.592","1849.534","1873.638","1959.749","1986.249","2067.374","2185.914","2303.051","2216.461","2089.909","2440.21","2570.511","2416.599","2357.574"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","90.251","127.719","71.51600000000001","61.41","64.533","47.482","51.19","66.71899999999999","150.241","67.027","77.352","103.482","115.35","131.141","156.048","155.754","159.195","153.599","186.384","189.79","189.058","195.12","187.382","181.116","176.164"
"total_opex","1213.29","1252.818","1092.043","1179.037","1284.421","1248.308","1413.339","1586.627","1757.502","1372.593","1634.338","1996.074","1964.884","2004.779","2115.797","2142.003","2226.569","2339.513","2489.435","2406.251","2278.967","2635.33","2757.893","2597.715","2533.738"
"operating_income","773.193","229.817","167.53","241.916","438.73","491.302","618.054","698.65","525.211","378.301","784.269","952.529","772.402","786.15","880.098","893.247","917.753","1017.455","1211.477","892.13","912.163","1567.035","2078.732","1551.303","1359.284"
"net_interest_income_normal","","","","","","","","","-99.863","-83.285","-76.571","-105.971","-101.876","-114.433","-115.985","-135.401","-151.312","-165.252","-214.771","-203.743","-137.21","-131.727","-185.648","-328.724","-328.67"
"other_nonoperating_income","-172.521","-341.911","-149.983","-194.632","-133.747","-105.741","-99.777","-106.467","-1022.261","-106.095","-28.695","-36.757","39.833","-89.498","-80.78","-65.663","-50.922","-158.286","-87.333","-800.217","-15.694","1.066","-8.933999999999999","-58.225","-112.998"
