"Company: ","Automatic Data Processing Inc (ADP:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","248.4","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Professional Services","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","101667","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","101366","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-06","2001-06","2002-06","2003-06","2004-06","2005-06","2006-06","2007-06","2008-06","2009-06","2010-06","2011-06","2012-06","2013-06","2014-06","2015-06","2016-06","2017-06","2018-06","2019-06","2020-06","2021-06","2022-06","2023-06","TTM"
"revenue","5938.916","7017.57","7004.263","7147.017","7279.4","6131.3","6835.6","7800","8776.5","8838.4","8927.700000000001","9833","10595.4","9442","10226.4","10938.5","11667.8","12372","13274.2","14110.2","14589.8","15005.4","16498.3","18012.2","18912"
"cogs","2564.496","2900.124","2970.645","3096.719","3308.7","3165.3","3603.7","3392.3","4680.1","4822.7","5029.7","5708.4","6203.9","5574.1","6041","6427.6","6840.3","7244.5","7757.4","8021.6","8445.1","8640.299999999999","9461.9","9953.4","10330.5"
"gross_profit","3374.42","4117.446","4033.618","4050.298","3970.7","2966","3231.9","4407.7","4096.4","4015.7","3898","4124.6","4391.5","3867.9","4185.4","4510.9","4827.5","5127.5","5516.8","6088.6","6144.7","6365.1","7036.4","8058.8","8581.5"
"sga","1643.36","1665.447","1606.69","1758.353","1789.7","1758.6","1933.7","2206.2","2370.4","2190.3","2127.4","2314.6","2452.9","2200.4","2370.3","2496.9","2637","2773.8","2959.4","3064.2","3003","3040.5","3233.2","3551.4","3730.2"
"rnd","460.275","514.279","474.843","499.192","523.7","624.1","589.8","486.1","525.9","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","284.282","320.856","279.077","274.682","277.1","-624.1","-589.8","208.9","-525.9","","","","","","","","","","","","","","","",""
"total_opex","2387.917","2500.582","2360.61","2532.227","2590.5","1758.6","1933.7","2901.2","2370.4","2190.3","2127.4","2314.6","2452.9","2200.4","2370.3","2496.9","2637","2773.8","2959.4","3064.2","3003","3040.5","3233.2","3551.4","3730.2"
"operating_income","986.503","1616.864","1673.008","1518.071","1380.2","1207.4","1298.2","1506.5","1726","1825.4","1770.6","1810","1938.6","1667.5","1815.1","2014","2190.5","2353.7","2557.4","3024.4","3141.7","3324.6","3803.2","4507.4","4851.3"
"net_interest_income_normal","","","","","","","","","-80.5","710.7","90.2","80.2","77.5","-9.1","47.6","50.4","6.2","-80","-19.2","-32.3","-22.6","-23.2","-40.9","-103.8","-140.1"
"other_nonoperating_income","303.097","-91.854","113.962","127.129","54.7","30.4","63","117","166.5","-636","2.4","27.8","85.59999999999999","51.7","16.5","6.3","38","343.2","-255.6","13.5","63.5","59.8","41.8","34","77.3"
"pretax_income","1289.6","1525.01","1786.97","1645.2","1434.9","1237.8","1361.2","1623.5","1812","1900.1","1863.2","1918","2101.7","1710.1","1879.2","2070.7","2234.7","2616.9","2282.6","3005.6","3182.6","3361.2","3804.1","4437.6","4788.5"
"income_tax","-448.8","-600.29","-686.2","-627.05","-537.2","-457.2","-519.3","-602.3","-650.3","-575","-655.9","-673","-726.5","-587.9","-636.6","-694.2","-741.3","-829.1","-397.7","-712.8","-716.1","-762.7","-855.2","-1025.6","-1089.1"
"net_income_continuing","840.8","924.72","1100.77","1018.15","897.7","780.6","841.9","1021.2","1161.7","1325.1","1207.3","1245","1375.2","1122.2","1242.6","1376.5","1493.4","1787.8","1884.9","2292.8","2466.5","2598.5","2948.9","3412","3699.4"
"net_income_discontinued","","","","","37.9","274.8","712.1","117.5","74","7.5","4.1","9.199999999999999","13.3","283.6","273.3","76","-0.9","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","","","-1.1368683772162E-13","","2.2737367544323E-13","","","","","","","2.2737367544323E-13","2.2737367544323E-13","2.2737367544323E-13","2.2737367544323E-13","2.2737367544323E-13","-2.2737367544323E-13","2.2737367544323E-13","","","","4.5474735088646E-13","-4.5474735088646E-13",""
"net_income","840.8","924.72","1100.77","1018.15","935.6","1055.4","1554","1138.7","1235.7","1332.6","1211.4","1254.2","1388.5","1405.8","1515.9","1452.5","1492.5","1787.8","1884.9","2292.8","2466.5","2598.5","2948.9","3412","3699.4"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","840.8","924.72","1100.77","1018.15","935.6","1055.4","1554","1138.7","1235.7","1332.6","1211.4","1254.2","1388.5","1405.8","1515.9","1452.5","1492.5","1787.8","1884.9","2292.8","2466.5","2598.5","2948.9","3412","3699.4"
"eps_basic","1.34","1.47","1.78","1.36","1.19","1.34","2.7","2.07","2.37","2.65","2.42","2.54","2.85","2.91","3.17","3.07","3.27","3.99","4.28","5.27","5.73","6.1","7.04","8.25","9"
"eps_diluted","1.31","1.44","1.75","1.34","1.18","1.32","2.68","2.04","2.34","2.63","2.4","2.52","2.82","2.89","3.14","3.05","3.25","3.97","4.25","5.24","5.7","6.07","7","8.210000000000001","8.960000000000001"
"shares_basic","626.766","629.035","618.857","600.1","591.7","583.2","574.8","549.7","521.5","503.2","500.5","493.5","487.3","482.7","478.9","472.6","457","447.8","440.6","435","430.8","426.3","418.8","413.7","413.7"
"shares_diluted","646.098","645.989","630.579","605.9","598.7","590","580.3","557.9","527.2","505.8","503.7","498.3","492.2","487.1","483.1","475.8","459.1","450.3","443.3","437.6","432.7","428.1","421.1","415.7","415.7"
"cash_and_equiv","1227.637","1275.356","798.8099999999999","1410.218","712.998","853.6","1800.1","1746.1","917.5","2265.3","1643.3","1389.4","1548.1","1699.1","1584","1639.3","3191.1","2780.4","2170","1949.2","1908.5","2575.2","1389.3","2068.8","2068.8"
"st_investments","596.792","515.245","677.005","595.1660000000001","416.077","695.8","327.5","70.40000000000001","666.3","30.8","27.9","36.3","30.4","28","2032.2","26.6","","","","10.5","","","47","14.7","14.7"
"receivables","899.314","976.638","1045.17","1005.833","1057.938","2086.9","752.2","1041.9","1034.6","1050.7","1127.7","1364.8","1391.7","1595.3","1498.8","1546.9","1742.8","1703.6","1984.2","2439.3","2441.3","2727.4","3170.6","3009.6","3009.6"
"inventories","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_assets","340.709","316.221","296.272","664.284","574.576","1233.6","2603","505.8","16190.5","17358.7","19517.8","25793","22302.4","22892.1","22378","25596.4","34566.5","28174.7","27669.1","29943.3","27214.3","35439.2","50198","37077.5","37077.5"
"total_current_assets","3064.452","3083.46","2817.257","3675.501","2761.589","4869.9","5482.8","3364.2","18808.9","20705.5","22316.7","28583.5","25272.6","26214.5","27493","28809.2","39500.4","32658.7","31823.3","34342.3","31564.1","40741.8","54804.9","42170.6","42170.6"
"equity_and_other_investments","","","","","","","","","76.5","92.40000000000001","104.3","98","86.90000000000001","314","54.1","28.9","","","","","","","122.1","104.6","104.6"
"ppe_gross","1549.984","1644.634","1695.524","1861.177","1891.18","1703","1634.6","1744.3","1869.4","1908.9","1828.8","1951.7","1956.5","2040.7","1718.7","1776.4","1840.8","2031.4","2136.3","2181.8","2722.4","2706.7","2732.6","2841.4","2841.4"
"accumulated_depreciation","-952.715","-1029.984","-1099.073","-1246.476","-1248.827","-1065.1","-934.6","-1020.5","-1126.5","-1174.6","-1155","-1235.5","-1250.2","-1312.1","-1051.6","-1103.7","-1155.8","-1251.5","-1342.6","-1417.6","-1524.8","-1560","-1629.1","-1757.6","-1757.6"
"ppe_net","597.269","614.65","596.451","614.701","642.353","637.9","700","723.8","742.9","734.3","673.8","716.2","706.3","728.6","667.1","672.7","685","779.9","793.7","764.2","1197.6","1146.7","1103.5","1083.8","1083.8"
"intangible_assets","1623.701","1601.41","1877.198","2651.022","2931.82","575.7","526.2","688","637.1","578.7","542.4","715.7","688.3","643.2","491","503.2","534.2","620.2","886.4","1071.5","1215.8","1210.1","1333.1","1343.6","1343.6"
"goodwill","","","","","","2185.8","1976.2","2353.6","2426.7","2375.5","2383.3","3073.6","3062","3039.2","1883.5","1793.5","1682","1741","2243.5","2323","2309.4","2338.4","2300.5","2339.4","2339.4"
"other_lt_assets","11565.394","12589.57","12985.616","12892.447","14784.797","19346.1","18804.9","19519.3","1042.3","865.3","841.7","1051.3","1001.3","1328.6","1471.1","1303","1268.4","1380.2","3102.2","3386.7","2878.6","3335.5","3404.1","3929","3929"
"total_assets","16850.816","17889.09","18276.522","19833.671","21120.559","27615.4","27490.1","26648.9","23734.4","25351.7","26862.2","34238.3","30817.4","32268.1","32059.8","33110.5","43670","37180","38849.1","41887.7","39165.5","48772.5","63068.2","50971","50971"
"accounts_payable","129.436","156.324","148.694","173.988","175.175","192.7","125.2","125.9","126.9","130.3","150","153.3","167.4","156.5","152.1","194.5","152.3","149.7","135.4","125.5","102","141.1","110.2","96.8","96.8"
"tax_payable","","","","","","","","","258.9","230.7","60","28.6","39.3","39","19.7","27.2","28.2","49","43.9","54.8","40.1","58.2","38.4","44.2","44.2"
"current_accrued_liabilities","","1032.273","1035.389","1609.665","1482.703","1511.3","1009.1","1527.1","1147.5","1180.2","771","1488.7","1659.5","1809.6","1793.9","1786.5","1863.5","1944.4","2215.3","2480.1","2537.7","2873.5","2970.4","3284","3284"
"st_debt","21.523","","","","","","","","","730","","","","245.9","2173","","","","","262","1015.4","23.5","136.4","105.4","105.4"
"current_deferred_revenue","","","","","","","244.4","","356.1","329.8","321.5","350.9","312.9","314.6","237.1","228.6","233.2","232.9","225.7","220.7","212.5","203.9","188.2","188.6","188.6"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","1145.709","147.676","227.019","215.13","110.546","1153.6","1295.5","137.8","15452.2","16162.4","18749.7","24765.3","21073.6","22167.2","19791.8","24876.9","33570.2","27439.9","27792.4","29484.6","26218.9","34794.6","51715.1","39048.6","39048.6"
"total_current_liabilities","1296.668","1336.273","1411.102","1998.783","1768.424","2857.6","2674.2","1790.8","17341.6","18763.4","20052.2","26786.8","23252.7","24732.8","24167.6","27113.7","35847.4","29815.9","30412.7","32627.7","30126.6","38094.8","55158.7","42767.6","42767.6"
"lt_debt","132.017","110.227","90.648","84.67400000000001","76.2","75.7","74.3","43.5","52.1","42.7","39.8","34.2","16.8","14.7","11.5","9.199999999999999","2007.7","2002.4","2002.4","2002.2","1002.8","2985","2987.1","2989","2989"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","","344.4","343.2","370.9","349.9","349.9"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","151.337","207.928","237.633","320.796","283.781","242.9","100.4","127.7","665.6","745.9","763.3","850.7","848","727.6","591.1","534.8","632.2","554.5","970.1","1059.2","1102.5","845.3","402","421.7","421.7"
"other_lt_liabilities","10687.976","11533.665","11422.934","12057.945","13574.484","18655.3","18629.6","19539","587.90000000001","477.09999999999","528","556.2","585.9","603.1","619.4","644.3","701.10000000001","830.2","727.99999999999","798.7","837","834.1","924.2","933.7","933.7"
"total_liabilities","12267.998","13188.093","13162.317","14462.198","15702.889","21831.5","21478.5","21501","18647.2","20029.1","21383.3","28227.9","24703.4","26078.2","25389.6","28302","39188.4","33203","34113.2","36487.8","33413.3","43102.4","59842.9","47461.9","47461.9"
"common_stock","63","64","64","64","64","64","64","64","64","64","64","64","64","64","64","64","64","64","64","64","64","64","64","64","64"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
