"Company: ","Avangrid Inc (AGR:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","35.25","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Electric Utilities","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","13645","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","23352","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","704.691","1027.46","1037.596","963.677","764.095","812.414","846.721","981.999","948.72","896.55","997.6660000000001","1570.094","1486.501","4313","4594","4367","6018","5963","6477","6336","6320","6974","7923","8309","8260"
"cogs","286.835","271.907","269.195","272.673","377.905","413.93","413.851","516.487","470.613","390.351","654.147","1069.039","960.526","2629","2741","2780","3492","3429","3911","3814","3845","4425","5328","5538","5316"
"gross_profit","417.856","755.553","768.401","691.004","386.19","398.484","432.87","465.512","478.107","506.199","343.519","501.055","525.975","1684","1853","1587","2526","2534","2566","2522","2475","2549","2595","2771","2944"
"sga","25.989","","","","","","","","","","0.1","","","0.07000000000000001","2.2","","","","","","","","","",""
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","418.085","613.115","645.668","603.314","300.209","319.993","355.262","377.009","364.656","384.031","192.648","278.583","291.897","884.9299999999999","940.8","1062","1332","1387","1434","1524","1606","1654","1743","1841","1872"
"total_opex","444.074","613.115","645.668","603.314","300.209","319.993","355.262","377.009","364.656","384.031","192.748","278.583","291.897","885","943","1062","1332","1387","1434","1524","1606","1654","1743","1841","1872"
"operating_income","-26.218","142.438","122.733","87.69","85.98099999999999","78.491","77.608","88.503","113.451","122.168","150.771","222.472","234.078","799","910","525","1194","1147","1132","998","869","895","852","930","1072"
"net_interest_income_normal","","","","","","","","","-32.062","-37.169","-49.535","-91.902","-89.911","-245","-243","-267","-268","-280","-303","-310","-316","-298","-303","-409","-439"
"other_nonoperating_income","135.004","-34.66","-39.504","-24.703","-19.174","-19.502","7.363","-11.298","1.536","2.355","-12.373","31.641","34.4","-569","39","44","83","-744","-72","124","15","67","292","135","168"
"pretax_income","108.786","107.778","83.229","62.987","66.807","58.989","84.971","77.205","82.925","87.354","88.863","162.211","178.567","-15","706","302","1009","123","757","812","568","664","841","656","801"
"income_tax","-48.029","-48.215","-37.478","-33.45","-30.383","-25.503","-26.255","-30.512","-34.572","-33.096","-35.284","-62.501","-74.866","-35","-282","-29","-377","259","-167","-169","-29","-21","-20","9","-29"
"net_income_continuing","60.757","59.563","45.751","29.537","36.424","33.486","58.716","46.693","48.353","54.258","53.579","99.70999999999999","103.701","-50","424","273","632","382","590","643","539","643","821","665","772"
"net_income_discontinued","","-0.2","-1.804","-6.251","50.521","-2.232","-123.88","-1.996","-0.237","-0.142","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","-3.529","","","","","","","","","","","","","-1","","","","-1","-3","24","42","64","60","121","120"
"other_income_statement_items","3.529","","7.105427357601E-15","3.5527136788005E-15","0.20299999999999","3.5527136788005E-15","-1.4210854715202E-14","7.105427357601E-15","0.032000000000011","0.201","1.278","-1.4210854715202E-14","-1.4210854715202E-14","","","","","","","","","","","",""
"net_income","60.757","59.363","43.947","23.286","87.148","31.254","-65.164","44.697","48.148","54.317","54.857","99.70999999999999","103.701","-51","424","273","632","381","587","667","581","707","881","786","892"
"preferred_dividends","","","","","","","","","","","0.003","0.054","0.064","0.052","-0.014","","","","","","","","","",""
"net_income_available_to_shareholders","60.757","59.363","43.947","23.286","87.148","31.254","-65.164","44.697","48.148","54.317","54.854","99.65600000000001","103.637","-51.052","424.014","273","632","381","587","667","581","707","881","786","892"
"eps_basic","4.32","4.21","1.85","0.98","3.63","1.29","-2.66","1.79","1.92","1.94","1.53","1.96","2.04","-0.2","1.68","1.07","2.04","1.23","1.9","2.16","1.88","1.97","2.28","2.03","2.31"
"eps_diluted","4.31","4.21","1.84","0.98","3.6","1.28","-2.66","1.77","1.89","1.93","1.52","1.95","2.02","-0.2","1.68","1.07","2.04","1.23","1.89","2.16","1.88","1.97","2.27","2.03","2.31"
"shares_basic","14.073","14.097","23.732","23.818","23.983","24.245","24.441","24.986","25.114","28.027","35.722","50.609","50.831","252.235","252.235","254.588","309.513","309.503","309.503","309.491","309.495","358.087","386.727","386.81","386.81"
