"Company: ","Avis Budget Group Inc (CAR:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","110.81","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Ground Transportation","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","4010","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","27710","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","4320","8693","14187","18192","4831","5422","5689","6026","5977","5161","5209","6134","7454","7943","8492","8562","8669","8796","9172","9254","5559","9674","13013","12664","12369"
"cogs","1176","2738","6820","9408","1243","1569","1736","1926","2011","1749","1615","1743","1865","2081","2285","2282","2341","2455","2541","2489","1843","1871","2249","3131","3319"
"gross_profit","3144","5955","7367","8784","3588","3853","3953","4100","3966","3412","3594","4391","5589","5862","6207","6280","6328","6341","6631","6765","3716","7803","10764","9533","9050"
"sga","1559","2079","2512","3124","784","857","818","658","655","551","569","756","925","1019","1080","1093","1134","1120","1220","1237","703","1145","1348","1408","1409"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","321","2266","2560","3005","2528","2845","2992","3117","3235","2732","2706","3120","3949","4226","4431","4502","4609","4745","4895","4961","3608","4527","5510","5891","5933"
"total_opex","1880","4345","5072","6129","3312","3702","3810","3775","3890","3283","3275","3876","4874","5245","5511","5595","5743","5865","6115","6198","4311","5672","6858","7299","7342"
"operating_income","1264","1610","2295","2655","276","151","143","325","76","129","319","515","715","617","696","685","585","476","516","567","-595","2131","3906","2234","1708"
"net_interest_income_normal","","","","","-251","-172","-236","-127","-129","-153","-170","-219","-268","-228","-209","-194","-203","-188","-188","-178","-231","-218","-250","-296","-306"
"other_nonoperating_income","-354","-1048","-700","-445","-18","-41","-584","-1190","-1290","-53","-77","-260","-147","-292","-95","-109","-103","-77","-61","-102","-130","-205","-20","-24","-27"
"pretax_income","910","562","1595","2210","7","-62","-677","-992","-1343","-77","72","36","300","97","392","382","279","211","267","287","-956","1708","3636","1914","1375"
"income_tax","-341","-220","-544","-745","64","51","226","45","219","30","-18","-65","-10","-81","-147","-69","-116","150","-102","15","272","-425","-880","-279","-165"
"net_income_continuing","569","342","1051","1465","71","-11","-451","-947","-1124","-47","54","-29","290","16","245","313","163","361","165","302","-684","1283","2756","1635","1210"
"net_income_discontinued","91","81","-205","","2020","1637","-1479","31","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","-83","-24","-22","-21","-6","-3","","","","","","","","","","","","","","","","2","8","-3","-2"
"other_income_statement_items","25","-14","22","-272","6","-5","-64","","","","","","","","","","","","","","","","","","-1"
"net_income","602","385","846","1172","2091","1618","-1994","-916","-1124","-47","54","-29","290","16","245","313","163","361","165","302","-684","1285","2764","1632","1207"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","602","385","846","1172","2091","1618","-1994","-916","-1124","-47","54","-29","290","16","245","313","163","361","165","302","-684","1285","2764","1632","1207"
"eps_basic","8.4","4.2","7.57","11.5","20.29","15.56","-19.82","-8.880000000000001","-11.04","-0.46","0.53","-0.28","2.72","0.15","2.32","3.02","1.78","4.32","2.08","4.01","-9.710000000000001","19.79","58.41","42.57","32.06"
"eps_diluted","8.1","4.1","7.57","11.3","19.66","15.56","-19.82","-8.880000000000001","-11.04","-0.46","0.49","-0.28","2.42","0.15","2.22","2.98","1.75","4.25","2.06","3.98","-9.710000000000001","19.44","57.16","42.08","31.68"
"shares_basic","71.667","91.667","111.757","101.913","103.1","104","100.6","103.1","101.9","102.2","103.1","105.2","106.6","107.6","105.4","103.4","92","83.40000000000001","79.3","75.2","70.5","64.90000000000001","47.3","38.3","38.3"
"shares_diluted","74.321","93.902","111.757","103.717","103.1","104","100.6","103.1","101.9","102.2","126.7","105.2","121.6","111.4","110.6","105","93.3","84.8","80.09999999999999","75.7","70.5","66.09999999999999","48.4","38.8","38.8"
"cash_and_equiv","944","1942","126","840","467","546","172","214","258","482","911","534","606","693","624","452","490","611","615","686","692","534","570","555","555"
"st_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"receivables","769","1313","1457","1671","1237","348","1328","683","542","949","343","599","661","751","724","827","961","1096","1135","1084","794","1013","952","1092","1092"
"inventories","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_assets","957","4462","1775","1967","8005","21121","306","321","273","299","384","408","443","500","331","348","366","359","424","375","309","300","364","492","492"
"total_current_assets","2670","7717","3358","4478","9709","22015","1806","1218","1073","1730","1638","1541","1710","1944","1679","1627","1817","2066","2174","2145","1795","1847","1886","2139","2139"
"equity_and_other_investments","","","","","","374","361","230","117","228","294","381","403","363","362","362","362","423","559","649","667","842","1053","1304","1304"
"ppe_gross","1892","2108","2782","3193","3397","9143","8658","8902","8491","7134","8078","10377","11418","11845","12659","12786","12649","13508","14510","18127","13892","19077","22293","28079","28079"
"accumulated_depreciation","-547","-714","-1002","-1390","-1712","-1283","-1427","-1477","-1723","-1547","-1781","-2065","-2234","-2408","-2480","-2410","-2481","-2804","-2896","-2899","-2802","-3471","-3650","-4200","-4200"
"ppe_net","1345","1394","1780","1803","1685","7860","7231","7425","6768","5587","6297","8312","9184","9437","10179","10376","10168","10704","11614","15228","11090","15606","18643","23879","23879"
"intangible_assets","2109","2866","2464","13521","13695","731","739","760","467","478","481","713","731","923","886","917","870","850","825","798","774","724","666","670","670"
"goodwill","3176","7234","10699","","","2188","2193","1000","75","76","76","353","375","691","842","973","1007","1073","1092","1101","1137","1108","1070","1099","1099"
"other_lt_assets","5772","14333","17596","19235","17481","1325","941","1841","2818","1994","1541","1638","2815","2926","2894","3379","3419","2583","2885","3205","2075","2473","2609","3478","3478"
"total_assets","15072","33544","35897","39037","42570","34493","13271","12474","11318","10093","10327","12938","15218","16284","16842","17634","17643","17699","19149","23126","17538","22600","25927","32569","32569"
"accounts_payable","1413","3468","4287","4688","4009","152","223","210","162","151","209","312","309","344","328","352","343","359","371","378","394","407","466","487","487"
"tax_payable","","","","","","776","520","","","488","122","282","206","193","194","220","206","218","208","223","215","313","246","251","251"
"current_accrued_liabilities","","","","","","737","315","292","240","224","208","277","413","210","229","199","329","469","392","386","239","411","473","464","464"
"st_debt","","401","30","1629","739","975","29","10","10","12","8","37","57","89","28","26","279","26","23","19","19","19","27","32","32"
"current_deferred_revenue","1023","900","680","854","335","","","","","","","","60","87","89","103","114","135","140","","70","185","188","168","168"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","","3022","","","5274","7885","797","592","499","409","386","562","433","645","651","611","496","438","582","740","602","577","619","681","681"
"total_current_liabilities","2436","7791","4997","7171","10357","10525","1884","1104","911","1284","933","1470","1478","1568","1519","1511","1767","1645","1716","2225","2053","2408","2574","2659","2659"
"lt_debt","3988","15575","18318","18295","15745","10442","7083","7383","7813","6493","7009","8732","9654","10642","11381","12295","12122","12794","13760","14484","11048","15380","18453","23728","23728"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","2140","2078","1910","1884","2117","2117"
"pension_liabilities","","","","","","","37","22","69","58","63","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","476","1050","1017","1092","2485","1139","1206","1275","1188","1267","1333","982","2163","2177","2267","2367","2429","1594","1961","2189","1383","2242","2754","3418","3418"
"other_lt_liabilities","5023","1685","1875","2293","1288","1045","618","1225","1244","769","579","1342","1166","1126","1010","1022","1104","1093","1298","1432","1131","869","962","990","990"
"total_liabilities","11923","26101","26207","28851","29875","23151","10828","11009","11225","9871","9917","12526","14461","15513","16177","17195","17422","17126","18735","22470","17693","22809","26627","32912","32912"
"common_stock","9","11","12","13","13","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","2027","2412","3258","4430","6179","5997","-586","-1520","-2644","-2691","-2637","-2666","-2376","-2360","-2115","-1802","-1639","-1222","-1091","-785","-1470","-185","2579","3854","3854"
"aoci","-234","-264","-14","209","-27","40","68","32","-194","-37","92","78","110","117","-22","-147","-154","-24","-133","-157","-187","-133","-101","-96","-96"
"apic","4540","8676","10090","10284","12091","12022","9664","9320","9197","9098","8828","8532","8211","7893","7212","7010","6918","6820","6771","6741","6668","6676","6666","6634","6634"
"treasury_stock","-3568","-3767","-4031","-4750","-5561","-6718","-6704","-6368","-6267","-6149","-5874","-5533","-5189","-4880","-4411","-4623","-4905","-5002","-5134","-5144","-5167","-6579","-9848","-10742","-10742"
"other_equity","","","","","","","","","","","","","","","","","","","","","","","","",""
"minority_interest_liability","375","375","375","","","","","","","","","","","","","","","","","","","11","3","6","6"
"total_equity","3149","7443","9690","10186","12695","11342","2443","1465","93","222","410","412","757","771","665","439","221","573","414","656","-155","-209","-700","-343","-343"
"total_liabilities_and_equity","15072","33544","35897","39037","42570","34493","13271","12474","11318","10093","10327","12938","15218","16284","16842","17634","17643","17699","19149","23126","17538","22600","25927","32569","32569"
"cfo_net_income","569","342","1081","1465","71","-11","-451","-947","-1124","-47","54","-29","290","16","245","313","163","361","165","302","-684","1283","2756","1635","1210"
"cfo_da","474","2136","2717","3462","1056","1307","1467","1649","1727","1487","1367","1490","1563","1830","2020","2055","2130","2206","2230","3142","2561","2480","2811","3450","3591"
"cfo_receivables","198","10","-74","32","-2","-14","-33","-6","50","52","-20","29","-65","-66","-60","-42","-65","-59","-44","10","115","-143","-97","-43","-185"
"cfo_inventory","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_prepaid_expenses","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","-7","-131","-3031","225","-28","-73","-388","-82","-33","-9","4","2","-211","-42","34","-54","7","33","83","79","-180","386","223","-153","-238"
"cfo_change_in_working_capital","191","-121","-3105","257","-30","-87","-421","-88","17","43","-16","31","-276","-108","-26","-96","-58","-26","39","89","-65","243","126","-196","-423"
"cfo_deferred_tax","59","418","438","453","-224","-170","-200","-57","-241","-60","-20","32","128","37","65","58","51","-192","14","-103","-317","378","682","191",""
"cfo_stock_comp","","","","","","","","","","","","","","20","25","28","27","13","24","22","9","30","25","30","29"
"cfo_other_noncash_items","132","133","200","1565","-86","-39","-143","1157","1325","68","255","54","184","458","250","269","327","286","137","-866","-813","-923","-1693","-1282","-809"
