"Company: ","Avnet Inc (AVT:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","51.91","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Electronic Equipment, Instruments & Components","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","4741","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","6929","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-06","2001-06","2002-06","2003-06","2004-06","2005-06","2006-06","2007-06","2008-06","2009-06","2010-06","2011-06","2012-06","2013-06","2014-06","2015-06","2016-06","2017-06","2018-06","2019-06","2020-06","2021-06","2022-06","2023-06","TTM"
"revenue","9915.041999999999","12814.01","8920.248","9048.441999999999","10244.741","11066.816","14253.63","15681.087","17952.707","16229.896","19160.172","26534.413","25707.522","25458.924","27499.654","17655.319","16740.597","17439.963","19036.892","19518.592","17634.333","19534.679","24310.708","26536.881","24748.761"
"cogs","8470.257","10948.484","7697.434","7833.487","8879.888000000001","9607.833000000001","12414.647","13632.468","15638.991","14206.903","16879.955","23426.608","22656.965","22479.123","24273.923","15445.184","14662.651","15070.521","16509.708","17032.49","15570.877","17294.049","21345.317","23354.738","21807.177"
"gross_profit","1444.785","1865.526","1222.814","1214.955","1364.853","1458.983","1838.983","2048.619","2313.716","2022.993","2280.217","3107.805","3050.557","2979.801","3225.731","2210.135","2077.946","2369.442","2527.184","2486.102","2063.456","2240.63","2965.391","3182.143","2941.584"
"sga","1076.793","1611.874","1225.799","1202.226","1106.988","1137.667","1344.922","1362.993","1564.391","1531.522","1619.198","2100.65","2092.807","2204.319","2341.168","1515.141","1460.273","1788.33","1991.401","1874.651","1842.122","1874.831","1994.847","1967.305","1925.574"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","-1100","","","","","3","","","","","","","","","","","","","","","","",""
"total_opex","1076.793","1611.874","125.799","1202.226","1106.988","1137.667","1344.922","1365.993","1564.391","1531.522","1619.198","2100.65","2092.807","2204.319","2341.168","1515.141","1460.273","1788.33","1991.401","1874.651","1842.122","1874.831","1994.847","1967.305","1925.574"
"operating_income","367.992","253.652","1097.015","12.729","257.865","321.316","494.061","682.626","749.325","491.471","661.019","1007.155","957.75","775.482","884.563","694.994","617.673","581.112","535.783","611.451","221.334","365.799","970.544","1214.838","1016.01"
"net_interest_income_normal","","","","","","","","","-72.285","-78.666","-61.748","-92.452","-90.85899999999999","-107.653","-104.823","-87.08","-91.93600000000001","-99.57599999999999","-92.747","-134.874","-122.742","-89.473","-100.375","-250.869","-293.65"
"other_nonoperating_income","-84.346","-166.4","-1217.828","-92.134","-159.467","-81.557","-177.914","-96.00700000000001","31.915","-1507.773","-14.188","-43.737","-76.10899999999999","-118.564","-78.613","-36.403","-47.724","-171.132","-297.959","-239.981","-228.177","-103.397","-36.835","18.907","-1.028"
"pretax_income","283.646","87.252","-120.813","-79.405","98.398","239.759","316.147","586.619","708.955","-1094.968","585.083","870.966","790.782","549.265","701.127","571.511","478.013","310.404","145.077","236.596","-129.585","172.929","833.3339999999999","982.876","721.332"
"income_tax","-121.082","-87.155","36.377","33.289","-25.501","-71.52","-111.6","-193.552","-209.874","-34.744","-174.713","-201.897","-223.763","-99.19199999999999","-155.523","-86.136","-87.104","-47.053","-287.966","-60.259","98.504","20.185","-140.955","-212.048","-150.043"
"net_income_continuing","162.564","0.09699999999999401","-84.43600000000001","-46.116","72.89700000000001","168.239","204.547","393.067","499.081","-1129.712","410.37","669.069","567.019","450.073","545.604","485.375","390.909","263.351","-142.889","176.337","-31.081","193.114","692.379","770.828","571.289"
"net_income_discontinued","0.828","15.305","","","","","","","","","","","","","","86.538","115.622","261.927","-13.535","-3.774","-1.548","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","-2.8421709430404E-14","5.3290705182008E-15","-580.495","","1.4210854715202E-14","2.8421709430404E-14","","","","","","","","","1.1368683772162E-13","","","","","3.774","1.548","","1.1368683772162E-13","",""
"net_income","163.392","15.402","-664.931","-46.116","72.89700000000001","168.239","204.547","393.067","499.081","-1129.712","410.37","669.069","567.019","450.073","545.604","571.913","506.531","525.278","-156.424","176.337","-31.081","193.114","692.379","770.828","571.289"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","163.392","15.402","-664.931","-46.116","72.89700000000001","168.239","204.547","393.067","499.081","-1129.712","410.37","669.069","567.019","450.073","545.604","571.913","506.531","525.278","-156.424","176.337","-31.081","193.114","692.379","770.828","571.289"
"eps_basic","1.53","0.13","-5.61","-0.39","0.61","1.39","1.4","2.65","3.32","-7.49","2.71","4.39","3.85","3.26","3.95","4.18","3.87","4.13","-1.3","1.61","-0.31","1.95","7.02","8.369999999999999","6.28"
"eps_diluted","1.51","0.13","-5.61","-0.39","0.6","1.39","1.39","2.63","3.27","-7.49","2.68","4.34","3.79","3.21","3.89","4.12","3.8","4.08","-1.3","1.59","-0.31","1.93","6.94","8.26","6.18"
"shares_basic","106.627","117.263","118.561","119.456","120.086","120.629","145.942","148.032","150.25","150.898","151.629","152.481","147.278","137.951","137.991","136.688","130.858","127.032","119.909","109.82","100.474","99.258","98.66200000000001","92.04300000000001","92.04300000000001"
"shares_diluted","108.257","118.815","118.561","119.456","121.252","121.469","147.15","149.613","152.42","150.898","153.093","154.337","149.553","140.003","140.119","138.791","133.173","128.651","119.909","110.798","100.474","100.168","99.819","93.36799999999999","93.36799999999999"
"cash_and_equiv","268.244","97.279","159.234","395.467","312.667","637.867","276.713","557.35","640.449","943.921","1092.102","675.3339999999999","1006.864","1009.343","928.971","932.553","1031.478","836.384","621.125","546.105","477.038","199.691","153.693","288.23","288.23"
"st_investments","","","","","","","","","","","","","","","","","","281.326","","","","","","",""
"receivables","1899.988","1629.566","1374.017","1471.806","1743.962","1888.627","2477.043","3103.015","3367.443","2618.697","3574.541","4764.293","4607.324","4868.973","5220.528","5054.307","2769.906","3337.624","3641.139","3168.369","2928.386","3576.13","4301.002","4763.788","4763.788"
"inventories","2013.221","1917.044","1417.305","1097.58","1364.037","1224.698","1616.58","1736.301","1894.492","1411.755","1812.766","2596.47","2388.642","2264.341","2613.363","2482.183","2559.921","2824.709","3141.822","3008.424","2731.988","3236.837","4244.148","5465.031","5465.031"
"other_current_assets","224.345","103.6","254.976","161.237","63.32","31.775","97.126","92.179000000001","68.762","169.879","150.759","191.11","251.609","214.221","191.337","115.858","2642.668","253.765","206.513","153.438","191.394","150.763","177.783","233.804","233.804"
"total_current_assets","4405.798","3747.489","3205.532","3126.09","3483.986","3782.967","4467.462","5488.845","5971.146","5144.252","6630.168","8227.207","8254.439","8356.878000000001","8954.199000000001","8584.901","9003.973","7533.808","7610.599","6876.336","6328.806","7163.421","8876.626","10750.853","10750.853"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","697.6849999999999","744.634","712.217","660.6660000000001","595.91","594.019","620.355","656.158","765.909","876.357","844.173","1032.36","1079.636","1184.586","1318.484","1341.792","1118.264","1187.275","1280.95","1338.233","1618.526","1634.325","1580.677","1772.886","1772.886"
"accumulated_depreciation","-352.026","-327.475","-362.293","-410.254","-408.571","-436.591","-460.922","-476.625","-538.722","-570.675","-541.59","-613.187","-618.4059999999999","-691.98","-783.485","-773.013","-665.0549999999999","-667.7","-758.0410000000001","-886.062","-938.002","-999.885","-1038.335","-1109.631","-1109.631"
"ppe_net","345.659","417.159","349.924","250.412","187.339","157.428","159.433","179.533","227.187","305.682","302.583","419.173","461.23","492.606","534.999","568.779","453.209","519.575","522.909","452.171","680.524","634.4400000000001","542.342","663.255","663.255"
"intangible_assets","-0.0049999999999955","0.0030000000001564","-0.0030000000000427","857.11","894.8819999999999","","-0.0029999999999291","","0.0039999999999054","-0.0019999999999527","-0.0009999999999763499","0.0019999999999527","0.0010000000002037","172.21","184.306","99.727","22.573","277.288","219.915","143.518","65.441","28.534","0.0029999999999291","-0.0009999999999763499","-0.0009999999999763499"
"goodwill","960","1404.86","844.6","","","895.3","1296.6","1402.47","1728.9","550.12","566.3099999999999","885.0700000000001","1100.62","1261.29","1348.47","1278.76","621.85","1148.35","980.87","876.73","773.73","838.11","758.83","780.63","780.63"
"other_lt_assets","222.972","294.637","281.901","265.939","297.444","262.52","292.201","284.271","272.893","273.464","283.322","374.117","351.576","191.696","228.68","267.786","1138.2","220.568","262.552","215.801","256.696","260.917","210.731","282.422","282.422"
"total_assets","5934.424","5864.148","4681.954","4499.551","4863.651","5098.215","6215.693","7355.119","8200.129999999999","6273.516","7782.382","9905.569","10167.866","10474.68","11250.654","10799.953","11239.805","9699.589","9596.844999999999","8564.556","8105.197","8925.422","10388.532","12477.159","12477.159"
"accounts_payable","1185.292","853.196","891.234","802.039","1099.703","1296.713","1654.154","2228.017","2293.243","1957.993","2862.29","3561.633","3230.765","3278.152","3402.369","3338.052","1590.777","1861.635","2269.478","1864.342","1754.078","2401.357","3431.683","3373.82","3373.82"
"tax_payable","","","","","","","","","","37.261","100.422","72.495","85.02500000000001","54.039","40.829","27.816","32.976","61.552","108.386","12.313","34.588","","24.831","93.521","93.521"
"current_accrued_liabilities","348.532","414.74","326.293","316.355","384.63","359.507","468.154","495.601","442.545","437.312","227.524","600.521","610.458","651.063","670.54","575.313","361.912","480.471","426.217","401.383","438.336","572.457","566.189","659.609","659.609"
"st_debt","503.287","1302.129","59.309","187.656","160.66","61.298","316.016","53.367","43.804","23.294","36.549","243.079","872.404","838.1900000000001","865.088","331.115","1152.599","50.113","165.38","300.538","0.051","23.078","174.422","70.636","70.636"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","2.2737367544323E-13","","","","-2.2737367544323E-13","","","","","4.5474735088646E-13","212.83","9.094947017729301E-13","","","","","1804.229","4.5474735088646E-13","-4.5474735088646E-13","","","","","-1.8189894035459E-12","-1.8189894035459E-12"
"total_current_liabilities","2037.111","2570.065","1276.836","1306.05","1644.993","1717.518","2438.324","2776.985","2779.592","2455.86","3439.615","4477.728","4798.652","4821.444","4978.826","4272.296","4942.493","2453.771","2969.461","2578.576","2280.366","3055.238","4251.654","4249.378","4249.378"
"lt_debt","1650.61","919.4930000000001","1565.836","1278.399","1196.16","1183.195","918.8099999999999","1155.99","1181.498","946.573","1243.681","1273.509","1271.985","1206.993","1208.951","1646.501","1339.204","1729.212","1489.219","1419.922","1424.791","1191.329","1437.4","2988.029","2988.029"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","","253.719","239.838","199.418","190.621","190.621"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_lt_liabilities","","","34.772","82.58","69.072","100.469","27.376","21.499","104.349","110.226","89.96899999999999","98.262","191.497","157.118","172.684","196.135","266.822","334.538","453.084","425.585","419.923","354.833","307.3","297.462","297.462"
"total_liabilities","3687.721","3489.558","2877.444","2667.029","2910.225","3001.182","3384.51","3954.474","4065.439","3512.659","4773.265","5849.499","6262.134","6185.555","6360.461","6114.932","6548.519","4517.521","4911.764","4424.083","4378.799","4841.238","6195.772","7725.49","7725.49"
"common_stock","115","118","119","120","120","121","147","150","150","151","152","153","143","137","138","135","127","123","116","104","99","100","96","92","92"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","1776.025","1770.645","1088.008","1041.892","1114.789","1283.028","1487.575","1880.642","2379.723","1214.071","1624.441","2293.51","2545.858","2802.966","3257.407","3582.599","3632.271","3799.363","3235.894","2767.469","2421.845","2516.17","2921.399","3378.212","3378.212"
"aoci","-52.289","-56.297","27.812","103.207","151.195","123.705","186.876","276.509","482.178","218.094","27.362","377.211","-45.832","28.895","139.512","-441.038","-520.775","-243.866","-195.351","-304.039","-388.38","-153.747","-481.248","-409.381","-409.381"
"apic","470.36","542.7329999999999","569.437","568.01","567.0599999999999","569.638","1010.336","1094.21","1122.852","1178.524","1206.132","1233.209","1263.817","1320.901","1355.663","1408.422","1452.413","1503.49","1528.713","1573.005","1594.14","1622.16","1656.907","1691.334","1691.334"
"treasury_stock","-62.793","-0.331","-0.178","-0.142","-0.101","-0.109","-0.271","-0.542","-0.479","-0.931","-0.6919999999999999","-0.695","-0.697","-0.764","-0.675","-0.458","","","","","","","","",""
"other_equity","0.40000000000009","-0.15999999999985","0.43100000000004","-0.44500000000016","0.48300000000017","-0.22900000000027","-0.33300000000008","-0.17399999999998","0.41700000000037","0.09900000000016","-0.1260000000002","-0.16499999999996","-0.41400000000021","0.12700000000041","0.28600000000006","0.49599999999919","0.37700000000041","0.08100000000013099","-0.17499999999927","0.037999999999556","-0.20699999999943","-0.39900000000034","-0.29799999999977","-0.49600000000009","-0.49600000000009"
"minority_interest_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_equity","2246.703","2374.59","1804.51","1832.522","1953.426","2097.033","2831.183","3400.645","4134.691","2760.857","3009.117","4056.07","3905.732","4289.125","4890.193","4685.021","4691.286","5182.068","4685.081","4140.473","3726.398","4084.184","4192.76","4751.669","4751.669"
"total_liabilities_and_equity","5934.424","5864.148","4681.954","4499.551","4863.651","5098.215","6215.693","7355.119","8200.129999999999","6273.516","7782.382","9905.569","10167.866","10474.68","11250.654","10799.953","11239.805","9699.589","9596.844999999999","8564.556","8105.197","8925.422","10388.532","12477.159","12477.159"
"cfo_net_income","162.564","0.097","-664.931","-46.116","72.89700000000001","168.239","204.547","393.067","499.081","-1129.712","410.37","669.069","567.019","450.073","545.604","485.375","390.909","263.351","-142.889","176.337","-31.081","193.114","692.379","770.828","571.289"
"cfo_da","83.51600000000001","119.398","103.879","88.839","64.54000000000001","61.746","66.526","53.775","59.233","65.78100000000001","60.643","81.389","101.336","120.676","137.188","82.191","79.59","155.36","234.872","180.842","242.895","188.699","155.207","143.005","142.336"
"cfo_receivables","-453.33","315.669","433.863","140.656","-271.311","-168.892","-254.691","-129.351","46.1","709.908","-1070.302","-421.457","72.267","-94.203","-306.873","-247.645","191.209","-371.82","-296.175","464.981","221.486","-615.353","-1132.039","-461.117","283.417"
"cfo_inventory","-535.8440000000001","248.978","552.621","387.081","-240.52","144.004","-142.563","53.678","36.453","483.453","-459.917","-321.939","133.178","225.667","-226.141","-78.339","-416.644","84.408","-308.663","81.929","266.791","-409.075","-1218.871","-1173.124","-450.847"
"cfo_prepaid_expenses","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","245.532","-714.7329999999999","-161.69","-45.316","362.8","145.89","-26.173","201.871","-294.076","-372.1","947.37","191.989","-455.946","-83.98999999999999","-31.319","-50.394","-487.824","30.663","598.668","-607.8099999999999","-153.166","651.897","1265.673","-47.158","29.223"
"cfo_change_in_working_capital","-743.6420000000001","-150.086","824.794","482.421","-149.031","121.002","-423.427","126.198","-211.523","821.261","-582.849","-551.407","-250.501","47.474","-564.333","-376.378","-713.259","-256.749","-6.17","-60.9","335.111","-372.531","-1085.237","-1681.399","-138.207"
"cfo_deferred_tax","-40.159","-79.65900000000001","10.828","21.606","-2.815","63.734","52.169","99.604","107.148","-92.78700000000001","46.424","15.966","11.782","-10.019","-15.644","8.696999999999999","107.598","-17.705","-87.14100000000001","33.801","-34.264","14.65","-52.513","-37.06","-13.112"
"cfo_stock_comp","","","","","","","","","25.39","18.27","28.36","28.93","35.74","43.68","45.92","62.01","56.91","47.69","23.99","30.1","26.83","29.34","36.74","38.78","35.88"
"cfo_other_noncash_items","32.257","271.377","701.735","105.128","79.05800000000001","47.115","81.071","51.995","-25.712","1435.222","6.637","34.132","63.342","44.313","88.68300000000001","321.988","302.567","-560.638","230.823","174.59","190.691","37.677","34.114","52.143","52.082"
"cf_cfo","-505.464","161.127","976.3049999999999","651.878","64.649","461.836","-19.114","724.639","453.617","1118.035","-30.415","278.079","528.718","696.197","237.418","583.883","224.315","-368.691","253.485","534.77","730.182","90.949","-219.31","-713.703","650.268"
