"Company: ","Axa Equitable Holdings Inc (EQH:US)","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","",""
"Last Close Price: ","41.3","","","","","","","","","",""
"Industry: ","Financial Services","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","",""
"Country: ","US","","","","","","","","","",""
"Market Cap.: ","13474","","","","","","","","","",""
"Enterprise Value: ","8518","","","","","","","","","",""
"period_end_date","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"premiums_earned","1086","1070","1083","1124","1094","1147","997","960","994","1104","1103"
"net_investment_income","4142","1015","749","3281","2401","-313","-1098","-6423","1318","-1591","-2021"
"fees_and_other_income","7835","7994","9931","8055","8574","8785","12516","13077","10332","11015","11319"
"revenue","13063","10079","11763","12460","12069","9619","12415","7614","12644","10528","10401"
"sga","2109","2165","1965","1980","2079","2081","2096","2363","2201","2328","2365"
"net_policyholder_claims_expense","4357","3505","3342","4366","2856","4385","5326","-3142","1502","1022","-154"
"policy_acquisition_expense","-360","-285","779","503","371","597","1613","552","586","641","661"
"interest_expense_insurance","389","136","174","160","231","221","200","244","201","228","224"
"operating_income","2427","441","2027","1306","2490","-2060","-1093","2609","2992","738","1444"
"pretax_income","2427","441","2027","1306","2490","-2060","-1093","2609","2992","738","1444"
"income_tax","-477","217","-378","-49","-301","593","744","-439","-598","905","150"
"net_income_continuing","1950","658","1649","1257","2189","-1467","-349","2170","2394","1643","1594"
"net_income_discontinued","","","","","","","","","","",""
"income_allocated_to_minority_interest","-320","-325","-395","-423","-334","-297","-299","-415","-241","-341","-355"
"net_income","1630","333","1254","834","1855","-1764","-648","1755","2153","1302","1239"
"preferred_dividends","","","","","","","53","79","80","80","80"
"net_income_available_to_shareholders","1630","333","1254","834","1855","-1764","-701","1676","2073","1222","1159"
"eps_basic","2.91","0.59","2.24","1.49","3.33","-3.57","-1.56","4.02","5.49","3.49","3.24"
"eps_diluted","2.91","0.59","2.24","1.49","3.33","-3.57","-1.56","3.98","5.46","3.48","3.23"
"shares_basic","561","561","561","561","556.4","493.6","450.4","417.4","377.6","350.1","350.1"
"shares_diluted","561","561","561","561","556.5","493.6","450.4","421.2","379.9","351.6","351.6"
"cash_and_equiv","","6557","5654","4814","4469","4405","6179","5188","4281","8239","8239"
