"Company: ","Bank of America Corp (BAC:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","39.38","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Banks","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","312971","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","288054","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","43165","38293","32161","31643","42953","58626","78585","87304","85684","77916","75497","66236","57400","55020","51714","49507","51057","57579","66769","71236","51585","47672","72565","130262","137892"
"total_interest_expense","24816","18003","11238","10179","14993","27889","43991","52863","40324","30807","23974","21620","16744","12755","10935","10549","9961","12340","18607","22345","8225","4738","20103","73331","81377"
"net_interest_income","18349","20290","20923","21464","27960","30737","34594","34441","45360","47109","51523","44616","40656","42265","40779","38958","41096","45239","48162","48891","43360","42934","52462","56931","56515"
"total_noninterest_revenue","14607","14823","14201","17363","21705","24226","34993","28328","26883","62520","53437","41478","40608","43776","45115","44007","42605","41887","42858","42353","42168","46179","42488","41650","41626"
"revenue","32956","35113","35124","38827","49665","54963","69587","62769","72243","109629","104960","86094","81264","86041","85894","82965","83701","87126","91020","91244","85528","89113","94950","98581","98141"
"credit_losses_provision","2535","4287","3697","2839","2769","4014","5010","8385","26825","48570","28435","13410","8169","3556","2275","3161","3597","3396","3282","3590","11320","-4594","2543","4394","4782"
"net_interest_income_after_credit_losses_provision","15814","16003","17226","18625","25191","26723","29584","26056","18535","-1461","23088","31206","32487","38709","38504","35797","37499","41843","44880","45301","32040","47528","49919","52537","51733"
"total_noninterest_expense","18083","19404","18436","20127","25370","26057","31799","33050","40055","53978","63628","69092","65823","60213","75656","57617","55083","54517","53154","54900","55213","59731","61438","63745","67544"
