"Company: ","Berry Global Group Inc (BERY:US)","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","",""
"Last Close Price: ","60.46","","","","","","","","","","","","","",""
"Industry: ","Containers & Packaging","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","",""
"Market Cap.: ","7020","","","","","","","","","","","","","",""
"Enterprise Value: ","15216","","","","","","","","","","","","","",""
"period_end_date","2010-09","2011-09","2012-09","2013-09","2014-09","2015-09","2016-09","2017-09","2018-09","2019-09","2020-09","2021-09","2022-09","2023-09","TTM"
"revenue","4257","4561","4766","4647","4958","4881","6489","7095","7869","8878","11709","13850","14495","12664","12245"
"cogs","3667","3908","3984","3835","4190","4012","5202","5691","6438","7259","9301","11352","12123","10354","10018"
"gross_profit","590","653","782","812","768","869","1287","1404","1431","1619","2408","2498","2372","2310","2227"
"sga","272","284","317","307","320","357","531","494","480","583","850","867","850","886","878"
"rnd","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","",""
"other_opex","153","106","109","105","102","91","143","154","154","194","300","288","257","243","242"
"total_opex","425","390","426","412","422","448","674","648","634","777","1150","1155","1107","1129","1120"
"operating_income","165","263","356","400","346","421","613","756","797","842","1258","1343","1265","1181","1107"
"net_interest_income_normal","-313","-327","-328","-244","-221","-191","-291","-269","-259","-329","-435","-336","-286","-306","-304"
"other_nonoperating_income","-14","-282","-24","-71","-58","-108","-14","-38","-61","-23","-110","-102","-45","-133","-216"
"pretax_income","-162","-346","4","85","67","122","308","449","477","490","713","905","934","742","587"
"income_tax","49","47","-2","-28","-4","-36","-72","-109","19","-86","-154","-172","-168","-133","-83"
"net_income_continuing","-113","-299","2","57","63","86","236","340","496","404","559","733","766","609","504"
"net_income_discontinued","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","-1","","","","","","","","","",""
"other_income_statement_items","","","","","1","","","","","","","","","",""
"net_income","-113","-299","2","57","63","86","236","340","496","404","559","733","766","609","504"
"preferred_dividends","","","","","","","","","","","","","","",""
