"Company: ","Best Buy Co. Inc (BBY:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","86.52","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Specialty Retail","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","19269","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","19189","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2001-02","2002-02","2003-02","2004-02","2005-02","2006-02","2007-02","2008-02","2009-02","2010-02","2011-02","2012-02","2013-01","2014-01","2015-01","2016-01","2017-01","2018-01","2019-01","2020-01","2021-01","2022-01","2023-01","2024-01","TTM"
"revenue","15189","17711","20943","24548","27433","30848","35934","40023","45015","49243","49747","45457","38252","40611","40339","39528","39403","42151","42879","43638","47262","51761","46298","43452","42832"
"cogs","12177","13941","15998","18677","20938","23122","27165","30477","34017","37201","37206","34473","29229","31212","31292","30337","29963","32275","32918","33590","36689","40121","36386","33849","33315"
"gross_profit","3012","3770","4945","5871","6495","7726","8769","9546","10998","12042","12541","10984","9023","9399","9047","9191","9440","9876","9961","10048","10573","11640","9912","9603","9517"
"sga","2401","2862","3935","4567","5053","6082","6770","7385","8984","9622","10029","8755","7905","8106","7592","7618","7547","8023","8015","7998","7928","8635","7970","7876","7765"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","1028","","","","","","","","","","","",""
"total_opex","2401","2862","3935","4567","5053","6082","6770","7385","8984","9622","10029","8755","8933","8106","7592","7618","7547","8023","8015","7998","7928","8635","7970","7876","7765"
"operating_income","611","908","1010","1304","1442","1644","1999","2161","2014","2420","2512","2229","90","1293","1455","1573","1893","1853","1946","2050","2645","3005","1942","1727","1752"
"net_interest_income_normal","","","","","","","","","-94","-92","-86","-111","-99","-100","-90","-80","-72","-75","-73","-64","-52","-25","-35","-52","-52"
"other_nonoperating_income","38","18","4","-8","1","77","131","67","-220","1","-95","48","13","-110","22","-183","-5","39","15","7","-216","44","-119","-54","-74"
"pretax_income","649","926","1014","1296","1443","1721","2130","2228","1700","2329","2331","2166","4","1083","1387","1310","1816","1817","1888","1993","2377","3024","1788","1621","1626"
"income_tax","-248","-356","-392","-496","-509","-581","-752","-815","-674","-835","-779","-742","-263","-388","-141","-503","-609","-818","-424","-452","-579","-574","-370","-381","-386"
"net_income_continuing","401","570","622","800","934","1140","1378","1413","1026","1494","1552","1424","-259","695","1246","807","1207","999","1464","1541","1798","2450","1418","1240","1240"
"net_income_discontinued","-5","","-441","-95","50","","","","","-101","-188","-1402","-161","-172","-11","90","21","1","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","-1","-3","-30","-77","-89","-1253","-21","9","-2","","","","","","","","","",""
"other_income_statement_items","","","-82","","","","","-3","7","1","2","","","","","","","","","","","4","1","1","3"
"net_income","396","570","99","705","984","1140","1377","1407","1003","1317","1277","-1231","-441","532","1233","897","1228","1000","1464","1541","1798","2454","1419","1241","1243"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
