"Company: ","BlackRock Inc (BLK:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","794.39","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Capital Markets","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","118723","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","117526","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","476.872","533.144","576.977","598.212","725.311","1191.386","2098","4845","5064","4700","8612","9081","9337","10180","11081","11401","12261","13600","14198","14539","16205","19374","17873","17859","18344"
"cogs","","","","","","64.611","173","539","591","477","4100","4229","4493","4825","5212","5450","6454","7062","6993","7133","7939","9556","9366","9431","9650"
"gross_profit","476.872","533.144","576.977","598.212","725.311","1126.775","1925","4306","4473","4223","4512","4852","4844","5355","5869","5951","5807","6538","7205","7406","8266","9818","8507","8428","8694"
"sga","58.311","76.56699999999999","88.601","107.333","128.738","769.383","1351","2774","2566","2676","1354","1415","1146","1182","1152","1135","1075","1182","1638","1758","2465","2221","1867","1944","1958"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","275.523","286.401","273.237","262.603","424.678","16.851","68","238","276","247","160","156","174","192","193","152","99","89","50","97","106","147","151","151","152"
"total_opex","333.834","362.968","361.838","369.936","553.4160000000001","786.234","1419","3012","2842","2923","1514","1571","1320","1374","1345","1287","1174","1271","1688","1855","2571","2368","2018","2095","2110"
"operating_income","143.038","170.176","215.139","228.276","171.895","340.541","506","1294","1631","1300","2998","3281","3524","3981","4524","4664","4633","5267","5517","5551","5695","7450","6489","6333","6584"
"net_interest_income_normal","","","","","","10.988","19","22","-4","-48","-121","-142","-179","-189","-203","-178","-165","-156","-80","-106","-143","-118","-60","181","203"
"other_nonoperating_income","6.879","10.815","8.808999999999999","22.626","28.543","24.226","3","504","-611","20","144","-4","125","181","74","116","-13","148","-59","342","972","841","-139","641","727"
"pretax_income","149.917","180.991","223.948","250.902","200.438","375.755","528","1820","1016","1272","3021","3135","3470","3973","4395","4602","4455","5259","5378","5787","6524","8173","6290","7155","7514"
"income_tax","-62.556","-73.557","-90.699","-95.247","-52.264","-138.558","-189","-463","-387","-375","-971","-796","-1030","-1022","-1131","-1250","-1289","-270","-1076","-1261","-1238","-1968","-1296","-1479","-1384"
"net_income_continuing","87.361","107.434","133.249","155.655","148.174","237.197","339","1357","629","897","2050","2339","2440","2951","3264","3352","3166","4989","4302","4526","5286","6205","4994","5676","6130"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","-0.253","-5.033","-3.289","-16","-364","155","-22","13","-2","18","-19","30","-7","2","-37","3","-50","-354","-304","184","-174","-212"
"other_income_statement_items","","-1.4210854715202E-14","-2.8421709430404E-14","","","-2.8421709430404E-14","","","","","","","","","","","","","","","","","","",""
"net_income","87.361","107.434","133.249","155.402","143.141","233.908","323","993","784","875","2063","2337","2458","2932","3294","3345","3168","4952","4305","4476","4932","5901","5178","5502","5918"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","87.361","107.434","133.249","155.402","143.141","233.908","323","993","784","875","2063","2337","2458","2932","3294","3345","3168","4952","4305","4476","4932","5901","5178","5502","5918"
"eps_basic","1.37","1.66","2.05","2.39","2.24","3.63","3.98","7.5","5.84","6.22","10.63","12.51","13.97","17.16","19.5","20.02","19.19","30.42","26.75","28.58","32.13","38.76","34.31","36.85","39.71"
"eps_diluted","1.35","1.64","2.03","2.35","2.16","3.49","3.86","7.34","5.76","6.09","10.51","12.32","13.74","16.8","19.17","19.71","18.94","30","26.47","28.32","31.85","38.22","33.97","36.51","39.35"
"shares_basic","64.143","64.53","65.01600000000001","64.913","63.945","64.441","80.962","129.005","130.064","137.218","191.32","185.005","175.664","170.869","168.901","167.058","165.086","162.812","160.945","156.641","153.489","152.2","150.9","149.3","149.3"
"shares_diluted","64.84999999999999","65.187","65.56999999999999","66.125","66.22499999999999","67.14400000000001","83.693","131.906","131.904","140.042","193.466","187.868","178.733","174.527","171.799","169.717","167.249","165.075","162.599","158.092","154.841","154.4","152.4","150.7","150.7"
"cash_and_equiv","192.59","186.451","255.234","315.941","457.673","484.223","1160.304","1656","2032","4708","3460","3560","4903","4551","6001","6231","6175","7038","6488","4829","8664","9323","7416","8736","8736"
"st_investments","","","","","","298.668","","","","","","","","","","","","","","","","","1331","1871","1871"
"receivables","83.28400000000001","","114.07","127.316","154.944","339.578","1077.55","1411","1210","1907","2245","3741","4514","4572","5440","3267","3123","4192","2657","3179","3535","3789","3264","3916","3916"
"inventories","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_assets","","","","5.6843418860808E-14","","","177.242","","","","","20918","23021","21788","33654","31336","27792","24190","20655","15466","16507","7081","5856","4650","4650"
"total_current_assets","275.874","186.451","369.304","443.257","612.617","1122.469","2415.096","3067","3242","6615","5705","28219","32438","30911","45095","40834","37090","35420","29800","23474","28706","20193","17867","19173","19173"
"equity_and_other_investments","13.316","","210.559","234.923","227.497","298.668","2097.574","2000","1429","1049","2852","1631","1750","2151","1921","1578","1595","1981","4476","5489","6919","7262","6044","7777","7777"
"ppe_gross","45.598","","93.923","87.006","93.70099999999999","129.451","374.617","492","519","746","854","1020","1129","1136","1054","1151","1160","1250","1393","1595","2428","3639","3937","3972","3972"
"accumulated_depreciation","","","","","","","-159.833","-226","-259","-303","-426","-483","-572","-611","-587","-570","-601","-658","-750","-880","-1098","-1256","-1390","-1439","-1439"
"ppe_net","45.598","","93.923","87.006","93.70099999999999","129.451","214.784","266","260","443","428","537","557","525","467","581","559","592","643","715","1330","2383","2547","2533","2533"
"intangible_assets","192.142","181.688","182.827","192.079","184.11","294.172","5882.427","6553","6441","17666","17512","17356","17402","17501","17344","17372","17363","17389","17839","18369","18263","18453","18302","18258","18258"
"goodwill","","","","","","189.81","5257.02","5520","5533","12680","12805","12792","12910","12980","12961","13123","13118","13220","13526","14562","14551","15351","15341","15524","15524"
"other_lt_assets","10.073","316.339","7.575","9.957999999999899","27.31","-186.57","4602.591","5155","3019","139671","139157","119361","135394","155805","162004","151773","150452","151639","93289","106013","107213","89006","57527","59946","59946"
"total_assets","537.003","684.478","864.188","967.223","1145.235","1848","20469.492","22561","19924","178124","178459","179896","200451","219873","239792","225261","220177","220241","159573","168622","176982","152648","117628","123211","123211"
"accounts_payable","","","","","","","753.8390000000001","789","545","840","1068","923","","","","","","","","","","","","",""
"tax_payable","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_accrued_liabilities","130.101","","173.047","172.447","311.351","522.6369999999999","","","","1482","1520","","1055","1084","1035","1068","880","1161","1292","1167","1028","1397","1294","1240","1240"
"st_debt","","","","","","","","300","200","2234","100","100","100","","","","","","","","","","","",""
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","",""
