"Company: ","BorgWarner Inc (BWA:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","32.87","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Automobile Components","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","7655","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","9913","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","2647","2351.6","2731.1","3069.2","3525.3","4293.8","4585.4","5328.6","5263.9","3961.8","5652.8","7114.7","7183.2","7436.6","8305.1","8023.2","9071","9799","10530","10168","10165","11803","12635","14198","15259"
"cogs","2003","1890.8","2176.5","2482.5","2874.2","3440","3735.5","4378.7","4425.4","3401","4559.5","5704.3","5716.3","5879.1","6548.7","6320.1","7142.3","7684","8300","8067","8255","9630","10266","11630","12436"
"gross_profit","644","460.8","554.6","586.7","651.1","853.8","849.9","949.9","838.5","560.8","1093.3","1410.4","1466.9","1557.5","1756.4","1703.1","1928.7","2115","2230","2101","1910","2173","2369","2568","2823"
"sga","244","249.7","303.5","316.9","339","495.9","498.1","531.9","542.9","459.8","566.6","621","646.6","645.6","702","687.7","818","899","946","873","951","1078","1290","1331","1447"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","146","42","-0.9","-0.1","3","34.8","-8.5","-6.8","","","2.4","","0.3","","","","","","-4","","38","-11","-4","-11","-9"
"total_opex","390","291.7","302.6","316.8","342","530.7","489.6","525.1","542.9","459.8","569","621","646.9","645.6","702","687.7","818","899","942","873","989","1067","1286","1320","1438"
"operating_income","254","169.1","252","269.9","309.1","323.1","360.3","424.8","295.6","101","524.3","789.4","820","911.9","1054.4","1015.4","1110.7","1216","1288","1228","921","1106","1083","1248","1385"
"net_interest_income_normal","","","","","","","","","-31.7","-54.7","-66","-69.8","-34.7","-29.4","-30.9","-52.9","-78.3","-65","-53","-43","-61","-71","-51","-38","-33"
"other_nonoperating_income","-105","-63.1","-18.2","-13.2","-0.5","-8.9","-90","5.6","-249.9","-28.4","19.6","46.3","-24.3","-13.2","-43.4","-87.09999999999999","-89.7","-88","-39","80","104","-525","-119","-219","-267"
"pretax_income","149","106","233.8","256.7","308.6","314.2","270.3","430.4","14","17.9","477.9","765.9","761","869.3","980.1","875.4","942.7","1063","1196","1265","964","510","913","991","1085"
"income_tax","-55","-39.7","-77.2","-73.2","-81.2","-55.1","-32.4","-113.9","-33.3","18.5","-81.7","-195.3","-238.6","-218.3","-292.6","-261.5","-306","-580","-211","-468","-397","-65","-195","-289","-360"
"net_income_continuing","94","66.3","156.6","183.5","227.4","259.1","237.9","316.5","-19.3","36.4","396.2","570.6","522.4","651","687.5","613.9","636.7","483","985","797","567","445","718","702","725"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","194","308","-7","-39"
"income_allocated_to_minority_interest","-3","-3.8","-6.7","-8.6","-9.1","-19.5","-26.3","-28","-16.3","-9.4","-18.8","-20.5","-21.5","-26.7","-31.7","-36.7","-41.7","-43","-54","-51","-67","-102","-82","-70","-72"
"other_income_statement_items","3","3.9","-269","","-2.8421709430404E-14","2.8421709430404E-14","","","-7.105427357601E-15","","","1.1368683772162E-13","","","","1.1368683772162E-13","","","","","","","","",""
"net_income","94","66.40000000000001","-119.1","174.9","218.3","239.6","211.6","288.5","-35.6","27","377.4","550.1","500.9","624.3","655.8","577.2","595","440","931","746","500","537","944","625","614"
"preferred_dividends","","","","","","","","","","","","-21.5","-5.8","","","","","","","","","","","",""
"net_income_available_to_shareholders","94","66.40000000000001","-119.1","174.9","218.3","239.6","211.6","288.5","-35.6","27","377.4","571.6","506.7","624.3","655.8","577.2","595","440","931","746","500","537","944","625","614"
"eps_basic","0.45","0.32","-0.5600000000000001","0.8100000000000001","0.98","1.06","0.92","1.25","-0.16","0.12","1.66","2.52","2.22","2.73","2.89","2.57","2.78","2.09","4.47","3.63","2.35","2.25","4.01","2.68","2.66"
"eps_diluted","0.44","0.31","-0.5600000000000001","0.8","0.97","1.04","0.92","1.23","-0.16","0.12","1.54","2.22","2.09","2.7","2.86","2.56","2.76","2.08","4.44","3.61","2.34","2.24","3.99","2.67","2.64"
"shares_basic","211.128","210.52","213","216.464","223.488","226.832","229.612","232.004","232.014","233.044","228.31","218.458","225.304","228.6","227.15","224.414","214.374","210.4","208.2","205.7","213","238.1","235.5","232.8","232.8"
"shares_diluted","211.896","211.704","214.832","218.416","226.148","229.592","231.884","235.68","232.014","233.878","259.15","256.936","242.754","231.337","228.924","225.648","215.328","211.5","209.5","206.8","214","239.5","236.8","234.4","234.4"
"cash_and_equiv","21.4","33","36.6","113.1","229.7","89.7","123.3","188.5","103.4","357.4","449.9","359.6","715.7","939.5","797.8","577.7","443.7","545.3","739","832","1650","1844","1083","1534","1534"
"st_investments","","","","","","40.6","59.1","14.6","","","","","","","","","","","","","","","","",""
"receivables","168.9","204","292.1","414.9","499.1","626.1","744","802.4","607.1","732","1023.9","1183","1147.3","1248.5","1443.5","1665","1689.3","2018.9","1988","1931","2935","2915","2485","3127","3127"
"inventories","161.6","144","180.3","201.3","223.4","332","386.9","447.6","451.2","314.3","430.6","454.3","447.6","458.1","505.7","723.6","641.2","766.3","781","807","1286","1534","1217","1313","1313"
"other_current_assets","58.7","60","57.5","109","122.1","80.3","124.2","127.2","146.5","148.1","155.5","140.9","162.2","152.4","223.8","168.9","137.4","212.7","297","266","296","304","1832","243","243"
"total_current_assets","410.6","441","566.5","838.3","1074.3","1168.7","1437.5","1580.3","1308.2","1551.8","2059.9","2137.8","2472.8","2798.5","2970.8","3135.2","2911.6","3543.2","3805","3836","6167","6597","6617","6217","6217"
"equity_and_other_investments","","","","","","","","","266.5","257.4","307.9","345.3","382.7","201.5","184.2","200.1","218.9","239.6","252","316","769","428","763","308","308"
"ppe_gross","1279.3","1348","1467.8","1665.7","1859.6","2265.6","2449.1","2647","2633.6","2701.9","2850.6","3008.2","3355","3038.7","3170.7","3484.9","3639.3","4255.5","4378","4523","6727","8293","7063","7742","7742"
