"Company: ","Broadcom Inc (AVGO:US)","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","",""
"Last Close Price: ","1580.79","","","","","","","","","","","","","","","","",""
"Industry: ","Semiconductors & Semiconductor Equipment","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","",""
"Market Cap.: ","735838","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","797598","","","","","","","","","","","","","","","","",""
"period_end_date","2007-10","2008-10","2009-10","2010-10","2011-10","2012-10","2013-10","2014-10","2015-10","2016-10","2017-10","2018-10","2019-10","2020-10","2021-10","2022-10","2023-10","TTM"
"revenue","1527","1699","1484","2093","2336","2364","2520","4269","6824","13240","17636","20848","22597","23888","27450","33203","35819","42619"
"cogs","1165","1044","924","1127","1189","1222","1322","2392","3271","7300","9127","10115","10114","10372","10606","11108","11129","14897"
"gross_profit","362","655","560","966","1147","1142","1198","1877","3553","5940","8509","10733","12483","13516","16844","22095","24690","27722"
"sga","193","196","223","196","220","199","222","407","486","806","789","1056","1709","1935","1347","1382","1592","3655"
"rnd","205","265","245","280","317","335","398","695","1049","2674","3302","3768","4696","4968","4854","4919","5253","7469"
"special_charges","","","","","","","","","","","","","","","","","",""
"other_opex","28","28","21","21","22","21","24","197","249","1873","1764","541","1898","2401","1976","1512","1394","2317"
"total_opex","426","489","489","497","559","555","644","1299","1784","5353","5855","5365","8303","9304","8177","7813","8239","13441"
"operating_income","-64","166","71","469","588","587","554","578","1769","587","2654","5368","4180","4212","8667","14282","16451","14281"
"net_interest_income_normal","-109","-86","-77","-34","-3","3","2","-104","-183","-575","-410","-514","-1346","-1724","-1869","-1637","-1087","-2249"
"other_nonoperating_income","-39","-20","-30","-29","-24","-5","12","-132","-119","-1119","-419","-309","-608","-45","-33","-211","-267","-1144"
"pretax_income","-212","60","-36","406","561","585","568","342","1467","-1107","1825","4545","2226","2443","6765","12434","15097","10888"
"income_tax","-8","-3","-8","9","-9","-22","-16","-33","-76","-642","-35","8084","510","518","-29","-939","-1015","-666"
"net_income_continuing","-220","57","-44","415","552","563","552","309","1391","-1749","1790","12629","2736","2961","6736","11495","14082","10222"
"net_income_discontinued","61","26","","","","","","-46","-27","-112","-6","-19","-12","-1","","","","51"
"income_allocated_to_minority_interest","","","","","","","","","","122","-92","-351","","","","","",""
"other_income_statement_items","","","","","","","","","","","92","","","","","","",""
"net_income","-159","83","-44","415","552","563","552","263","1364","-1739","1784","12259","2724","2960","6736","11495","14082","10273"
"preferred_dividends","","","","","","","","","","","92","","29","297","299","272","",""
"net_income_available_to_shareholders","-159","83","-44","415","552","563","552","263","1364","-1739","1692","12259","2695","2663","6437","11223","14082","10273"
"eps_basic","-0.74","0.39","-0.2","1.74","2.25","2.3","2.23","1.05","5.17","-4.75","4.18","28.37","6.75","6.6","15.7","27.44","33.93","24.02"
"eps_diluted","-0.74","0.38","-0.2","1.69","2.19","2.25","2.19","0.99","4.85","-4.86","4.02","28.37","6.41","6.31","15","26.53","32.98","23.25"
"shares_basic","214","214","219","238","245","245","247","251","264","366","405","419.048","398.997","403.008","410","409","415","415"
"shares_diluted","214","219","219","246","252","250","252","267","281","383","421","432.08","420.05","422.055","429","423","427","427"
"cash_and_equiv","309","213","472","561","829","1084","985","1604","1822","3097","11204","4292","5055","7618","12163","12416","14189","14189"
"st_investments","","","","","","","","","","","","","","","","","",""
"receivables","218","184","186","285","328","359","418","782","1019","2181","2603","3325","3259","2297","2071","2958","3154","3154"
"inventories","140","188","162","189","194","194","285","519","524","1400","1447","1124","874","1003","1297","1925","1898","1898"
"other_current_assets","50","34","44","52","42","54","130","930","394","447","569","366","729","977","1055","1205","1606","1606"
"total_current_assets","717","619","864","1087","1393","1691","1818","3835","3759","7125","15823","9107","9917","11895","16586","18504","20847","20847"
"equity_and_other_investments","","","","","","","","","","","","","","","","","",""
"ppe_gross","292","515","558","640","737","988","1232","1851","2236","3638","4092","4529","4896","5331","5544","5827","6178","6178"
"accumulated_depreciation","","-216","-294","-359","-421","-485","-571","-693","-776","-1129","-1493","-1894","-2331","-2822","-3196","-3604","-4024","-4024"
"ppe_net","292","299","264","281","316","503","661","1158","1460","2509","2599","2635","2565","2509","2348","2223","2154","2154"
"intangible_assets","777","721","647","573","499","422","492","3617","3277","15068","10832","10762","17554","16782","11374","7111","3867","3867"
"goodwill","122","169","171","172","177","180","391","1596","1674","24732","24706","26913","36714","43447","43450","43614","43653","43653"
"other_lt_assets","43","63","24","44","61","66","53","285","345","532","458","707","743","1300","1812","1797","2340","2340"
"total_assets","1951","1871","1970","2157","2446","2862","3415","10491","10515","49966","54418","50124","67493","75933","75570","73249","72861","72861"
"accounts_payable","194","174","154","198","221","248","278","515","617","1261","1105","811","855","836","1086","998","1210","1210"
"tax_payable","","","","","10","16","15","57","","117","123","162","229","440","541","680","473","473"
"current_accrued_liabilities","34","32","80","94","5","5","","","","331","260","326","","","282","393","380","380"
"st_debt","","","364","230","","","","46","46","454","117","","2787","827","264","403","1563","1563"
"current_deferred_revenue","","","","","10","8","","","","","51","164","1501","2620","2619","2931","2487","2487"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","91","120","33","41","102","68","121","398","456","915","873","875","1527","1648","1463","1610","1247","1247"
"total_current_liabilities","321","328","633","565","350","346","414","1016","1119","3078","2529","2338","6899","6371","6281","7052","7405","7405"
"lt_debt","903","703","230","","","","","5463","3826","13188","17431","17493","30011","40235","39401","39053","37617","37617"
"noncurrent_capital_leases","4","5","3","4","4","2","","","","","","","","","39","22","4","4"
"pension_liabilities","","","","","","","62","506","475","531","","","","","","","",""
"noncurrent_deferred_revenue","","","","","","","","","9","10287","10019","","307","823","566","410","299","299"
"other_lt_liabilities","30","55","64","83","86","95","53","263","372","1006","1253","3636","5306","4603","4294","4003","3548","3548"
"total_liabilities","1258","1091","930","652","440","443","529","7248","5801","28090","31232","23467","42523","52032","50581","50540","48873","48873"
"common_stock","","","","","","1479","1587","2009","2547","19241","20505","","","","","","",""
"preferred_stock","","","","","","","","","","","","","29","27","27","","",""
"retained_earnings","-386","-312","-356","59","525","951","1305","1284","2240","-215","-129","3487","","","748","1604","2682","2682"
"aoci","4","8","3","-4","2","-11","-6","-50","-73","-134","-91","-115","-140","-108","-116","-54","207","207"
"apic","1075","1084","1393","1450","1479","","","","","","","23285","25081","23982","24330","21159","21099","21099"
"treasury_stock","","","","","","","","","","","","","","","","","",""
"other_equity","","","","","","","","","","","","","","","","","",""
"minority_interest_liability","","","","","","","","","","2984","2901","","","","","","",""
"total_equity","693","780","1040","1505","2006","2419","2886","3243","4714","21876","23186","26657","24970","23901","24989","22709","23988","23988"
"total_liabilities_and_equity","1951","1871","1970","2157","2446","2862","3415","10491","10515","49966","54418","50124","67493","75933","75570","73249","72861","72861"
"cfo_net_income","-159","83","-44","415","552","563","552","263","1364","-1861","1784","12610","2724","2960","6736","11495","14082","10273"
"cfo_da","176","159","160","159","157","155","187","625","962","3042","4737","4081","5808","6905","6041","4984","3835","6739"
"cfo_receivables","-31","38","","-96","-42","-13","-26","-70","-187","-491","-267","-652","486","981","210","-870","-187","1147"
"cfo_inventory","28","-45","27","-26","-5","","-55","193","62","996","-39","417","250","-31","-294","-627","27","56"
"cfo_prepaid_expenses","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","","-27","-33","23","12","-75","12","128","143","11","-319","-591","-920","143","-43","-157","-1483","-3607"
"cfo_change_in_working_capital","-3","-34","-6","-99","-35","-88","-69","251","18","516","-625","-826","-184","1093","-127","-1654","-1643","-2404"
"cfo_deferred_tax","","","","","14","14","3","-92","-220","365","-173","-8270","-934","-1142","-809","-34","-501","-417"
"cfo_stock_comp","12","15","12","25","38","53","77","163","232","679","921","1227","2185","1976","1704","1533","2171","4306"
"cfo_other_noncash_items","120","-15","17","10","","-4","-28","-35","-38","670","-93","58","98","269","219","412","141","445"
"cf_cfo","146","208","139","510","726","693","722","1175","2318","3411","6551","8880","9697","12061","13764","16736","18085","18942"
"cfi_ppe_net","-37","-60","-57","-77","-112","-241","-236","-409","-483","-718","-628","-396","-344","-463","-443","-424","-452","-481"
"cfi_acquisitions_net","","","","","-8","-4","-414","-5511","256","-9157","-30","-4027","-15076","-10654","37","-246","-53","-25976"
"cfi_investment_net","-27","-78","-7","-9","-1","","-2","35","-14","46","-7","-195","-5","","169","","-118","-90"
"cfi_intangibles_net","","-6","-1","","","","","","","","","","","","","","",""
"cfi_other","69","50","2","","-1","1","","","","-11","-9","-56","3","8","-8","3","-66","96"
"cf_cfi","5","-94","-63","-86","-122","-244","-652","-5885","-241","-9840","-674","-4674","-15422","-11109","-245","-667","-689","-26451"
"cff_common_stock_net","-2","-7","298","28","-23","-66","6","112","241","295","257","-7102","-6154","-489","-1129","-8341","-7563","-12518"
"cff_pfd_net","","","","","","","","","","","","","3679","","","","",""
"cff_debt_net","-108","-202","-115","-366","-233","-2","","5588","-1817","8193","3758","-973","13234","7703","-1591","-426","-403","26933"
"cff_dividend_paid","","","","","-86","-137","-198","-284","-408","-750","-1745","-2998","-4235","-5534","-6212","-7032","-7645","-8683"
"cff_other","-4","-1","","3","6","11","23","-87","125","-34","-40","-45","-36","-69","-42","-17","-12","33"
