"Company: ","Brown & Brown Inc (BRO:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","91.14","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","26625","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","29043","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","265.405","365.029","455.742","546.715","646.934","785.807","878.004","959.667","977.554","967.877","966.917","1005.962","1189.081","1355.503","1567.46","1656.951","1762.787","1857.27","2009.857","2384.737","2606.1","3047.5","3563.2","4199.4","4324.5"
"cogs","","","","268.372","","","","","","","487.82","508.675","608.506","683","811.112","856.952","925.217","994.652","1068.914","1308.165","1436.4","1636.9","1816.9","2186.6","2246.5"
"gross_profit","265.405","365.029","455.742","278.343","646.934","785.807","878.004","959.667","977.554","967.877","479.097","497.287","580.575","672.503","756.348","799.999","837.5700000000001","862.6180000000001","940.943","1076.572","1169.7","1410.6","1746.3","2012.8","2078"
"sga","149.836","187.653","224.755","2.272","316.846","378.28","410.307","449.768","493.097","492.038","6.845","11.194","15.865","22.603","19.363","15.513","","","","","","","","",""
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","60.239","81.19499999999999","91.664","100.29","115.983","148.928","174.299","184.57","197.269","206.486","199.932","211.226","253.335","281.094","319.801","343.853","370.538","391.614","441.496","505.804","500.8","555.9","782.6","855.9","859.1"
"total_opex","210.075","268.848","316.419","102.562","432.829","527.208","584.606","634.338","690.366","698.524","206.777","222.42","269.2","303.697","339.164","359.366","370.538","391.614","441.496","505.804","500.8","555.9","782.6","855.9","859.1"
"operating_income","55.33","96.181","139.323","175.781","214.105","258.599","293.398","325.329","287.188","269.353","272.32","274.867","311.375","368.806","417.184","440.633","467.032","471.004","499.447","570.768","668.9","854.7","963.7","1156.9","1218.9"
