"Company: ","Brown-Forman Corporation (BF.A:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","43.14","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Beverages","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","20621","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","22547","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2001-04","2002-04","2003-04","2004-04","2005-04","2006-04","2007-04","2008-04","2009-04","2010-04","2011-04","2012-04","2013-04","2014-04","2015-04","2016-04","2017-04","2018-04","2019-04","2020-04","2021-04","2022-04","2023-04","2024-04","TTM"
"revenue","1924","1973","2058","1656","1778","1944","2218","2582","2481","2469","2586","2723","2849","2991","3134","3089","2994","3248","3324","3363","3461","3933","4228","4178","4178"
"cogs","718","841","878","621","622","636","737","887","904","858","862","928","894","913","951","945","973","1046","1158","1236","1367","1542","1734","1652","1652"
"gross_profit","1206","1132","1180","1035","1156","1308","1481","1695","1577","1611","1724","1795","1955","2078","2183","2144","2021","2202","2166","2127","2094","2391","2494","2526","2526"
"sga","779","772","812","650","713","792","898","1007","931","889","940","1005","1058","1122","1134","1105","1029","1170","1037","1025","1070","1128","1248","1355","1355"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","7","-4","4","-2","-47","-19","3","5","12","-71","2","-1","-15","22","-9","-18","-16","-15","11","-15","59","119","24","24"
"total_opex","779","779","808","654","711","745","879","1010","936","901","869","1007","1057","1107","1156","1096","1011","1154","1022","1036","1055","1187","1367","1379","1379"
"operating_income","427","353","372","381","445","563","602","685","641","710","855","788","898","971","1027","1048","1010","1048","1144","1091","1039","1204","1127","1147","1147"
"net_interest_income_normal","","","","","","","","-41","-31","-28","-26","-28","-33","-24","-25","-44","-56","-62","-80","-77","-79","-77","-81","-113","-113"
"other_nonoperating_income","-61","-5","-5","-20","59","-4","-16","","20","","","","","","","485","-21","-9","-22","-5","121","-13","-29","264","264"
"pretax_income","366","348","367","361","504","559","586","644","630","682","829","760","865","947","1002","1489","933","977","1042","1009","1081","1114","1017","1298","1298"
"income_tax","-133","-120","-125","-119","-165","-164","-186","-204","-195","-233","-257","-247","-274","-288","-318","-422","-264","-260","-207","-182","-178","-276","-234","-274","-274"
"net_income_continuing","233","228","242","242","339","395","400","440","435","449","572","513","591","659","684","1067","669","717","835","827","903","838","783","1024","1024"
"net_income_discontinued","","","","12","-31","-75","-11","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","233","228","242","254","308","320","389","440","435","449","572","513","591","659","684","1067","669","717","835","827","903","838","783","1024","1024"
"preferred_dividends","","","","","","","","","","","1","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","233","228","242","254","308","320","389","440","435","449","571","513","591","659","684","1067","669","717","835","827","903","838","783","1024","1024"
"eps_basic","0.36","0.36","0.35","0.43","0.54","0.5600000000000001","0.68","0.77","0.77","0.8100000000000001","1.04","0.96","1.11","1.23","1.3","2.1","1.38","1.49","1.74","1.73","1.89","1.75","1.63","2.15","2.15"
"eps_diluted","0.36","0.35","0.35","0.43","0.54","0.55","0.67","0.76","0.77","0.8100000000000001","1.04","0.95","1.1","1.22","1.28","2.09","1.37","1.48","1.73","1.72","1.88","1.74","1.63","2.14","2.14"
"shares_basic","642.188","641.715","687.5","569.063","570.4690000000001","572.3440000000001","576.0940000000001","574.125","564.375","554.378","546.013","536.323","533.423","533.635","528.981","507.441","484.635","480.319","478.956","477.765","478.527","478.879","479.155","476.394","476.394"
"shares_diluted","643.125","651.677","687.5","571.875","574.2190000000001","578.438","582.188","579.375","567.75","557.1559999999999","549.425","540.208","537.465","537.705","532.706","510.7","488.077","484.248","482.067","480.409","480.677","480.565","480.465","477.22","477.22"
"cash_and_equiv","86","116","72","68","295","475","283","119","340","232","567","338","204","437","370","263","182","239","307","675","1150","868","374","446","446"
"st_investments","","","","","","160","86","","","","","","","","","","","","","","","","","",""
"receivables","303","280","325","348","296","323","404","453","367","418","496","475","548","569","583","559","557","639","609","570","753","813","855","769","769"
"inventories","577","578","585","557","470","512","694","685","652","651","647","712","827","882","953","1054","1270","1379","1520","1685","1751","1818","2283","2556","2556"
"other_current_assets","28","55","86","110","254","139","168","199","215","226","266","224","242","289","348","357","342","298","283","335","263","277","289","265","265"
