"Company: ","Brunswick Corporation (BC:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","72.06999999999999","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Leisure Products","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","5088","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","6911","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","3811.9","3370.8","3711.9","4128.7","5058.1","5606.9","5665","5671.2","4708.7","2776.1","3338","3670","3416.8","3599.7","3838.7","3780.2","4488.5","3802.2","4120.9","4108.4","4347.5","5846.2","6812.2","6401.4","6022.8"
"cogs","2574.5","2587.4","2852","3131.6","3809.6","4285.3","4439.3","4528.1","3841.3","2460.5","2600.8","2792.6","2540.5","2650.4","2801.9","2720.2","3256.1","2853.6","3073.9","2987.4","3134.5","4180.2","4865","4614.4","4367.8"
"gross_profit","1237.4","783.4","859.9","997.1","1248.5","1321.6","1225.7","1143.1","867.4","315.6","737.2","877.4","876.3","949.3","1036.8","1060","1232.4","948.6","1047","1121","1213","1666","1947.2","1787","1655"
"sga","534.2","496.4","560.5","632.5","736.9","729.4","752.3","835","668.4","625.1","529.8","546.5","512.7","536.2","584.5","610.1","598.1","458.1","515.2","509.6","543.7","697.8","771.4","812.2","804.6"
"rnd","102.2","95.90000000000001","102.8","118.2","116.8","123.5","132.2","134.5","122.2","88.5","90.3","95.90000000000001","101","114.8","119.6","113.9","139.2","111.6","121.5","121.6","125.9","154.5","202.9","185.2","182.3"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","148.8","","","25","","","","66.40000000000001","","","","","","","","","","","","","","","","",""
"total_opex","785.2","592.3","663.3","775.7","853.7","852.9","884.5","1035.9","790.6","713.6","620.1","642.4","613.7","651","704.1","724","737.3","569.7","636.7","631.2","669.6","852.3","974.3","997.4","986.9"
"operating_income","452.2","191.1","196.6","221.4","394.8","468.7","341.2","107.2","76.8","-398","117.1","235","262.6","298.3","332.7","336","495.1","378.9","410.3","489.8","543.4","813.7","972.9","789.6","668.1"
"net_interest_income_normal","","","","","","","","","-47.5","-82.90000000000001","-90.8","-77.90000000000001","-63.4","-40.4","-28.7","-25.5","-25.7","-23.8","-48.2","-72.7","-66.09999999999999","-67.8","-92","-102.2","-102.3"
"other_nonoperating_income","-128.9","-58.9","-35","-20.3","-21.5","17.2","-31.5","-14.5","-661.5","-203.8","-64.40000000000001","-46.4","-43.2","-49","-16.1","4.3","-79.7","-142.2","-51.4","-306.4","-4.6","-9.5","-27.3","-58.5","-61.3"
"pretax_income","323.3","132.2","161.6","201.1","373.3","485.9","309.7","92.7","-632.2","-684.7","-38.1","110.7","156","208.9","287.9","314.8","389.7","212.9","310.7","110.7","472.7","736.4","853.6","628.9","504.5"
"income_tax","-121.1","-47.5","-58.1","-65.90000000000001","-109.5","-114.8","-46.5","-13.1","-155.9","98.5","-25.9","-20.1","-31.4","547.9","-93","-83.90000000000001","-115.3","-111.6","-57.3","-80.3","-98","-141","-172.3","-196.3","-115.9"
"net_income_continuing","202.2","84.7","103.5","135.2","263.8","371.1","263.2","79.59999999999999","-788.1","-586.2","-64","90.59999999999999","124.6","756.8","194.9","230.9","274.4","101.3","253.4","30.4","374.7","595.4","681.3","432.6","388.6"
"net_income_discontinued","-298","","","","6","14.3","-129.3","32","","","-46.6","-18.7","-74.59999999999999","12.4","50.8","10.5","1.6","45.1","11.9","-161.4","-2","-2.1","-4.3","-12.2","-12.5"
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","-1.4210854715202E-14","-2.9","-25.1","","","","2.8421709430404E-14","-1.4210854715202E-14","","","","1.4210854715202E-14","","1.1368683772162E-13","","","","","5.6843418860808E-14","","","","","","-1.4210854715202E-14"
"net_income","-95.8","81.8","78.40000000000001","135.2","269.8","385.4","133.9","111.6","-788.1","-586.2","-110.6","71.90000000000001","50","769.2","245.7","241.4","276","146.4","265.3","-131","372.7","593.3","677","420.4","376.1"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-95.8","81.8","78.40000000000001","135.2","269.8","385.4","133.9","111.6","-788.1","-586.2","-110.6","71.90000000000001","50","769.2","245.7","241.4","276","146.4","265.3","-131","372.7","593.3","677","420.4","376.1"
"eps_basic","-1.08","0.93","1.16","1.48","2.82","3.95","1.42","1.24","-8.93","-6.63","-1.25","0.8100000000000001","0.5600000000000001","8.43","2.63","2.6","3.03","1.64","3.03","-1.54","4.7","7.63","9.050000000000001","5.99","5.38"
"eps_diluted","-1.08","0.93","1.16","1.47","2.77","3.9","1.41","1.24","-8.93","-6.63","-1.25","0.78","0.54","8.199999999999999","2.58","2.56","3","1.62","3.01","-1.54","4.68","7.57","9","5.96","5.38"
"shares_basic","88.7","87.8","67.586","91.2","95.59999999999999","97.59999999999999","94","89.8","88.3","88.40000000000001","88.7","89.3","89.8","91.2","93.59999999999999","93","91.2","89.40000000000001","87.59999999999999","85.2","79.2","77.8","74.8","70.2","70.2"
"shares_diluted","88.7","88.09999999999999","90.7","91.90000000000001","97.3","98.8","94.7","90.2","88.3","88.40000000000001","88.7","92.2","92.40000000000001","93.8","95.09999999999999","94.3","92","90.09999999999999","88.2","85.59999999999999","79.7","78.40000000000001","75.2","70.5","70.5"
"cash_and_equiv","125.2","108.5","351.4","345.9","499.8","487.7","283.4","331.4","317.5","526.6","551.4","338.2","284.3","356.5","552.7","657.3","422.4","448.8","294.4","320.3","519.6","354.5","595.6","467.8","467.8"
"st_investments","","","","","","","","","","0.8","84.7","76.7","92.3","12.7","83.2","11.5","35.8","0.8","0.8","0.8","56.7","0.8","4.5","0.8","0.8"
"receivables","419.9","388.6","407.3","374.4","463.2","471.6","492.3","572.4","444.8","332.4","327.3","329.6","349.2","345.7","386.5","398.1","411.5","485.3","351.8","331.8","337.6","485.3","543","493.2","493.2"
"inventories","510.7","557.4","546.9","623.8","786.8","816.9","861.9","906.7","811.7","484.9","527.5","501.5","575.8","583.9","652.3","685","699","827.7","774","824.5","711.8","1208","1471.4","1476.8","1476.8"
"other_current_assets","581.2","346.4","354.6","371.1","348.9","458.8","440.8","303.8","162.9","114","44.9","110.3","58.5","209.8","293.1","52.5","119.8","84.09999999999999","459.1","48.4","44.8","76","80.7","71.09999999999999","71.09999999999999"
"total_current_assets","1637","1400.9","1660.2","1715.2","2098.7","2235","2078.4","2114.3","1736.9","1458.7","1535.8","1356.3","1360.1","1508.6","1967.8","1804.4","1688.5","1846.7","1880.1","1525.8","1670.5","2124.6","2695.2","2509.7","2509.7"
"equity_and_other_investments","","","","","","","","","75.40000000000001","56.7","74.7","140.6","94.5","41.3","19","21.5","20.7","25.1","32.6","29.5","32.5","43.8","54","38.7","38.7"
"ppe_gross","1560","1609.4","1663.7","1739.5","1819.2","1940.9","2061.2","2170.6","2073","1946.1","1880.5","1776.9","1712.8","1272.8","1304.4","1366.6","1346.1","1601.8","1486.4","1743.4","1876.4","2129.3","2437","2603.5","2603.5"
"accumulated_depreciation","-756.8","-803.8","-871","-912.4","-942.8","-987.6","-1046.3","-1117.8","-1155.4","-1221.8","-1250.3","-1211","-1131.4","-852.9","-844.1","-861.4","-777.1","-895.8","-791.9","-863.8","-929.8","-989.6","-1051.4","-1135.5","-1135.5"
"ppe_net","803.2","805.6","792.7","827.1","876.4","953.3","1014.9","1052.8","917.6","724.3","630.2","565.9","581.4","419.9","460.3","505.2","569","706","694.5","879.6","946.6","1139.7","1385.6","1468","1468"
"intangible_assets","507.9","128.9","117.5","699.7","952.8","331.9","322.6","245.6","86.59999999999999","75.59999999999999","56.7","43.5","38.1","35.4","45.5","55.1","160.1","149.1","585.8","583.5","552.3","1052.1","997.4","978","978"
"goodwill","","474.4","452.8","","","617.3","663.6","678.9","290.9","292.5","290.9","290.3","291.7","291.7","296.9","298.7","413.8","425.3","377.3","415","417.7","888.4","967.6","1030.7","1030.7"
"other_lt_assets","253.6","347.7","291.5","360.5","418.5","484","370.8","274","116.5","101.6","89.7","97.59999999999999","58.4","618.9","341","467.6","432.6","206","721.2","131","151","176.4","221.5","205.4","205.4"
"total_assets","3201.7","3157.5","3314.7","3602.5","4346.4","4621.5","4450.3","4365.6","3223.9","2709.4","2678","2494.2","2424.2","2915.8","3130.5","3152.5","3284.7","3358.2","4291.5","3564.4","3770.6","5425","6321.3","6230.5","6230.5"
"accounts_payable","238.6","214.5","291.2","321.3","387.9","431.7","448.6","437.3","301.3","261.2","288.2","276.6","334.4","297.6","317.4","339.1","378.2","420.5","458.2","393.5","457.6","693.5","662.6","558","558"
"tax_payable","","","","","","","","","","","12.6","10.9","10.5","9.800000000000001","7.9","7.2","6.8","6.7","3.9","4.5","16.2","33.1","16.3","10.2","10.2"
"current_accrued_liabilities","641.8","648.2","685.5","756.7","855.2","803.8","748.9","783.6","696.7","633.9","445.7","329.2","314.1","286.3","291.7","278.3","272.5","335.9","301.7","303","292.3","332.4","421.1","444.2","444.2"
"st_debt","172.7","40","28.9","23.8","10.7","1.1","0.7","0.8","3.2","11.5","2.2","2.4","8.199999999999999","6.4","5.5","6","5.6","5.6","41.3","41.3","43.1","37.4","89","454.7","454.7"
"current_deferred_revenue","","","","","","","","74.5","","","58.9","39.7","46.8","45.4","57.7","57.2","62.3","66","27.6","38.7","48.2","61.4","70.3","73.7","73.7"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","","","","","","68.59999999999999","95","","","1.1368683772162E-13","144","249.3","223.2","237.6","219.9","220.3","239.5","200.4","423.9","145","202.6","258.6","202.8","183","183"
"total_current_liabilities","1053.1","902.7","1005.6","1101.8","1253.8","1305.2","1293.2","1296.2","1001.2","906.6","951.6","908.1","937.2","883.1","900.1","908.1","964.9","1035.1","1256.6","944.4","1079.2","1442.2","1489.9","1752.1","1752.1"
"lt_debt","601.8","600.2","589.5","583.8","728.4","723.7","725.7","727.4","728.5","839.4","828.4","690.4","563.6","453.4","446.3","442.5","433.8","431.8","1179.5","1068","908.3","1779","2420","1975.7","1975.7"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","70.09999999999999","69.8","75.5","97.8","133.9","133.9"
"pension_liabilities","","","","","","","","","528.3","535.7","548.9","592.6","552.6","339.4","398.2","347.5","276.3","220.8","71.59999999999999","73.59999999999999","74.7","66.5","49.5","52.5","52.5"
"noncurrent_deferred_revenue","215.4","185.2","144.1","167.6","180.3","147.5","86.3","12.3","25","10.1","71.59999999999999","82","92.7","","3.2","12.3","","","","","","3.1","60.7","12.4","12.4"
"other_lt_liabilities","264.3","358.5","473.7","426.3","471.6","466.3","473.3","436.8","211","207.3","207.1","190.2","200.4","201.5","211.2","160.8","169.6","187.6","201.2","107.4","128.6","144.5","161.1","216.5","216.5"
"total_liabilities","2134.6","2046.6","2212.9","2279.5","2634.1","2642.7","2578.5","2472.7","2494","2499.1","2607.6","2463.3","2346.5","1877.4","1959","1871.2","1844.6","1875.3","2708.9","2263.5","2260.6","3510.8","4279","4143.1","4143.1"
"common_stock","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","1041.4","1079.4","1112.7","1202","1413.7","1741.8","1820.7","1888.4","1095.9","505.3","390.3","457.7","503.2","1263.3","1467.3","1660.4","1881","1966.8","2135.7","1931.3","2225.7","2720.1","3288.5","3596.9","3596.9"
"aoci","-69.3","-71.8","-168","-82.3","-60.6","-72.2","-89","-52.7","-432.3","-374.8","-415.5","-540.8","-555.1","-401.5","-480.5","-474.1","-434.6","-359.8","-363.1","-53.4","-42.7","-31.5","-29.5","-25.7","-25.7"
"apic","314.5","316.2","308.9","310","358.8","368.3","378.7","409","412.3","415.1","424.6","434.6","440.8","393","395","408","382","374.4","371.1","369.2","383.8","394.5","391.3","392","392"
"treasury_stock","-296.4","-289.8","-228.7","-183.6","-76.5","-136","-315.5","-428.7","-422.9","-412.2","-405.9","-397.5","-388.1","-293.3","-287.2","-389.9","-465.2","-575.4","-638","-1023.1","-1133.7","-1245.8","-1684.9","-1952.7","-1952.7"
"other_equity","-0.10000000000036","-0.10000000000014","-0.09999999999990901","-0.10000000000014","-0.10000000000014","-0.10000000000014","-0.10000000000014","-0.099999999999682","-0.10000000000014","-0.09999999999990901","-0.10000000000005","-0.10000000000012","-0.10000000000001","-0.09999999999990901","-0.09999999999990901","-0.10000000000014","-0.10000000000014","-0.09999999999990901","-0.09999999999990901","-0.09999999999990901","-0.10000000000014","-0.09999999999990901","-0.10000000000014","-0.09999999999990901","-0.09999999999990901"
"minority_interest_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_equity","1067.1","1110.9","1101.8","1323","1712.3","1978.8","1871.8","1892.9","729.9","210.3","70.40000000000001","30.9","77.7","1038.4","1171.5","1281.3","1440.1","1482.9","1582.6","1300.9","1510","1914.2","2042.3","2087.4","2087.4"
"total_liabilities_and_equity","3201.7","3157.5","3314.7","3602.5","4346.4","4621.5","4450.3","4365.6","3223.9","2709.4","2678","2494.2","2424.2","2915.8","3130.5","3152.5","3284.7","3358.2","4291.5","3564.4","3770.6","5425","6321.3","6230.5","6230.5"
"cfo_net_income","-95.8","81.8","78.40000000000001","135.2","263.8","371.1","263.2","111.6","-788.1","-586.2","-64","90.59999999999999","124.6","756.8","194.9","230.9","274.4","101.3","253.4","30.4","374.7","595.4","681.3","432.6","388.6"
"cfo_da","148.8","160.4","148.4","150.6","153.6","156.3","167.3","180.1","177.2","157.3","123.9","99.40000000000001","72.90000000000001","71.40000000000001","81.2","77.09999999999999","103.9","87.09999999999999","124","138.7","153.4","178.1","231.2","272.9","277.6"
