"Company: ","Builders FirstSource Inc (BLDR:US)","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","136.51","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Building Products","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","17358","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","20362","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","1513.545","1500.006","1675.093","2058.047","2337.757","2239.454","1592.462","992.014","677.886","700.343","779.093","1070.676","1489.892","1604.096","3564.425","6367.284","7034.209","7724.771","7280.431","8558.874","19893.856","22726.418","17097.33","17105.368"
"cogs","1158.245","1155.375","1300.41","1574.535","1745.23","1652.899","1202.156","776.473","535.48","568.587","621.148","856.11","1169.972","1247.099","2662.967","4770.536","5306.818","5801.831","5303.602","6336.29","14042.9","14982.039","11084.996","11164.58"
"gross_profit","355.3","344.631","374.683","483.512","592.527","586.5549999999999","390.306","215.541","142.406","131.756","157.945","214.566","319.92","356.997","901.458","1596.748","1727.391","1922.94","1976.829","2222.584","5850.956","7744.379","6012.334","5940.788"
"sga","324.43","","327.027","376.096","467.355","439.944","375.621","280.01","202.603","194.092","192.959","222.263","271.878","307.387","810.703","1360.412","1442.288","1553.972","1584.523","1678.73","3463.532","3974.173","3836.015","3858.055"
"rnd","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","1.171","","","6.763","27.56","","","","","","","","","","","","","","","","",""
"total_opex","324.43","","328.198","376.096","467.355","446.707","403.181","280.01","202.603","194.092","192.959","222.263","271.878","307.387","810.703","1360.412","1442.288","1553.972","1584.523","1678.73","3463.532","3974.173","3836.015","3858.055"
"operating_income","30.87","344.631","46.485","107.416","125.172","139.848","-12.875","-64.46899999999999","-60.197","-62.336","-35.014","-7.697","48.042","49.61","90.755","236.336","285.103","368.968","392.306","543.854","2387.424","3770.206","2176.319","2082.733"
"net_interest_income_normal","","","","","","","","-25.644","-27.045","-31.672","-24.939","-45.139","-89.63800000000001","-30.349","-109.199","-214.667","-193.174","-108.213","-109.551","-135.688","-135.877","-198.373","-192.115","-198.343"
"other_nonoperating_income","-24.648","-323.085","-11.744","-24.458","-47.227","-28.718","-27.727","-48.14","-0.47","-1.397","-2.461","-1.006","","","","","","","","","","","",""
"pretax_income","6.222","21.546","34.741","82.958","77.94499999999999","111.13","-40.602","-138.253","-87.712","-95.405","-62.414","-53.842","-41.596","19.261","-18.444","21.669","91.929","260.755","282.755","408.166","2251.547","3571.833","1984.204","1884.39"
"income_tax","","-8.611000000000001","-13.343","-31.48","-29.317","-42.237","16.85","17.67","30.823","1.112","-2.217","-0.577","-0.769","-1.111","-4.387","122.672","-53.148","-55.564","-60.946","-94.629","-526.131","-822.4640000000001","-443.649","-418.84"
"net_income_continuing","6.222","12.935","21.398","51.478","48.628","68.893","-23.752","-120.583","-56.889","-94.29300000000001","-64.631","-54.419","-42.365","18.15","-22.831","144.341","38.781","205.191","221.809","313.537","1725.416","2749.369","1540.555","1465.55"
"net_income_discontinued","-2.12","-2.98","-3.822","0.103","","","","-18.911","-4.965","-1.215","-0.364","-2.437","-0.326","-0.408","0.138","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","-2.56","-19.504","","7.105427357601E-15","7.105427357601E-15","","-3.5527136788005E-15","-2.8421709430404E-14","","1.4210854715202E-14","","-7.105427357601E-15","-7.105427357601E-15","0.408","-0.138","","","","","","-2.2737367544323E-13","","2.2737367544323E-13","5.6843418860808E-14"
"net_income","1.542","-9.548999999999999","17.576","51.581","48.628","68.893","-23.752","-139.494","-61.854","-95.508","-64.995","-56.856","-42.691","18.15","-22.831","144.341","38.781","205.191","221.809","313.537","1725.416","2749.369","1540.555","1465.55"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","1.542","-9.548999999999999","17.576","51.581","48.628","68.893","-23.752","-139.494","-61.854","-95.508","-64.995","-56.856","-42.691","18.15","-22.831","144.341","38.781","205.191","221.809","313.537","1725.416","2749.369","1540.555","1465.55"
