"Company: ","CF Industries Holdings Inc (CF:US)","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","75.44","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Chemicals","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","13818","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","15014","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","1159.6","1014.1","1390.1","1650.652","1967.9","2032.9","2756.7","3921.1","2608.4","3965","6097.9","6104","5474.7","4743","4308","3685","4130","4429","4590","4124","6538","11186","6631","6089"
"cogs","1244.7","986.3","1355.7","1434.545","1758.7","1885.7","2086.7","2698.4","1769","2785.5","3202.3","2990.7","2954.5","2965","2761","2842","3696","3512","3416","3323","4151","5325","4086","3998"
"gross_profit","-85.09999999999999","27.8","34.4","216.107","209.2","147.2","670","1222.7","839.4","1179.5","2895.6","3113.3","2520.2","1778","1547","843","434","917","1174","801","2387","5861","2545","2091"
"sga","36.1","37.3","38.4","66.873","71.09999999999999","75.90000000000001","68.40000000000001","68","62.9","106.1","130","151.8","166","152","170","173","191","214","239","206","223","290","289","303"
"rnd","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","13.1","9.300000000000001","1.6","","","","","4.5","96.7","","","21.9","10.8","30","57","82","9","-19","1","-3","-20","","4","56"
"total_opex","49.2","46.6","40","66.873","71.09999999999999","75.90000000000001","68.40000000000001","72.5","159.6","106.1","130","173.7","176.8","182","227","255","200","195","240","203","203","290","293","359"
"operating_income","-134.3","-18.8","-5.6","149.234","138.1","71.3","601.6","1150.2","679.8","1073.4","2765.6","2939.6","2343.4","1596","1320","588","234","722","934","598","2184","5571","2252","1732"
"net_interest_income_normal","","","","","","","","24.5","3","-219.8","-145.5","-131","-147.5","-177","-131","-195","-303","-228","-217","-161","-183","-279","8","11"
"other_nonoperating_income","-14.1","-27.6","-27","-40.212","-45.6","-18.3","-30.3","0.7","12.8","-165.9","25.5","20.9","13.8","768","-131","-619","-56","53","55","26","-458","-197","-12","-14"
"pretax_income","-148.4","-46.4","-32.6","109.022","92.5","53","571.3","1175.4","695.6","687.7","2645.6","2829.5","2209.7","2187","1058","-226","-125","547","772","463","1543","5095","2248","1729"
"income_tax","-59.3","-16.6","-12.6","-41.4","-128.7","-19.7","-199.5","-378.1","-246","-273.7","-926.5","-964.2","-686.5","-773","-396","68","575","-119","-126","-31","-283","-1158","-410","-303"
"net_income_continuing","-207.7","-63","-45.2","67.622","-36.2","33.3","371.8","797.3","449.6","414","1719.1","1865.3","1523.2","1414","662","-158","450","428","646","432","1260","3937","1838","1426"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","",""
