"Company: ","CH Robinson Worldwide Inc (CHRW:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","89.5","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Air Freight & Logistics","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","10361","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","11660","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","2882.175","3090.072","3294.473","3613.645","4341.538","5688.948","6556.194","7316.223","8578.614","7577.189","9274.305","10336.346","11359.113","12752.076","13470.067","13476.084","13144.413","14869.38","16631.172","15309.508","16207.106","23102.138","24696.625","17596.443","17397.084"
"cogs","2462.832","2633.5","2810.695","3068.797","3680.547","4809.198","5473.65","6072.445","7203.651","6195.23","8438.391","9399.921","10407.548","11742.642","12401.436","12259.014","11931.821","13680.857","15269.479","14021.726","15037.716","21493.659","22826.428","16457.57","16282.103"
"gross_profit","419.343","456.572","483.778","544.848","660.991","879.75","1082.544","1243.778","1374.963","1381.959","835.914","936.425","951.5650000000001","1009.434","1068.631","1217.07","1212.592","1188.523","1361.693","1287.782","1169.39","1608.479","1870.197","1138.873","1114.981"
"sga","302.335","322.298","334.846","368.802","438.223","553.389","664.699","734.0940000000001","803.377","797.148","213.054","243.695","276.245","326.784","320.213","358.76","375.061","413.404","449.61","497.806","496.122","526.371","603.415","624.266","634.274"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","302.335","322.298","334.846","368.802","438.223","553.389","664.699","734.0940000000001","803.377","797.148","213.054","243.695","276.245","326.784","320.213","358.76","375.061","413.404","449.61","497.806","496.122","526.371","603.415","624.266","634.274"
"operating_income","117.008","134.274","148.932","176.046","222.768","326.361","417.845","509.684","571.586","584.811","622.86","692.73","675.3200000000001","682.65","748.418","858.3099999999999","837.5309999999999","775.119","912.083","789.976","673.268","1082.108","1266.782","514.607","480.707"
"net_interest_income_normal","","","","","","","","","","","","","283.142","-9.289","-24.987","-35.529","-25.581","-46.656","-31.81","-47.719","-44.937","-59.817","-100.017","-105.421","-93.93600000000001"
"other_nonoperating_income","0.75","4.099","1.334","2.588","3.27","6.392","11.843","13.83","6.801","2.25","1.242","1.974","","","","","","","","","","","","",""
"pretax_income","117.758","138.373","150.266","178.634","226.038","332.753","429.688","523.514","578.3869999999999","587.061","624.102","694.704","958.462","673.361","723.431","822.7809999999999","811.95","728.463","880.273","742.2569999999999","628.331","1022.291","1166.765","409.186","386.771"
"income_tax","-46.516","-54.381","-60.468","-71.265","-88.78400000000001","-129.395","-162.763","-199.253","-219.21","-226.231","-237.076","-263.092","-364.658","-257.457","-273.72","-313.082","-298.566","-223.57","-215.768","-165.289","-121.91","-178.046","-226.241","-84.057","-83.629"
"net_income_continuing","71.242","83.992","89.798","107.369","137.254","203.358","266.925","324.261","359.177","360.83","387.026","431.612","593.804","415.904","449.711","509.699","513.384","504.893","664.505","576.968","506.421","844.245","940.524","325.129","303.142"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","1.4210854715202E-14","1.4210854715202E-14","1.4210854715202E-14","1.4210854715202E-14","-2.8421709430404E-14","2.8421709430404E-14","5.6843418860808E-14","","1.1368683772162E-13","-5.6843418860808E-14","5.6843418860808E-14","5.6843418860808E-14","","","","5.6843418860808E-14","","","","","-5.6843418860808E-14","-1.1368683772162E-13","-1.1368683772162E-13","5.6843418860808E-14",""
"net_income","71.242","83.992","89.798","107.369","137.254","203.358","266.925","324.261","359.177","360.83","387.026","431.612","593.804","415.904","449.711","509.699","513.384","504.893","664.505","576.968","506.421","844.245","940.524","325.129","303.142"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","71.242","83.992","89.798","107.369","137.254","203.358","266.925","324.261","359.177","360.83","387.026","431.612","593.804","415.904","449.711","509.699","513.384","504.893","664.505","576.968","506.421","844.245","940.524","325.129","303.142"
"eps_basic","0.41","0.48","0.53","0.64","0.8100000000000001","1.2","1.56","1.9","2.12","2.15","2.35","2.63","3.68","2.65","3.06","3.52","3.6","3.59","4.78","4.21","3.74","6.37","7.48","2.74","2.55"
"eps_diluted","0.41","0.47","0.52","0.62","0.79","1.16","1.53","1.86","2.08","2.13","2.33","2.62","3.67","2.65","3.05","3.51","3.59","3.57","4.73","4.19","3.72","6.31","7.4","2.72","2.53"
"shares_basic","169.058","168.748","168.736","168.774","169.228","170.052","170.888","170.493","169.056","167.695","164.909","164.114","161.557","156.915","147.202","144.967","142.706","140.61","139.01","136.955","135.532","132.482","125.743","118.551","118.551"
"shares_diluted","171.434","171.548","171.514","172.138","173.144","174.698","174.787","174.04","172.733","169.194","165.972","164.741","161.946","157.08","147.542","145.349","142.991","141.382","140.405","137.735","136.173","133.834","127.15","119.677","119.677"
"cash_and_equiv","79.91200000000001","115.741","132.999","123.413","166.476","230.628","348.592","338.885","494.743","337.308","398.607","373.669","210.019","162.047","128.94","168.229","247.666","333.89","378.615","447.858","243.796","257.413","217.482","145.524","145.524"
"st_investments","","","45.227","120.836","121.6","122.551","124.767","115.842","2.644","48.31","9.289999999999999","","","","","","","","","","","","","",""
"receivables","354.953","370.378","391.67","457.455","544.274","716.725","764.995","911.78","828.884","885.543","1036.07","1189.637","1412.136","1449.581","1571.591","1505.62","1711.191","2113.93","2322.073","2107.255","2646.753","4417.147","3249.35","2571.863","2571.863"
"inventories","","2.66","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_assets","25.374","14.436","18.676","15.625","13.637","14.877","17.794","22.649","21.6","36.108","37.801","48.237","50.135","52.857","404.928","56.849","49.245","63.116","52.386","85.005","51.152","129.593","122.406","163.307","163.307"
"total_current_assets","460.239","503.215","588.572","717.329","845.987","1084.781","1256.148","1389.156","1347.871","1307.269","1481.768","1611.543","1672.29","1664.485","2105.459","1730.698","2008.102","2510.936","2753.074","2640.118","2941.701","4804.153","3589.238","2880.694","2880.694"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","58.827","66.387","70.749","70.34399999999999","102.417","113.815","145.262","179.688","191.607","220.519","233.23","220.073","265.007","300.795","313.688","379.139","450.045","497.909","498.847","800.836","798.7670000000001","734.671","821.9690000000001","791.348","791.348"
"accumulated_depreciation","-29.425","-35.467","-44.273","-44.719","-51.295","-53.094","-63.191","-78.023","-87.51900000000001","-102.82","-118.897","-93.24299999999999","-115.156","-140.092","-161.217","-188.265","-217.092","-267.583","-270.546","-281.553","-300.033","-302.281","-290.396","-292.74","-292.74"
"ppe_net","29.402","30.92","26.476","25.625","51.122","60.721","82.071","101.665","104.088","117.699","114.333","126.83","149.851","160.703","152.471","190.874","232.953","230.326","228.301","519.283","498.734","432.39","531.573","498.608","498.608"
"intangible_assets","154.566","148.146","157.297","158.871","183.587","18.517","15.953","14.469","14.904","18.367","13.491","34.886","152.215","132.459","112.26","141.674","194.824","178.357","143.499","142.693","173.521","159.722","152.829","146.191","146.191"
"goodwill","","","","","","223.14","261.77","278.74","324.7","361.67","359.12","359.69","822.22","829.0700000000001","825.04","1108.34","1232.8","1275.82","1258.92","1291.76","1487.19","1484.75","1470.81","1473.6","1473.6"
"other_lt_assets","","1.2090000000001","4.805999999999901","6.324000000000099","","7.9089999999999","15.751","27.277","24.158","29.243","26.987","5.0920000000006","7.648999999999901","16.101","19.108000000001","12.772","19.079","40.395","43.618","47.206","43.111999999999","147.097","210.114","226.187","226.187"
"total_assets","644.207","683.49","777.151","908.149","1080.696","1395.068","1631.693","1811.307","1815.721","1834.248","1995.699","2138.041","2804.225","2802.818","3214.338","3184.358","3687.758","4235.834","4427.412","4641.06","5144.258","7028.112","5954.564","5225.28","5225.28"
"accounts_payable","285.932","267.708","275.157","261.206","303.082","473.882","468.499","530.752","568.758","529.256","567.961","642.672","639.46","685.89","716.654","697.585","839.736","1000.305","971.023","984.604","1195.099","1813.473","1466.998","1303.951","1303.951"
"tax_payable","","","","","","","","37.498","35.464","34.438","47.055","4.456","121.581","11.681","4.616","12.573","15.472","12.24","28.36","12.354","43.7","100.265","15.21","4.748","4.748"
"current_accrued_liabilities","60.319","55.82","68.31699999999999","69.274","93.89","138.601","146.82","101.926","93.431","90.855","96.991","49.901","46.171","43.046","45.365","55.475","70.351","58.229","183.23","163.9","308.034","514.044","367.101","307.356","307.356"
"st_debt","","","","","","","","","","","","","253.646","375","605","450","740","715","5","142.885","","525","1053.655","160","160"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","-5.6843418860808E-14","","","50.721","55.847","","71.63","87.443","","77.258","59.6","179.603","171.359","154.364","204.225","232.964","180.159","201.675","245.71","191.015","226.725","307.249","346.166","201.487","201.487"
"total_current_liabilities","346.251","323.528","343.474","381.201","452.819","612.4829999999999","686.949","757.619","697.653","731.807","771.607","876.6319999999999","1232.217","1269.981","1575.86","1448.597","1845.718","1987.449","1433.323","1556.038","1839.732","3326.342","3322.852","2051.993","2051.993"
"lt_debt","","","","","","","","","","","","","","500","500","500","500","750","1341.352","1092.448","1093.301","1393.649","920.049","1420.487","1420.487"
