"Company: ","CNA Financial Corporation (CNA:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","44.69","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","12213","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","14774","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"premiums_earned","11388","9288","10213","9214","8209","7569","7603","7484","7151","6721","6515","6603","6881","7271","7212","6921","6924","6988","7312","7428","7649","8175","8667","9480","9673"
"net_investment_income","2080","1897","1730","1647","1680","1892","2412","2433","1619","2320","2316","1838","1960","2206","1990","1684","1907","2020","1817","2118","1814","1803","1881","2089","2149"
"fees_and_other_income","1940","1912","350","854","35","401","361","-32","-971","-569","378","508","523","455","490","496","535","534","1005","1221","1224","1568","1343","1556","1566"
"revenue","15408","13097","12293","11715","9924","9862","10376","9885","7799","8472","9209","8949","9364","9932","9692","9101","9366","9542","10134","10767","10687","11546","11891","13125","13388"
"sga","","","","","","","","994","1037","1097","1568","996","","","","","","","","","","","","",""
"net_policyholder_claims_expense","9831","11383","8392","9916","6445","6999","6047","6009","5723","5290","4985","5489","5729","5806","5591","5384","5283","5310","5572","5806","6170","6371","6653","7068","7222"
"policy_acquisition_expense","1880","1804","1791","1965","1680","1543","1534","1520","","","","1176","1274","1362","1317","1540","1235","1233","1335","1383","1410","1443","1490","1644","1709"
"interest_expense_insurance","206","157","150","130","124","124","131","140","134","128","157","175","170","166","183","155","159","161","138","131","122","113","112","127","134"
"operating_income","","","341","","504","162","1650","1222","-562","540","1112","871","859","1276","1207","549","1137","1310","964","1223","821","1462","814","1518","1574"
"pretax_income","","","341","","504","162","1650","1222","-562","540","1112","871","859","1276","1207","549","1137","1310","964","1223","821","1462","814","1518","1574"
"income_tax","-550","744","-68","913","-31","105","-469","-317","311","-57","-333","-242","-239","-361","-319","-70","-278","-411","-151","-223","-131","-278","-132","-313","-328"
"net_income_continuing","-550","744","273","913","473","267","1181","905","-251","483","779","629","620","915","888","479","859","899","813","1000","690","1184","682","1205","1246"
"net_income_discontinued","5","6","-43","2","-21","21","-29","-6","9","-2","-21","-1","8","22","-197","","","","","","","","","",""
"income_allocated_to_minority_interest","28","21","-26","-6","-27","-24","-44","-48","-57","-62","-68","-16","","","","","","","","","","","","",""
