"Company: ","CNH Industrial N.V. (CNHI:US)","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","",""
"Last Close Price: ","11.45","","","","","","","","","","","","",""
"Industry: ","Machinery","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","",""
"Market Cap.: ","14398","","","","","","","","","","","","",""
"Enterprise Value: ","38942","","","","","","","","","","","","",""
"period_end_date","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","33480","32801","33836","32555","25912","25095","27701","29706","28079","14779","19496","23551","24687","24163"
"cogs","26270","25569","26551","25534","20357","19420","21572","22958","21832","11152","14109","16797","16838","16422"
"gross_profit","7210","7232","7285","7021","5555","5675","6129","6748","6247","3627","5387","6754","7849","7741"
"sga","3214","3036","3094","2925","2317","2246","2315","2351","2216","1296","1454","1752","1863","1836"
"rnd","1026","1129","1222","1106","856","860","957","1061","1030","493","642","866","1041","1038"
"special_charges","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","",""
"total_opex","4240","4165","4316","4031","3173","3106","3272","3412","3246","1789","2096","2618","2904","2874"
"operating_income","2970","3067","2969","2990","2382","2569","2857","3336","3001","1838","3291","4136","4945","4867"
"net_interest_income_normal","-1324","-1209","-1196","-1318","-1106","-1026","-940","-812","-798","-660","-549","-734","-1345","-1467"
"other_nonoperating_income","-466","-511","-399","-583","-709","-1565","-1258","-1058","-1033","-1357","-803","-720","-897","-921"
"pretax_income","1180","1347","1374","1089","567","-22","659","1466","1170","-179","1939","2682","2703","2479"
"income_tax","-652","-564","-671","-467","-360","-297","-457","-417","271","-85","-229","-747","-594","-498"
"net_income_continuing","528","783","703","622","207","-319","202","1049","1441","-264","1710","1935","2109","1981"
"net_income_discontinued","","","","","","","","","","-240","-41","","",""
"income_allocated_to_minority_interest","-94","-120","-151","2","5","-3","-18","-31","-32","-55","-37","-10","-12","-9"
"other_income_statement_items","111","93","125","86","41","58","88","50","13","66","91","104","274","318"
"net_income","545","756","677","710","253","-264","272","1068","1422","-493","1723","2029","2371","2290"
"preferred_dividends","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","545","756","677","710","253","-264","272","1068","1422","-493","1723","2029","2371","2290"
"eps_basic","0.45","0.62","0.54","0.52","0.19","-0.19","0.2","0.79","1.05","-0.36","1.27","1.5","1.78","1.75"
"eps_diluted","0.45","0.62","0.54","0.52","0.19","-0.19","0.2","0.78","1.05","-0.36","1.27","1.49","1.76","1.71"
"shares_basic","1223","1223","1255","1354","1361","1362","1364","1357","1352","1351","1354","1351","1332","1332"
"shares_diluted","1223","1223","1257","1360","1363","1362","1367","1361","1354","1351","1361","1362","1350","1350"
"cash_and_equiv","","5199","5567","5163","5384","5017","5430","5031","4875","8785","5044","4376","4322","4322"
"st_investments","","","","","","","","","","","","","",""
"receivables","","21933","23338","22526","19581","19285","20291","19566","19844","18963","15568","19730","24762","24762"
"inventories","","6260","7410","7008","5690","5609","6452","6726","7082","6022","4216","4811","5545","5545"
"other_current_assets","","885","922","978","927","837","770","772","898","844","14347","753","723","723"
"total_current_assets","","34277","37237","35675","31582","30748","32943","32095","32699","34614","39175","29670","35352","35352"
"equity_and_other_investments","","594","645","605","527","487","561","526","631","921","333","385","563","563"
"ppe_gross","","15832","17591","17308","16805","17221","18913","17965","17718","18737","7721","7552","8020","8020"
"accumulated_depreciation","","-8857","-9442","-8925","-8489","-8917","-10237","-10290","-10592","-11836","-4508","-4518","-4690","-4690"
"ppe_net","","6975","8149","8383","8316","8304","8676","7675","7126","6901","3213","3034","3330","3330"
"intangible_assets","","780","810","850","810","787","792","788","806","772","1207","1129","1292","1292"
"goodwill","","2510","2504","2484","2447","2449","2472","2453","2538","1924","3210","3322","3614","3614"
"other_lt_assets","","3829","4498","3916","2995","2772","2854","2563","3552","3587","2278","1841","2200","2200"
"total_assets","","48965","53843","51913","46677","45547","48298","46100","47352","48719","49416","39381","46351","46351"
"accounts_payable","","6389","7369","5982","5342","5185","6060","5889","5632","6357","3530","3702","3611","3611"
"tax_payable","","792","973","680","528","714","765","685","696","654","671","506","704","704"
"current_accrued_liabilities","","696","748","731","595","634","610","609","639","672","559","700","946","946"
"st_debt","","","","","","","","","","","","","11477","11477"
"current_deferred_revenue","","","","","","","1498","1368","1236","1381","20","33","50","50"
"current_deferred_tax_liability","","","","","","","","","","","","","",""
"other_current_liabilities","","862","844","669","572","633","752","680","562","681","12940","691","670","670"
"total_current_liabilities","","8739","9934","8062","7037","7166","9685","9231","8765","9745","17720","5632","17458","17458"
"lt_debt","","27052","29866","29594","26301","25276","25895","24445","24854","26053","20897","22962","15849","15849"
"noncurrent_capital_leases","","","","","","","","","449","453","196","228","300","300"
"pension_liabilities","","2564","2427","2614","2282","2276","2300","1488","1578","1617","673","449","476","476"
"noncurrent_deferred_revenue","","1625","2287","2414","2481","2513","2270","1984","1644","1467","125","85","35","35"
"other_lt_liabilities","","4153","4362","4252","3715","3844","3891","3854","3906","4355","2952","3049","3999","3999"
"total_liabilities","","44133","48876","46936","41816","41075","44041","41002","41196","43690","42563","32405","38117","38117"
"common_stock","","2565","25","25","25","25","25","25","25","25","25","25","25","25"
"preferred_stock","","","","","","","","","","","","","",""
"retained_earnings","","1693","1966","2291","2241","1787","1763","2596","3808","3279","4818","7906","9750","9750"
"aoci","","-911","-1373","-1736","-1863","-1767","-1966","-1859","-2002","-2676","-2445","-2278","-2374","-2374"
"apic","","577","4283","4342","4399","4408","4412","4409","4404","4388","4464","1504","1578","1578"
"treasury_stock","","","","","","-9","-10","-128","-154","-109","-84","-230","-865","-865"
"other_equity","","","","","","","","","","","","","",""
"minority_interest_liability","","908","66","55","59","28","33","55","75","122","75","49","120","120"
"total_equity","","4832","4967","4977","4861","4472","4257","5098","6156","5029","6853","6976","8234","8234"
"total_liabilities_and_equity","","48965","53843","51913","46677","45547","48298","46100","47352","48719","49416","39381","46351","46351"
"cfo_net_income","639","876","828","708","248","-261","290","1099","1454","-198","1801","2039","2383","2299"
"cfo_da","1023","1039","1103","1140","1146","1261","1350","1337","1215","538","537","535","564","580"
"cfo_receivables","-701","-1145","-658","-810","279","-92","-659","-180","-460","1011","191","-2447","-2268","-1935"
"cfo_inventory","-1290","-103","-1205","-172","473","769","682","112","440","1224","-555","-151","-259","117"
"cfo_prepaid_expenses","","","","","","","","","","","","","",""
"cfo_other_working_capital","2034","-256","1277","-450","271","828","902","7","-1041","560","1119","496","515","-252"
"cfo_change_in_working_capital","43","-1504","-586","-1432","1023","1505","925","-61","-1061","2795","755","-2102","-2012","-2070"
"cfo_deferred_tax","","","","","","","","","","","","","",""
"cfo_stock_comp","","","","","","","","","","","","","",""
"cfo_other_noncash_items","460","431","177","265","369","263","300","179","218","2394","989","85","-28","-95"
"cf_cfo","2165","842","1522","681","2786","2768","2865","2554","1826","5529","4082","557","907","714"
"cfi_ppe_net","539","412","466","577","726","660","17","7","61","3","-921","-999","-1195","-1200"
"cfi_acquisitions_net","","","","","","","","","","","","","",""
"cfi_investment_net","","","","","","","","","","","","","",""
"cfi_intangibles_net","","","","","","","","","","","","","",""
