"Company: ","Camden Property Trust (CPT:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","109.92","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Residential REITs","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","11836","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","15296","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","344.394","344.058","330.974","315.082","334.282","576.835","576.663","497.568","488.572","596.626","568.072","599.401","698.318","788.851","790.263","835.6180000000001","876.447","900.896","954.505","1028.461","1043.837","1143.585","1422.756","1542.027","1547.005"
"cogs","","","","","","","","","","","251.601","256.833","284.857","313.221","313.111","328.797","340.328","358.418","373.611","397.396","422.981","447.875","529.198","584.343","589.3339999999999"
"gross_profit","344.394","344.058","330.974","315.082","334.282","576.835","576.663","497.568","488.572","596.626","316.471","342.568","413.461","475.63","477.152","506.821","536.119","542.478","580.894","631.0650000000001","620.856","695.71","893.558","957.684","957.671"
"sga","124.945","127.201","132.955","139.806","154.838","192.601","227.167","218.018","192.99","227.382","30.762","35.456","37.528","40.586","51.005","46.233","47.415","50.587","50.735","53.201","53.624","59.368","60.413","62.506","63.843"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","219.449","216.857","198.019","175.276","179.444","384.234","349.496","279.55","295.582","369.244","153.588","155.513","182.328","204.598","212.223","233.945","243.282","255.798","293.715","327.578","356.362","410.16","571.832","571.362","573.014"
