"Company: ","Capital One Financial Corporation (COF:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","134.86","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Consumer Finance","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","52583","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","51348","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","2453.899","2921.149","4180.766","4367.654","4794.42","5726.881","8164.735","11078.156","11112","10664","15353","14987","18964","19898","19397","20459","22891","25222","27176","28513","26033","25769","31237","41938","43361"
"total_interest_expense","801.0170000000001","1171.007","1461.654","1582.565","1791.442","2046.639","3073.289","4548.311","3963","2967","2896","2246","2375","1792","1579","1625","2018","2762","4301","5173","3120","1598","4123","12697","13818"
"net_interest_income","1652.882","1750.142","2719.112","2785.089","3002.978","3680.242","5091.446","6529.845","7149","7697","12457","12741","16589","18106","17818","18834","20873","22460","22875","23340","22913","24171","27114","29241","29543"
"total_noninterest_revenue","3065.11","4463.762","5466.836","5415.924","5868.657","6358.105","7001.024","7948.979","6690","5286","3714","3538","4213","4278","4472","4579","4628","4777","4702","5253","5610","6264","7136","7546","7743"
"revenue","4717.992","6213.904","8185.948","8201.013000000001","8871.635","10038.347","12092.47","14478.824","13839","12983","16171","16279","20802","22384","22290","23413","25501","27237","27577","28593","28523","30435","34250","36787","37286"
"credit_losses_provision","812.861","1120.457","2149.328","1517.497","1220.852","1491.072","1476.438","2636.502","5101","4230","3907","2360","4415","3453","3541","4536","6459","7551","5856","6236","10264","-1944","5847","10426","10314"
"net_interest_income_after_credit_losses_provision","840.021","629.6849999999999","569.784","1267.592","1782.126","2189.17","3615.008","3893.343","2048","3467","8550","10381","12174","14653","14277","14298","14414","14909","17019","17104","12649","26115","21267","18815","19229"
"total_noninterest_expense","3147.657","4058.027","4585.581","4856.723","5322.219","5690.073","6943.691","7790.573","7265","7298","7853","9287","11461","12095","12116","12876","13541","14010","14902","15206","15029","16570","19091","20316","20177"
"pretax_income","757.474","1035.42","1451.039","1826.793","2360.064","2829.002","3672.341","3869.556","582","1336","4330","4587","5184","6578","6569","5881","5484","5492","7318","6874","3203","15809","9240","6045","6464"
"income_tax","-287.84","-393.455","-551.395","-675.914","-816.582","-1019.855","-1245.964","-1277.837","-497","-349","-1280","-1334","-1475","-2224","-2146","-1869","-1714","-3375","-1293","-1341","-486","-3415","-1880","-1158","-1257"
"net_income_continuing","469.634","641.965","899.644","1150.879","1543.482","1809.147","2426.377","2591.719","85","987","3050","3253","3709","4354","4423","4012","3770","2117","6025","5533","2717","12394","7360","4887","5207"
"net_income_discontinued","","","","","","","-11.884","-1021.387","-131","-103","-307","-106","-217","-233","5","38","-19","-135","-10","13","-3","-4","","",""
"net_income","469.634","641.965","899.644","1135.842","1543.482","1809.147","2414.493","1570.332","-46","884","2743","3147","3492","4121","4428","4050","3751","1982","6015","5546","2714","12390","7360","4887","5207"
"preferred_dividends","","","","","","","","","33","564","","26","15","53","67","158","214","265","265","282","280","274","228","228","228"
"net_income_available_to_shareholders","469.634","641.965","899.644","1135.842","1543.482","1809.147","2414.493","1570.332","-79","320","2743","3121","3477","4068","4361","3892","3537","1717","5750","5264","2434","12116","7132","4659","4979"
"eps_basic","2.39","3.06","4.09","5.05","6.55","6.98","7.8","4.02","-0.21","0.75","6.07","6.85","6.17","6.99","7.71","7.15","6.96","3.52","11.9","11.1","5.19","27.04","17.98","11.98","12.8"
"eps_diluted","2.24","2.91","3.93","4.85","6.21","6.73","7.62","3.97","-0.21","0.74","6.01","6.8","6.11","6.89","7.59","7.07","6.89","3.49","11.82","11.05","5.18","26.94","17.91","11.95","12.77"
