"Company: ","Capri Holdings Ltd (CPRI:US)","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","",""
"Last Close Price: ","31.9","","","","","","","","","","","","","","",""
"Industry: ","Textiles, Apparel & Luxury Goods","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","",""
"Market Cap.: ","3675","","","","","","","","","","","","","","",""
"Enterprise Value: ","4737","","","","","","","","","","","","","","",""
"period_end_date","2010-03","2011-03","2012-03","2013-03","2014-03","2015-03","2016-03","2017-03","2018-03","2019-03","2020-03","2021-03","2022-03","2023-03","2024-03","TTM"
"revenue","508.099","803.3390000000001","1302.254","2181.732","3310.8","4371.5","4712.1","4494","4719","5238","5551","4060","5654","5619","5170","5170"
"cogs","241.365","357.274","549.158","875.1660000000001","1294.7","1723.8","1914.9","1833","1860","2058","2280","1463","1910","1895","1831","1831"
"gross_profit","266.734","446.065","753.096","1306.566","2016.1","2647.7","2797.2","2661","2859","3180","3271","2597","3744","3724","3339","3339"
"sga","191.717","279.822","464.568","621.5359999999999","926.9","1251.5","1428","1541","1767","2075","2464","2018","2533","2708","2784","2784"
"rnd","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","",""
"other_opex","18.843","25.543","37.554","54.291","79.7","138.4","183.2","220","208","225","249","212","193","179","188","188"
"total_opex","210.56","305.365","502.122","675.827","1006.6","1389.9","1611.2","1761","1975","2300","2713","2230","2726","2887","2972","2972"
"operating_income","56.174","140.7","250.974","630.739","1009.5","1257.8","1186","900","884","880","558","367","1018","837","367","367"
"net_interest_income_normal","-2.057","-1.861","-1.495","-1.524","-0.4","-0.2","-1.7","-4","-22","-38","-18","-43","18","-24","-6","-6"
"other_nonoperating_income","0.83","-5.62","-0.663","-2.088","-1.4","-1.8","-12","-207","-120","-221","-755","-321","-121","-165","-644","-644"
"pretax_income","54.947","133.219","248.816","627.127","1007.7","1255.8","1172.3","689","742","621","-215","3","915","648","-283","-283"
"income_tax","-15.699","-60.713","-101.452","-229.525","-346.2","-374.8","-334.6","-137","-150","-79","-10","-66","-92","-29","54","54"
"net_income_continuing","39.248","72.506","147.364","397.602","661.5","881","837.7","552","592","542","-225","-63","823","619","-229","-229"
"net_income_discontinued","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","1.4","1","","1","2","1","-1","-3","",""
"other_income_statement_items","-7.105427357601E-15","","","","","","1.1368683772162E-13","","","","","","","","",""
"net_income","39.248","72.506","147.364","397.602","661.5","881","839.1","553","592","543","-223","-62","822","616","-229","-229"
"preferred_dividends","8.460000000000001","15.629","21.227","","","","","","","","","","","","",""
"net_income_available_to_shareholders","30.788","56.877","126.137","397.602","661.5","881","839.1","553","592","543","-223","-62","822","616","-229","-229"
