"Company: ","Cardinal Health Inc (CAH:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","103.13","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Health Care Providers & Services","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","25550","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","26499","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-06","2001-06","2002-06","2003-06","2004-06","2005-06","2006-06","2007-06","2008-06","2009-06","2010-06","2011-06","2012-06","2013-06","2014-06","2015-06","2016-06","2017-06","2018-06","2019-06","2020-06","2021-06","2022-06","2023-06","TTM"
"revenue","38349.9","47947.6","51135.7","56731.5","64522.6","72666","79664.2","86852","87408.2","95991.5","98503","102644","107552","101093","91084","102531","121546","129976","136809","145534","152922","162467","181364","205012","220572"
"cogs","35253.7","44336","47089.5","52249.3","59879.5","68206.3","74850.2","81606.7","83631.10000000001","92244","94722","98482","103011","96172","85923","96819","115003","123432","129628","138700","146054","155689","174819","198123","213184"
"gross_profit","3096.2","3611.6","4046.2","4482.2","4643.1","4459.7","4814","5245.3","3777.1","3747.5","3781","4162","4541","4921","5161","5712","6543","6544","7181","6834","6868","6778","6545","6889","7388"
"sga","1709.5","1950.7","2073.8","2246.3","2268.7","2497.7","2882.8","3082.3","2340.6","2333.5","2397","2528","2677","2875","3028","3240","3648","3775","4596","4480","4572","4533","4557","4834","5029"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","106.2","173.8","6.7","-92.5","-35.9","51.2","13.3","647.7","","","19","90","33","158","223","281","459","527","707","621","524","451","324","285","276"
"total_opex","1815.7","2124.5","2080.5","2153.8","2232.8","2548.9","2896.1","3730","2340.6","2333.5","2416","2618","2710","3033","3251","3521","4107","4302","5303","5101","5096","4984","4881","5119","5305"
"operating_income","1280.5","1487.1","1965.7","2328.4","2410.3","1910.8","1917.9","1515.3","1436.5","1414","1365","1544","1831","1888","1910","2191","2436","2242","1878","1733","1772","1794","1664","1770","2083"
"net_interest_income_normal","","","","","","","","","-136.1","-114.4","-113","-93","-95","-123","-133","-141","-178","-201","-329","-294","-238","-180","-149","-93","-70"
"other_nonoperating_income","-138.7","-154.9","-264.4","-247.7","-186.4","-246.4","-177.5","-263","-5.3","-139.8","-40","67","-38","-877","21","-83","18","-117","-1777","312","-5306","-1291","-2284","-1039","-1087"
"pretax_income","1141.8","1332.2","1701.3","2080.7","2223.9","1664.4","1740.4","1252.3","1295.1","1159.8","1212","1518","1698","888","1798","1967","2276","1924","-228","1751","-3772","323","-769","638","926"
"income_tax","-424","-474.8","-575","-699.5","-706.7","-597.3","-577.1","-412.6","-447.9","-401.6","-625","-552","-628","-553","-635","-755","-845","-630","487","-386","79","289","-163","-376","-373"
