"Company: ","Carlisle Companies Incorporated (CSL:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","415.42","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Industrial Conglomerates","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","20298","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","21633","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","1771.067","1849.477","1724.816","1692.582","1996.6","2193.904","2353.5","2676.2","3110.1","2258.1","2527.7","2492.4","2851.2","2943","3204","3543.2","3425.2","3750.8","4479.5","4484.6","3969.9","3836.7","5449.4","4586.9","5009.7"
"cogs","1343.134","1527.62","1389.521","1348.695","1607.717","1741.304","1848","2111.8","2516.8","1767.8","1999","1908.3","2084.2","2197.4","2384.5","2536.5","2338.8","2702.5","3304.8","3178.5","2832.5","2741.2","3583.4","2952.7","3194.8"
"gross_profit","427.933","321.857","335.295","343.887","388.883","452.6","505.5","564.4","593.3","490.3","528.7","584.1","767","745.6","819.5","1006.7","1086.4","1048.3","1174.7","1306.1","1137.4","1095.5","1866","1634.2","1814.9"
"sga","176.484","207.103","200.745","179.295","200.593","212.353","225.1","271","316.3","274.3","310.5","298.8","356.6","353.7","379","461.9","495.4","532.9","625.4","629.8","603.2","507.8","623.5","625.2","675.6"
"rnd","16.463","17.325","15.816","14.875","14.63","15.387","10.1","12.1","16.2","16.4","23.2","21.7","26.1","29.3","33.8","42.8","45.4","51.3","55.1","52.2","45.4","16.4","19","28.7","37.5"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","59.549","-2.427","0.004","-4.424","-0.015","-0.759","","","18.7","-12.3","-1.1","-2.4","12.4","-4.2","-1.6","-1.3","-0.1","0.1","-14.8","-10","1","-2.1","18.7","-2.5","-4.5"
"total_opex","252.496","222.001","216.565","189.746","215.208","226.981","235.2","283.1","351.2","278.4","332.6","318.1","395.1","378.8","411.2","503.4","540.7","584.3","665.7","672","649.6","522.1","661.2","651.4","708.6"
"operating_income","175.437","99.85599999999999","118.73","154.141","173.675","225.619","270.3","281.3","242.1","211.9","196.1","266","371.9","366.8","408.3","503.3","545.7","464","509","634.1","487.8","573.4","1204.8","982.8","1106.3"
"net_interest_income_normal","","","","","","","","","-27.7","-9","-8.300000000000001","-21","-25.5","-33.8","-32.2","-34","-30.6","-33.5","-53.5","-58.1","-71.90000000000001","-79.09999999999999","-79.09999999999999","-55.5","-51.8"
"other_nonoperating_income","-24.572","-61.931","-17.15","-13.937","-14.378","-15.903","-11.7","45.2","-55.5","","","","","","","-1.4","-135.9","-1.5","-9.6","-0.9","-11.7","-4.4","-2","3.1","1.4"
"pretax_income","150.865","37.925","101.58","140.204","159.297","209.716","258.6","326.5","158.9","202.9","187.8","245","346.4","333","376.1","467.9","379.2","429","445.9","575.1","404.2","489.9","1123.7","930.4","1055.9"
"income_tax","-54.685","-13.084","-35.425","-45.602","-48.55","-66.27500000000001","-82.40000000000001","-112.1","-45.3","-47.6","-57.2","-73","-117.7","-97.8","-124.4","-148.3","-148.1","-88.40000000000001","-87.3","-117.3","-78.5","-104.3","-265.7","-211.5","-234.9"
"net_income_continuing","96.18000000000001","24.841","66.155","94.602","110.747","143.441","176.2","214.4","113.6","155.3","130.6","172","228.7","235.2","251.7","319.6","231.1","340.6","358.6","457.8","325.7","385.6","858","718.9","821"
"net_income_discontinued","","","6.223","-5.682","-31.135","-28.293","40.9","1.2","-57.8","-10.7","15","8.300000000000001","41.5","-25.5","-0.4","0.1","19","24.9","252.5","15","-5.6","36.1","66","48.5","37"
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","3.5527136788005E-15","-43.753","","","","-2.8421709430404E-14","","-1.4210854715202E-14","-2.8421709430404E-14","-2.8421709430404E-14","","","","","","","","1.1368683772162E-13","","5.6843418860808E-14","","","","-2.8421709430404E-14"
"net_income","96.18000000000001","24.841","28.625","88.92","79.61199999999999","115.148","217.1","215.6","55.8","144.6","145.6","180.3","270.2","209.7","251.3","319.7","250.1","365.5","611.1","472.8","320.1","421.7","924","767.4","858"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","96.18000000000001","24.841","28.625","88.92","79.61199999999999","115.148","217.1","215.6","55.8","144.6","145.6","180.3","270.2","209.7","251.3","319.7","250.1","365.5","611.1","472.8","320.1","421.7","924","767.4","858"
"eps_basic","1.59","0.41","0.47","1.45","1.29","1.73","3.54","3.5","0.91","2.36","2.36","2.91","4.3","3.29","3.89","4.89","3.86","5.75","10.09","8.279999999999999","5.85","8.01","17.8","15.35","17.45"
"eps_diluted","1.57","0.41","0.47","1.44","1.27","1.71","3.49","3.44","0.91","2.34","2.34","2.86","4.22","3.22","3.82","4.82","3.82","5.71","10.02","8.19","5.8","7.91","17.56","15.18","17.25"
"shares_basic","60.478","60.52","60.882","61.41","62.064","61.472","61.24","61.692","60.541","60.601","60.901","61.457","62.513","63.471","64.17","64.84399999999999","64.226","63.073","60.4","56.9","54.5","52.5","51.8","49.9","49.9"
"shares_diluted","61.198","60.9","61.166","61.726","62.818","62.156","62.236","62.63","60.848","61.234","61.592","62.495","63.61","64.806","65.304","65.804","64.883","63.551","60.4","57.5","55","53.2","52.5","50.4","50.4"
"cash_and_equiv","8.967000000000001","15.606","34.768","23.361","25.018","38.745","144.029","88.40000000000001","42.7","96.3","89.40000000000001","74.7","112.5","754.5","730.8","410.7","385.3","378.3","803.6","351.2","897.1","324.4","364.8","576.7","576.7"
"st_investments","","","","","","","","","30.8","","","","","","","","","","","","","","","",""
"receivables","213.656","181.57","143.782","216.173","202.136","162.959","353.108","333","331.2","287.1","391","486.4","408.4","399.6","439.2","502.5","511.6","625.7","698.3","783","638.9","886.7","615.3","615.3","615.3"
"inventories","277.455","246.173","248.801","252.015","297.18","337.809","450.005","422","468.5","338.3","430.5","539","325","298.8","339.1","356","377","448.8","457.5","510.6","432.7","605.1","518","361.7","361.7"
"other_current_assets","76.399","109.923","67.044","90.893","127.936","124.757","60.368","179.7","94.90000000000001","78.09999999999999","106","114","359.4","82.09999999999999","102.4","50.3","81.3","191.8","97.3","107.2","240.6","334.7","746.9","1854.4","1854.4"
"total_current_assets","576.477","553.272","494.395","582.442","652.27","664.27","1007.51","1023.1","968.1","799.8","1016.9","1214.1","1205.3","1535","1611.5","1319.5","1355.2","1644.6","2056.7","1752","2209.3","2150.9","2245","3408.1","3408.1"
"equity_and_other_investments","","","","","","","","","4.6","","","","","","","","","","","","","","","",""
"ppe_gross","743.2089999999999","811.206","858.061","910.535","885.224","937.968","955.12","1075.9","1014.7","1008.6","1076.3","1137.4","882","965.2","1061","1154.5","1244.9","1371.7","1465.2","1536.3","1361","1506.2","1192.8","1303.8","1303.8"
"accumulated_depreciation","-340.595","-363.546","-410.075","-456.25","-499.157","-505.972","-496.64","-612","-501.4","-547.7","-542.9","-577.1","-416.8","-468","-513.7","-568.7","-612.7","-640.6","-705.1","-752.8","-688.9","-746.3","-590.8","-648.6","-648.6"
"ppe_net","402.614","447.66","447.986","454.285","386.067","431.996","458.48","463.9","513.3","460.9","533.4","560.3","465.2","497.2","547.3","585.8","632.2","731.1","760.1","783.5","672.1","759.9","602","655.2","655.2"
"intangible_assets","251.67","336.814","305.624","270.16","276.145","7.617","19.336","32.6","146.3","162.9","297.9","479.2","614.8","579.8","611.7","887.8","872.2","1065","967.7","1140.6","960.9","2008.7","1327.5","1252.9","1252.9"
"goodwill","","","","","","323.59","309.71","365.4","435.8","462.2","667.1","845.2","858.8","858.7","964.5","1134.4","1081.2","1452.1","1441.8","1716.3","1641.7","2199","1177.6","1202.5","1202.5"
"other_lt_assets","74.91800000000001","60.606","80.782","128.083","186.759","138.882","112.05","103.8","7.800000000000201","28.3","14.2","39.1","313.2","22.3","23.7","23.4","25","407","22.9","103.6","382.4","128.3","1869.9","101.3","101.3"
"total_assets","1305.679","1398.352","1328.787","1434.97","1501.241","1566.355","1907.086","1988.8","2075.9","1914.1","2529.5","3137.9","3457.3","3493","3758.7","3950.9","3965.8","5299.8","5249.2","5496","5866.4","7246.8","7222","6620","6620"
"accounts_payable","108.484","137.098","148.608","144.605","167.95","127.558","142.405","132.5","128.7","132.7","195.4","260.8","205.9","187","198","212.6","243.6","332.1","312.1","327.3","284.5","432.4","273.5","245.5","245.5"
"tax_payable","","","","","","","","","","","","","","","","18.5","14.2","17.6","16.7","22.7","14","19.4","8.1","19.9","19.9"
"current_accrued_liabilities","","102.256","119.872","132.607","117.59","136.592","159.803","150.8","151.6","143.5","174.9","161.7","172.6","172","176.3","125.7","134.6","140.1","141.4","162.3","163.1","195.6","198.9","195.8","195.8"
"st_debt","173.762","17.688","53.038","34.34","59.99","57.993","151.676","58.6","127","","69","158.1","","","","149.8","","","","250.2","1.1","352","301.7","402.7","402.7"
"current_deferred_revenue","","15.065","15.631","12.997","12.783","11.863","16.046","15.7","14.7","17.3","17.1","16.3","17.6","17.4","17.9","24","23.2","27.8","25.5","27","32.5","33.9","24.4","26.4","26.4"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","117.702","","","39.69","25.709","41.803","0.91200000000003","30.6","20.5","7.6","-5.6843418860808E-14","","74.5","","","75.2","97.90000000000001","141","99.90000000000001","109.5","151","136.2","271.8","296","296"
"total_current_liabilities","399.948","272.107","337.149","364.239","384.022","375.809","470.842","388.2","442.5","301.1","456.4","596.9","470.6","376.4","392.2","605.8","513.5","658.6","595.6","899","646.2","1169.5","1078.4","1186.3","1186.3"
"lt_debt","281.864","461.379","293.124","267.746","259.554","282.426","274.658","262.8","273.3","156.1","405.1","604.3","752.1","750.9","749.7","595.6","596.4","1586.2","1587.8","1341.4","2080.2","2575.4","2281.1","1886.7","1886.7"
"noncurrent_capital_leases","","","","","","","","","","","","","0.2","0.1","0.1","","","","","61.8","53.1","64.40000000000001","40.4","34.8","34.8"
"pension_liabilities","","","","","","","","","","","","35.7","40.9","36.7","40.5","39.7","39.4","36.9","37.8","38.4","45.1","40.2","34.9","32.9","32.9"
"noncurrent_deferred_revenue","","","","","","","","","106.2","113.2","122.6","398.1","356.2","332.5","360.5","353","337.3","425.3","410.1","501.6","446.5","706.4","607.8","577.8","577.8"
"other_lt_liabilities","75.988","124.582","145.437","171.055","159.178","177.881","194.264","218.9","159.8","125.1","204.7","2.8","49.2","10.3","10.7","9.399999999999899","12.3","64.5","20.5","11","57.6","61.400000000001","155","72.5","72.5"
"total_liabilities","757.8","858.068","775.71","803.04","802.754","836.116","939.764","869.9","981.8","695.5","1188.8","1637.8","1669.2","1506.9","1553.7","1603.5","1498.9","2771.5","2651.8","2853.2","3328.7","4617.3","4197.6","3791","3791"
"common_stock","39","39","39","39","39","39","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","618.595","618.553","621.2910000000001","683.516","735.168","811.925","1020.717","1199.6","1218.3","1324.3","1429.3","1566.1","1788.3","1944.3","2134.4","2381.8","2547.4","2820.8","3351.4","3721.3","3928.7","4237.7","5027.1","5634","5634"
"aoci","-4.624","-9.866","-9.691000000000001","-11.329","7.843","-0.605","5.014","2.4","-39.5","-34.7","-38.1","-45","-35.5","-31.5","-61.8","-87.09999999999999","-122.2","-85.7","-122.1","-124.1","-97","-105.2","-157.8","-111.1","-111.1"
"apic","10.268","17.575","22.908","35.519","46.19","53.081","30.508","59.9","62.1","73.90000000000001","92.40000000000001","120.2","171.4","201.1","247.8","293.4","335.3","353.7","383.8","416.6","441.7","481.5","512.6","553.8","553.8"
"treasury_stock","-115.691","-125.309","-120.762","-115.107","-130.045","-173.493","-167.578","-221.7","-225.5","-223.6","-221.6","-219.9","-215.4","-209.5","-200.1","-327.4","-382.6","-649.6","-1102.4","-1449.7","-1814.4","-2063.2","-2436.2","-3326.4","-3326.4"
"other_equity","0.33100000000002","0.3309999999999","0.3309999999999","0.3309999999999","0.3309999999999","0.33100000000013","-0.33900000000006","-0.29999999999995","-0.29999999999995","-0.30000000000018","-0.30000000000018","-0.29999999999995","0.29999999999995","2.6999999999998","5.699999999999799","7.699999999999799","9.999999999999501","10.1","7.699999999999799","-0.30000000000018","-0.29999999999973","-0.30000000000018","-0.30000000000064","-0.29999999999973","-0.29999999999973"
"minority_interest_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_equity","547.879","540.284","553.077","631.9299999999999","698.487","730.239","967.322","1118.9","1094.1","1218.6","1340.7","1500.1","1788.1","1986.1","2205","2347.4","2466.9","2528.3","2597.4","2642.8","2537.7","2629.5","3024.4","2829","2829"
"total_liabilities_and_equity","1305.679","1398.352","1328.787","1434.97","1501.241","1566.355","1907.086","1988.8","2075.9","1914.1","2529.5","3137.9","3457.3","3493","3758.7","3950.9","3965.8","5299.8","5249.2","5496","5866.4","7246.8","7222","6620","6620"
"cfo_net_income","96.18000000000001","24.841","28.625","88.92","79.61199999999999","106.365","215.689","215.637","55.8","144.6","145.6","180.3","270.2","209.7","251.3","319.7","250.1","365.5","611.1","472.8","320.1","421.7","924","767.4","858"
"cfo_da","59.549","63.96","48.242","47.748","61.065","56.322","59.836","65.874","69","67.5","71.90000000000001","88","104.9","113.9","104","129.3","137.8","169.1","190.6","205.4","224.2","226.2","251.3","204.7","183.1"
"cfo_receivables","30.119","35.327","58.985","-69.791","0.744","21.647","-185.488","3.744","49.8","79.90000000000001","-71.7","-71.40000000000001","21","8.4","-18.1","-11.8","0.3","-53.9","-54.5","-25.7","92.2","-193.8","-44.8","15.2","-166.5"
"cfo_inventory","-36.984","58.814","-3.481","-2.189","-58.427","-30.523","-74.06100000000001","-8.553000000000001","8.300000000000001","157.3","-56.3","-75.8","26.5","35.6","-27.7","23","-12.2","-48.5","-29","-1.9","16.4","-136.8","-165.2","158","134.1"
"cfo_prepaid_expenses","","-6.22","16.238","10.807","","","","","","","-17.9","7.3","48.8","11.1","-5.5","6.7","-9.199999999999999","-20.1","-2","-3.6","-6.6","-34.6","21.6","-24.7","-42.8"
"cfo_other_working_capital","-23.806","-6.983","19.69","16.759","-8.949999999999999","11.352","33.037","2.595","-32.4","-47.8","36","48.8","9.1","-7.1","0.9","76.7","56.5","78","-130.9","6","-11.3","75.2","-51","-29.1","140.4"
"cfo_change_in_working_capital","-30.671","80.938","91.432","-44.414","-66.633","2.476","-226.512","-2.214","25.7","189.4","-109.9","-91.09999999999999","105.4","48","-50.4","94.59999999999999","35.4","-44.5","-216.4","-25.2","90.7","-290","-239.4","119.4","65.2"
"cfo_deferred_tax","","17.464","17.723","11.488","-1.282","7.909","5.083","18.796","-22.4","8.300000000000001","7.5","1.8","-13.8","-61.7","-9.9","-15.8","-25","-58.5","-0.8","-8.9","-27","-5.4","-33.3","-71.7","-73.3"
"cfo_stock_comp","","","","","","","","","12","13.9","13.3","15.7","","","3.3","2.7","-2.6","13.2","23.9","26.1","29.9","19.4","31.2","41.5","42.1"
