"Company: ","Carrier Global Corp (CARR:US)","","","","","","",""
"Exchange: ","NYSE","","","","","","",""
"Last Close Price: ","63.93","","","","","","",""
"Industry: ","Building Products","","","","","","",""
"Currency: ","USD","","","","","","",""
"Country: ","US","","","","","","",""
"Market Cap.: ","58232","","","","","","",""
"Enterprise Value: ","72566","","","","","","",""
"period_end_date","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","17814","18914","18608","17456","20613","20421","22098","23007"
"cogs","12629","13345","13189","12347","14633","14957","15715","16297"
"gross_profit","5185","5569","5419","5109","5980","5464","6383","6710"
"sga","2445","2521","2607","2760","3059","2516","3298","3562"
"rnd","364","400","401","419","503","539","617","702"
"special_charges","","","","","","","",""
"other_opex","","","","","","","",""
"total_opex","2809","2921","3008","3179","3562","3055","3915","4264"
"operating_income","2376","2648","2411","1930","2418","2409","2468","2446"
"net_interest_income_normal","-115","37","27","-288","-306","-219","-211","-330"
"other_nonoperating_income","793","1157","234","1213","288","2102","-173","-206"
"pretax_income","3054","3842","2672","2855","2400","4292","2084","1910"
"income_tax","-1787","-1073","-517","-849","-699","-708","-644","-568"
"net_income_continuing","1267","2769","2155","2006","1701","3584","1440","1342"
"net_income_discontinued","","","","","","","",""
"income_allocated_to_minority_interest","-40","-35","-39","-24","-37","-50","-91","-97"
"other_income_statement_items","","","","","","","",""
"net_income","1227","2734","2116","1982","1664","3534","1349","1245"
"preferred_dividends","","","","","","","",""
"net_income_available_to_shareholders","1227","2734","2116","1982","1664","3534","1349","1245"
"eps_basic","1.42","3.16","2.44","2.29","1.92","4.19","1.61","1.47"
"eps_diluted","1.41","3.13","2.44","2.25","1.87","4.1","1.58","1.43"
"shares_basic","866.2","866.2","866.223","866.5","867.7","843.4","837.3","837.3"
"shares_diluted","872.8","872.8","866.223","880.2","890.3","861.2","853","853"
"cash_and_equiv","","1129","952","3115","2987","3520","10015","10015"
"st_investments","","","","","","","",""
"receivables","","3239","3348","3437","2906","3370","2787","2787"
"inventories","","1363","1332","1629","1970","2640","2217","2217"
"other_current_assets","","378","327","343","3544","349","3761","3761"
"total_current_assets","","6109","5959","8524","11407","9879","18780","18780"
"equity_and_other_investments","","1770","1739","1513","1593","1148","1140","1140"
"ppe_gross","","3544","4590","4872","4616","5165","5028","5028"
"accumulated_depreciation","","-1891","-2095","-2274","-2150","-2282","-2244","-2244"
"ppe_net","","1653","2495","2598","2466","2883","2784","2784"
"intangible_assets","","1214","1083","1037","509","1342","1028","1028"
"goodwill","","9849","9884","10139","9349","9977","7989","7989"
"other_lt_assets","","1142","1246","1282","848","857","1101","1101"
"total_assets","","21737","22406","25093","26172","26086","32822","32822"
"accounts_payable","","1944","1701","1936","2334","2833","2742","2742"
"tax_payable","","325","318","","","","",""
"current_accrued_liabilities","","1725","1607","2471","2561","2610","2811","2811"
"st_debt","","","237","191","183","140","51","51"
"current_deferred_revenue","","472","443","512","415","449","425","425"
"current_deferred_tax_liability","","","","","","","",""
"other_current_liabilities","","","","","1134","","862","862"
"total_current_liabilities","","4466","4469","5110","6627","6032","6891","6891"
"lt_debt","","","82","10036","9513","8702","14242","14242"
"noncurrent_capital_leases","","","682","642","527","529","391","391"
"pension_liabilities","","419","456","524","380","349","155","155"
"noncurrent_deferred_revenue","","1280","1099","479","354","568","535","535"
"other_lt_liabilities","","1303","1183","1724","1677","1830","1603","1603"
"total_liabilities","","7468","7971","18515","19078","18010","23817","23817"
"common_stock","","15132","15355","9","9","9","9","9"
"preferred_stock","","","","","","","",""
"retained_earnings","","","","1643","2865","5866","6591","6591"
"aoci","","-1215","-1253","-745","-989","-1688","-1486","-1486"
"apic","","","","5345","5411","5481","5535","5535"
"treasury_stock","","","","","-529","-1910","-1972","-1972"
