"Company: ","Catalent Inc (CTLT:US)","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","",""
"Last Close Price: ","56.14","","","","","","","","","","","","",""
"Industry: ","Pharmaceuticals","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","",""
"Market Cap.: ","10219","","","","","","","","","","","","",""
"Enterprise Value: ","14990","","","","","","","","","","","","",""
"period_end_date","2011-06","2012-06","2013-06","2014-06","2015-06","2016-06","2017-06","2018-06","2019-06","2020-06","2021-06","2022-06","2023-06","TTM"
"revenue","1531.8","1694.8","1800.3","1827.7","1830.8","1848.1","2075.4","2463.4","2518","3094","3998","4802","4263","4135"
"cogs","1029.7","1136.2","1231.7","1229.1","1215.5","1260.5","1420.8","1710.8","1713","2111","2646","3188","3223","3351"
"gross_profit","502.1","558.6","568.6","598.6","615.3","587.6","654.6","752.6","805","983","1352","1614","1040","784"
"sga","299.9","339.3","340.6","334.8","337.3","358.1","402.6","464.8","512","577","687","844","829","886"
"rnd","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","19","11","19","41","164","192"
"total_opex","299.9","339.3","340.6","334.8","337.3","358.1","402.6","464.8","531","588","706","885","993","1078"
"operating_income","202.2","219.3","228","263.8","278","229.5","252","287.8","274","395","646","729","47","-294"
"net_interest_income_normal","-165.5","-183.2","-203.2","-163.1","-105","-88.5","-94.40000000000001","-111.4","-111","-142","-128","-127","-186","-245"
"other_nonoperating_income","-42.1","-17.5","-48.7","-33.3","-60.5","3.9","-22","-24.4","-3","7","197","-23","-203","-703"
"pretax_income","-5.4","18.6","-23.9","67.40000000000001","112.5","144.9","135.6","152","160","260","715","579","-342","-1242"
"income_tax","-23.7","-0.5","-27","-49.5","97.7","-33.7","-25.8","-68.40000000000001","-23","-39","-130","-80","86","66"
"net_income_continuing","-29.1","18.1","-50.9","17.9","210.2","111.2","109.8","83.59999999999999","137","221","585","499","-256","-1176"
"net_income_discontinued","-21","-41.3","1.2","-2.7","0.1","","","","","","","","",""
"income_allocated_to_minority_interest","-3.9","-1.2","0.1","1","1.9","0.3","","","-5.4","","","","",""
"other_income_statement_items","","-3.5527136788005E-15","-7.105427357601E-15","-7.105427357601E-15","","","","","5.4","","","","",""
"net_income","-54","-24.4","-49.6","16.2","212.2","111.5","109.8","83.59999999999999","137","221","585","499","-256","-1176"
"preferred_dividends","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-54","-24.4","-49.6","16.2","212.2","111.5","109.8","83.59999999999999","137","221","585","499","-256","-1176"
