"Company: ","Celanese Corporation (CE:US)","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","134.4","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Chemicals","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","15187","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","24722","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","3837","3704","4451","3826","5270","5778","6444","6823","5082","5918","6763","6418","6510","6802","5674","5389","6140","7155","6297","5655","8537","9673","10940","10698"
"cogs","3277","","3731","3092","4064","4469","4999","5567","4079","4738","5346","5237","5145","5186","4356","3984","4629","5183","4691","4362","5855","7293","8337","8172"
"gross_profit","560","3704","720","734","1206","1309","1445","1256","1003","1180","1417","1181","1365","1616","1318","1405","1511","1972","1606","1293","2682","2380","2603","2526"
"sga","481","","510","498","512","536","516","540","474","505","805","830","311","758","506","378","496","546","483","482","633","824","1075","1054"
"rnd","72","","89","67","86","65","73","80","70","70","98","104","85","86","119","78","73","72","67","74","86","112","146","138"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","378","","-4330","-1","122","88","103","196","169","61","62","51","32","20","11","9","20","24","24","22","25","62","164","164"
"total_opex","931","","-3731","564","720","689","692","816","713","636","965","985","428","864","636","465","589","642","574","578","744","998","1385","1356"
"operating_income","-371","3704","4451","170","486","620","753","440","290","544","452","196","937","752","682","940","922","1330","1032","715","1938","1382","1218","1170"
"net_interest_income_normal","","","","","","","","-230","-199","-213","-221","-186","-172","-175","-118","-124","-120","-120","-113","-103","-92","-336","-688","-670"
"other_nonoperating_income","-7","-3544","-4279","-344","-210","-94","-306","224","160","207","236","311","844","364","-76","214","273","300","69","1639","402","375","653","719"
"pretax_income","-378","160","172","-174","276","526","447","434","251","538","467","321","1609","941","488","1030","1075","1510","988","2251","2248","1421","1183","1219"
"income_tax","97","","-60","-70","-24","-203","-110","-63","243","-112","-41","55","-508","-314","-201","-122","-213","-292","-124","-247","-330","489","790","782"
"net_income_continuing","-281","160","112","-244","252","323","337","371","494","426","426","376","1101","627","287","908","862","1218","864","2004","1918","1910","1973","2001"
"net_income_discontinued","-84","43","22","-1","63","87","90","-90","4","-49","1","-4","","-7","-2","-2","-13","-5","-6","-12","-22","-8","-9","-6"
"income_allocated_to_minority_interest","","","","-8","-38","-4","-1","1","","","","","","4","19","-6","-6","-6","-6","-7","-6","-8","-4","-5"
"other_income_statement_items","","-35","14","","","","","","","","","","","","","","","","","","","","",""
"net_income","-365","168","148","-253","277","406","426","282","498","377","427","372","1101","624","304","900","843","1207","852","1985","1890","1894","1960","1990"
"preferred_dividends","","","","","10","10","10","10","10","3","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-365","168","148","-253","267","396","416","272","488","374","427","372","1101","624","304","900","843","1207","852","1985","1890","1894","1960","1990"
