"Company: ","Charles River Laboratories (CRL:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","206.39","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Life Sciences Tools & Services","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","10809","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","13143","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","306.585","465.63","554.629","613.723","724.221","993.328","1058.385","1230.626","1343.493","1171.642","1133.416","1142.647","1129.53","1165.528","1297.662","1363.302","1681.432","1857.601","2266.096","2621.226","2923.933","3540.16","3976.06","4129.409","4111.596"
"cogs","186.654","298.379","345.646","380.058","435.499","603.624","651.778","752.4349999999999","832.784","748.65","748.6559999999999","740.405","737.449","770.626","825.002","832.21","1037.473","1156.683","1426.029","1662.915","1850.392","2205.522","2513.409","2626.853","2641.851"
"gross_profit","119.931","167.251","208.983","233.665","288.722","389.704","406.607","478.191","510.709","422.992","384.76","402.242","392.081","394.902","472.66","531.092","643.9589999999999","700.918","840.067","958.311","1073.541","1334.638","1462.651","1502.556","1469.745"
"sga","51.204","68.315","83.303","90.236","116.879","157.999","180.795","217.491","230.159","227.663","232.489","198.648","208.248","225.695","269.033","300.414","364.708","371.266","443.854","517.622","528.9349999999999","619.919","665.098","747.855","759.3"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","3.666","8.653","3.414","4.876","13.857","47.011","37.639","33.509","30.312","25.716","24.405","21.796","18.068","17.806","25.957","24.229","41.699","41.37","64.83","89.538","111.877","124.857","146.578","137.44","135.099"
"total_opex","54.87","76.968","86.717","95.11199999999999","130.736","205.01","218.434","251","260.471","253.379","256.894","220.444","226.316","243.501","294.99","324.643","406.407","412.636","508.684","607.16","640.812","744.776","811.676","885.295","894.399"
