"Company: ","Charter Communications Inc (CHTR:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","290.8","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Media","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","41170","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","138474","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","3141","3807","4566","4819","4760","5033","5504","6002","6479","","7059","7204","7504","8155","9108","9754","29003","41581","43634","45764","48097","51682","54022","54607","54633"
"cogs","1185","1480","1807","1952","1994","2203","2438","2620","2792","","4090","4177","4429","4788","5356","5797","16519","23505","24818","26180","26899","28226","29291","29752","27822"
"gross_profit","1956","2327","2759","2867","2766","2830","3066","3382","3687","","2969","3027","3075","3367","3752","3957","12484","18076","18816","19584","21198","23456","24731","24855","26811"
"sga","646","827","968","944","965","1012","1165","1289","1401","","396","387","431","557","617","629","1237","3035","2850","3044","3031","3256","3585","3653","5687"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","2398","2682","6113","1407","3743","1514","1534","1328","1310","","1524","1592","1713","1854","2102","2125","6907","10588","10318","9926","9704","9345","8903","8696","8461"
"total_opex","3044","3509","7081","2351","4708","2526","2699","2617","2711","","1920","1979","2144","2411","2719","2754","8144","13623","13168","12970","12735","12601","12488","12349","14148"
"operating_income","-1088","-1182","-4322","516","-1942","304","367","765","976","","1049","1048","931","956","1033","1203","4340","4453","5648","6614","8463","10855","12243","12506","12663"
"net_interest_income_normal","","","","","","","","-1861","-1905","","-877","-963","-907","-846","-911","-1306","-2499","-3090","-3540","-3797","-3848","-4037","-4556","-5188","-5239"
"other_nonoperating_income","220","13","1554","-864","-1633","-1195","-1766","-222","-1621","","-114","-155","-71","-159","-69","-228","-1021","-335","-422","-386","-313","-430","-225","-464","-401"
"pretax_income","-868","-1169","-2768","-348","-3575","-891","-1399","-1318","-2550","","58","-70","-47","-49","53","-331","820","1028","1686","2431","4302","6388","7462","6854","7023"
"income_tax","10","12","460","110","134","-112","-187","-209","103","","-295","-299","-257","-120","-236","60","2925","9087","-180","-439","-626","-1068","-1613","-1593","-1665"
"net_income_continuing","-858","-1157","-2308","-238","-3441","-1003","-1586","-1527","-2447","","-237","-369","-304","-169","-183","-271","3745","10115","1506","1992","3676","5320","5849","5261","5358"
"net_income_discontinued","","","","","-135","36","216","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","1282","1464","3176","377","19","-1","","-7","-4","","","","","","","","-223","-220","-276","-324","-454","-666","-794","-704","-716"
"other_income_statement_items","-1282","-1474","-3382","-377","-784","1","","","","","","","","","","","","","","","","","","",""
"net_income","-858","-1167","-2514","-238","-4341","-967","-1370","-1534","-2451","","-237","-369","-304","-169","-183","-271","3522","9895","1230","1668","3222","4654","5055","4557","4642"
"preferred_dividends","","1","3","4","4","3","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-858","-1168","-2517","-242","-4345","-970","-1370","-1534","-2451","","-237","-369","-304","-169","-183","-271","3522","9895","1230","1668","3222","4654","5055","4557","4642"
"eps_basic","-4.2","-4.79","-9.460000000000001","-0.91","-16","-3.46","-4.57","-4.61","-7.26","","-2.31","-3.75","-3.37","-1.83","-1.88","-2.68","17.05","38.55","5.29","7.6","15.85","25.34","31.3","30.54","31.46"
"eps_diluted","-4.2","-4.79","-9.460000000000001","-0.91","-16","-3.46","-4.57","-4.61","-7.26","","-2.31","-3.75","-3.37","-1.83","-1.88","-2.68","15.94","34.09","5.22","7.45","15.4","24.47","30.74","29.99","30.92"
"shares_basic","204.076","243.767","266.278","266.42","271.569","280.491","300.142","332.963","337.687","","102.3","98.511","90.111","92.169","97.992","101.153","206.539","256.721","232.357","219.507","203.316","183.669","161.501","149.208","149.208"
"shares_diluted","204.076","243.767","266.278","266.42","271.569","280.491","300.142","332.963","337.687","362.45","102.3","98.511","90.111","92.169","97.992","101.153","234.791","296.704","235.525","223.786","209.273","193.043","164.434","151.966","151.966"
"cash_and_equiv","131","2","321","127","650","21","60","75","960","709","4","2","7","21","3","5","1535","621","551","3483","1001","601","645","709","709"
"st_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"receivables","224","297","267","189","190","214","195","225","222","248","247","268","234","234","285","279","1432","1635","1733","2227","2539","2579","2921","2965","2965"
"inventories","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_assets","78","70","45","34","82","92","84","36","36","114","75","87","89","67","57","61","333","299","446","761","369","386","451","458","458"
"total_current_assets","433","369","633","350","922","327","339","336","1218","1071","326","357","330","322","345","345","3300","2555","2730","6471","3909","3566","4017","4132","4132"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","6329","8842","10313","10964","11600","12589","10992","11565","12212","6927","8009","9261","10769","12768","13857","14863","44066","51965","58201","62247","65996","68563","72203","77271","77271"
"accumulated_depreciation","-1061","-1928","-2634","-3950","-5311","-6749","-5775","-6462","-7225","-94","-1190","-2364","-3563","-4787","-5484","-6518","-11103","-18077","-23075","-27656","-31639","-34253","-36164","-37751","-37751"
"ppe_net","5268","6914","7679","7014","6289","5840","5217","5103","4987","6833","6819","6897","7206","7981","8373","8345","32963","33888","35126","34591","34357","34310","36039","39520","39520"
"intangible_assets","17069","18911","13727","13680","9878","9826","9223","8942","7393","7607","7257","7213","6945","7646","7365","7116","82574","79959","77360","74775","72937","71406","70135","69141","69141"
"goodwill","","","","","","","","","68","951","951","954","953","1177","1168","1168","29509","29554","29554","29554","29554","29562","29563","29668","29668"
"other_lt_assets","274","269","345","320","584","438","321","285","216","196","354","180","162","169","7137","22342","721","667","1360","2797","3449","3647","4769","4732","4732"
"total_assets","23044","26463","22384","21364","17673","16431","15100","14666","13882","16658","15707","15601","15596","17295","24388","39316","149067","146623","146130","148188","144206","142491","144523","147193","147193"
"accounts_payable","1367","1379","1405","1286","1217","1191","92","127","99","113","168","80","107","91","140","134","454","740","758","786","763","724","952","931","931"
"tax_payable","","","","","","","","","","","","","","","","128","538","556","526","537","555","592","667","681","681"
"current_accrued_liabilities","","","","","","","1206","1205","1087","683","881","881","891","1130","1241","1423","5089","7354","7027","6888","6878","7415","8425","9093","9093"
"st_debt","","","","","","","","","155","70","","","","","","","2028","2045","3290","3500","1008","2997","1510","2000","2000"
"current_deferred_revenue","","","","","","","","","","","","73","81","90","85","96","352","395","494","460","436","461","511","509","509"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","","","","","","","","","124","102","","123","145","156","169","191","1111","","","","","","-295","",""
"total_current_liabilities","1367","1379","1405","1286","1217","1191","1298","1332","1465","968","1049","1157","1224","1467","1635","1972","9572","11090","12095","12385","9875","12458","12065","13214","13214"
"lt_debt","13060","16343","18671","18647","19464","19437","19119","19973","21586","13252","12306","12856","12808","14181","20887","35723","59719","68186","69537","75578","81744","88564","96093","95777","95777"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","","","","","",""
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","","","","","","","","","847","1321","1431","1648","1590","26665","17314","17389","17711","18108","19096","19058","18954","18954"
"other_lt_liabilities","1405","1747","1242","917","750","535","710","1054","1337","521","874","332","94","65","72","77","2745","2502","2837","3703","4198","4217","4758","4530","4530"
"total_liabilities","15832","19469","21318","20850","21431","21163","21127","22359","24388","14741","14229","15192","15447","17144","24242","39362","98701","99092","101858","109377","113925","124335","131974","132475","132475"
"common_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","-895","-2092","-4609","-4851","-9196","-10166","-11536","-13096","-15597","2","-235","-1082","-1392","-1568","-1762","-2061","733","3832","2780","40","-5195","-12675","-14821","-12260","-12260"
"aoci","-1","-17","-47","-24","-4","5","4","-123","-303","","-57","-65","-75","-41","-22","-13","-7","-1","-2","","","","","",""
"apic","4018","4694","4697","4700","4794","5241","5313","5327","5394","1913","1776","1556","1616","1760","1930","2028","39413","35253","33507","31405","29000","26725","23940","23346","23346"
