"Company: ","Chevron Corp (CVX:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","158.46","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Oil, Gas & Consumable Fuels","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","291346","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","306621","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","119130","106245","98537","121277","155300","198200","210118","220904","267639","168320","198198","244371","230590","220156","200494","129925","110215","134674","158902","139865","94471","155606","235717","196913","194651"
"cogs","79086","69238","65437","80380","104948","140902","144139","151564","192192","125619","129530","162834","154179","148882","136464","90788","78778","95114","113997","109331","71656","110174","161735","136522","135421"
"gross_profit","40044","37007","33100","40897","50352","57298","65979","69340","75447","42701","68668","81537","76411","71274","64030","39137","31437","39560","44905","30534","22815","45432","73982","60391","59230"
"sga","3626","3984","4155","4440","4557","4828","5093","5926","5756","4527","4767","4745","4724","4510","4494","4443","4305","4110","3838","4143","4213","4014","4312","4141","4270"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","14547","15669","14845","16132","16785","17976","28389","30974","32000","31043","38526","38493","36674","39551","39810","38404","32603","32322","26621","26291","24699","25238","29720","30021","30500"
"total_opex","18173","19653","19000","20572","21342","22804","33482","36900","37756","35570","43293","43238","41398","44061","44304","42847","36908","36432","30459","30434","28912","29252","34032","34162","34770"
"operating_income","21871","17354","14100","20325","29010","34494","32497","32440","37691","7131","25375","38299","35013","27213","19726","-3710","-5471","3128","14446","100","-6097","16180","39950","26229","24460"
"net_interest_income_normal","","","","","","","","","","-28","-50","145","166","136","145","119","-56","-307","-748","-798","-697","-712","-516","-469","-472"
"other_nonoperating_income","-7822","-9063","-10000","-7649","-8459","-9297","-521","-273","5366","11425","6730","9190","11153","8556","11331","8433","3367","6400","6877","6234","-659","6171","10240","3824","3999"
"pretax_income","14049","8291","4100","12676","20551","25197","31976","32167","43057","18528","32055","47634","46332","35905","31202","4842","-2160","9221","20575","5536","-7453","21639","49674","29584","27987"
"income_tax","-6322","-4360","-2998","-5294","-7517","-11098","-14838","-13479","-19026","-7965","-12919","-20626","-19996","-14308","-11892","-132","1729","48","-5715","-2691","1892","-5950","-14066","-8173","-7630"
"net_income_continuing","7727","3931","1102","7382","13034","14099","17138","18688","24031","10563","19136","27008","26336","21597","19310","4710","-431","9269","14860","2845","-5561","15689","35608","21411","20357"
"net_income_discontinued","","","30","44","294","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","-111","-121","-57","-80","-85","-96","-70","-107","-100","-80","-112","-113","-157","-174","-69","-123","-66","-74","-36","79","18","-64","-143","-42","-61"
"other_income_statement_items","111","-522","57","-116","85","96","70","107","","","","","","","","","","","","","","","","",""
"net_income","7727","3288","1132","7230","13328","14099","17138","18688","23931","10483","19024","26895","26179","21423","19241","4587","-497","9195","14824","2924","-5543","15625","35465","21369","20296"
"preferred_dividends","15","6","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","7712","3282","1132","7230","13328","14099","17138","18688","23931","10483","19024","26895","26179","21423","19241","4587","-497","9195","14824","2924","-5543","15625","35465","21369","20296"
"eps_basic","3.99","1.55","0.53","3.48","6.3","6.58","7.84","8.83","11.74","5.26","9.529999999999999","13.54","13.42","11.18","10.21","2.46","-0.27","4.88","7.81","1.55","-2.96","8.15","18.36","11.41","10.92"
"eps_diluted","3.99","1.55","0.53","3.48","6.28","6.54","7.8","8.77","11.67","5.24","9.48","13.44","13.32","11.09","10.14","2.45","-0.27","4.85","7.74","1.54","-2.96","8.140000000000001","18.28","11.36","10.87"
"shares_basic","1305.282","2117.419","2135.849","2077.586","2115.556","2142.705","2185.969","2118","2038","1992","1996","1986","1950","1917","1883","1868","1873","1883","1898","1882","1870","1916","1931","1873","1873"
"shares_diluted","1307.654","2124.272","2135.849","2077.586","2122.293","2155.81","2197.179","2132","2050","2001","2007","2001","1965","1932","1884","1875","1873","1898","1914","1895","1920","1920","1940","1880","1880"
"cash_and_equiv","2328","2117","2957","4266","9291","10043","10493","7362","9347","8716","14060","15864","20939","16245","12785","11022","6988","4813","9342","5686","5596","5640","17678","8178","8178"
"st_investments","913","1033","824","1001","1451","1101","953","732","213","106","155","4207","974","271","430","310","13","9","1003","63","31","35","223","45","45"
"receivables","10763","8279","9385","9722","12429","17184","17628","22446","15856","17703","20759","21793","20997","21622","16736","12860","14092","15353","15050","13325","11471","18419","20456","19921","19921"
"inventories","2654","2948","2763","2648","2983","4121","4656","5310","6854","5529","5493","5543","6144","6380","6505","6334","5419","5585","5704","5848","5676","6795","8247","8612","8612"
"other_current_assets","1255","3950","1847","1789","2349","1887","2574","3527","4200","5162","8374","5827","6666","5732","5776","3904","3107","2800","2922","3407","3304","2849","3739","4372","4372"
"total_current_assets","17913","18327","17776","19426","28503","34336","36304","39377","36470","37216","48841","53234","55720","50250","42232","34430","29619","28560","34021","28329","26078","33738","50343","41128","41128"
"equity_and_other_investments","","","","","","","","","20920","21158","21520","22868","23718","25502","26912","27110","30250","32497","35546","38688","39052","40696","45238","46812","46812"
"ppe_gross","95568","99943","105231","100556","103954","127446","137747","154084","173299","188288","207367","233432","263481","296433","327289","340277","336077","344485","340244","326722","345232","336045","327785","346081","346081"
"accumulated_depreciation","-51249","-56710","-61076","-56018","-59496","-63756","-68889","-75474","-81519","-91820","-102863","-110824","-122133","-131604","-144116","-151881","-153891","-166773","-171037","-176228","-188614","-189084","-184194","-192462","-192462"
"ppe_net","44319","43233","44155","44538","44458","63690","68858","78610","91780","96468","104504","122608","141348","164829","183173","188396","182186","177712","169207","150494","156618","146961","143591","153619","153619"
"intangible_assets","","","","","","","","","","","","","","","","","","","","","","","","",""
"goodwill","","","","","","4636","4623","4637","4619","4618","4617","4642","4640","4639","4593","4588","4581","4531","4518","4463","4402","4385","4722","4722","4722"
"other_lt_assets","15389","16012","15428","17506","20247","23171","22843","26162","7376","5161","5287","6122","7556","8533","9116","10016","13442","10506","10571","15454","13640","13755","13815","15351","15351"
"total_assets","77621","77572","77359","81470","93208","125833","132628","148786","161165","164621","184769","209474","232982","253753","266026","264540","260078","253806","253863","237428","239790","239535","257709","261632","261632"
"accounts_payable","7563","6427","8455","8675","10747","16074","16675","21756","16580","16437","19259","22147","22776","22815","19000","13516","13986","14565","13953","14103","10950","16454","18955","20423","20423"
"tax_payable","","","","","","","","","4548","4015","4242","5826","5571","4427","3808","2191","2077","2713","2565","2556","1873","3109","5803","3651","3651"
"current_accrued_liabilities","3014","3399","3364","3172","3410","3690","4546","5275","8077","5375","5324","5287","5738","5402","5328","4833","4882","5267","4927","6589","7812","6972","7486","7655","7655"
"st_debt","3094","8429","5358","1703","816","739","2159","1162","2818","384","187","340","89","340","3768","4910","10826","5177","5708","3264","1362","208","1919","469","469"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","2990","2399","2699","2561","3822","4508","5029","5605","","","","","","","","","","","","","","","","",""
"total_current_liabilities","16661","20654","19876","16111","18795","25011","28409","33798","32023","26211","29012","33600","34212","33018","31926","25467","31785","27737","27171","26530","22183","26791","34208","32258","32258"
"lt_debt","12494","8704","10666","10651","10217","11807","7405","5664","5742","9829","11003","9684","11966","19960","23960","33542","35193","33477","28606","23409","42320","30664","20972","19733","19733"
"noncurrent_capital_leases","327","285","245","243","239","324","274","406","341","301","286","128","99","97","68","80","93","94","127","282","447","449","403","574","574"
"pension_liabilities","","","","","","","","","","","6696","9156","9699","5968","8412","7935","7216","7421","6654","7866","9217","6248","4357","4082","4082"
"noncurrent_deferred_revenue","6687","6132","5619","6417","7268","11262","11647","12170","29217","28911","31961","15544","17672","21301","21920","20165","17516","14652","15921","13688","12569","14665","17131","18830","18830"
"other_lt_liabilities","7337","7556","9046","11485","11287","14553","15749","19456","6725","6808","","19181","21502","22982","23549","23465","21553","21106","19742","20445","20328","20778","20396","24226","24226"
"total_liabilities","43506","43331","45452","44907","47806","62957","63484","71494","74048","72060","78958","87293","95150","103326","109835","110654","113356","104487","98221","92220","107064","99595","97467","99703","99703"
"common_stock","862","853","853","853","1706","1832","1832","1832","1832","1832","1832","1832","1832","1832","1832","1832","1832","1832","1832","1832","1832","1832","1832","1832","1832"
"preferred_stock","300","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","32206","32767","30942","35315","45414","55738","68464","82329","101102","106289","119641","140399","159730","173677","184987","181578","173046","174106","180987","174945","160377","165546","190024","200025","200025"
"aoci","-1231","-1058","-1650","-1411","-926","-918","-3092","-2470","-3924","-4321","-4466","-6320","-6651","-3819","-5099","-4531","-4083","-3829","-3784","-5230","-5852","-4129","-3038","-3200","-3200"
"apic","5505","4811","4833","4855","4160","13894","14126","14289","14448","14631","14796","15156","15497","15713","16041","16330","16595","16848","17112","17265","16829","17282","18660","21365","21365"
