"Company: ","Chubb Ltd (CB:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","263.29","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","108060","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","118800","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"premiums_earned","4534.763","6038","6830.504","9727","11110","11748","11825","12297","13203","13240","13504","15387","15677","16613","17426","17213","28749","29034","30064","31290","33117","36292","40360","45712","47153"
"net_investment_income","770.855","802","812","900","1013","1264","1601","1918","2062","2031","2070","2156","2173","2138","2186","2063","2773","3177","3218","2827","3046","3352","3357","4808","5158"
"fees_and_other_income","-38.961","-58","-519.5","62","197","76","-98","-61","-1633","-196","432","-745","115","526","-439","-308","-42","129","-603","113","-111","1217","-662","-694","-560"
"revenue","5266.657","6782","7123.004","10689","12320","13088","13328","14154","13632","15075","16006","16798","17965","19277","19173","18968","31480","32340","32679","34230","36052","40861","43055","49826","51751"
"sga","742.691","830.455","943.333","1161","1265","1261","1456","1455","1737","1811","1858","2068","2096","2211","2245","2270","3081","2833","2886","3030","2979","3135","3395","4007","4147"
"net_policyholder_claims_expense","2936.065","4724","4973","6298.479","7865","8714","7193","7519","8002","7747","7936","9520","9653","9348","9649","9484","16052","18454","18067","18730","21710","21030","22572","24100","24679"
"policy_acquisition_expense","650.741","784.664","960.688","1357","1565","1663","1715","1771","2135","2130","2337","2472","2446","2659","3075","2941","5904","5781","5912","6153","6547","6758","7339","8259","8518"
"interest_expense_insurance","221.45","199","193.494","177","183","174","176","175","230","225","224","250","250","275","280","300","605","607","641","552","516","492","570","672","690"
"operating_income","636.89","","","","1439","1301","2823","3153","1567","3077","3667","2042","2976","4238","3487","3296","4950","3722","4657","5249","4162","9794","6485","9526","9886"
