"Company: ","Churchill Downs Incorporated (CHDN:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","139.37","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Hotels, Restaurants & Leisure","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","10297","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","15006","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","363.01","426.893","438.842","424.233","304.888","356.342","376.671","410.735","430.566","470.503","585.345","696.854","731.296","779.028","812.2","798.6","822.4","882.6","1009","1329.7","1054","1597.2","1809.8","2461.7","2493.1"
"cogs","287.373","345.526","353.537","345.933","240.924","290.11","301.607","326.404","344.278","384.816","491.345","551.3150000000001","567.923","605.857","633.3","582.8","594","629.4","719.3","986.7","860.5","1151.1","1243.4","1666","1684.2"
"gross_profit","75.637","81.367","85.30500000000001","78.3","63.964","66.232","75.06399999999999","84.331","86.288","85.687","94","145.539","163.373","173.171","178.9","215.8","228.4","253.2","289.7","343","193.5","446.1","566.4","795.7","808.9"
"sga","29.059","31.785","35.366","34.021","32.97","44.478","44.713","51.479","50.709","50.954","62.434","65.501","73.82899999999999","83.071","76","75.59999999999999","79.40000000000001","83.5","90.59999999999999","122","114.8","138.5","164.2","202.3","204.8"
"rnd","","","","","","","","","","","","","","","","39.399","39","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","4.5","","","-2.196","-19.231","-0.784","-17.2","","","","","","2.3","-25.499","-39","","","","","","","",""
"total_opex","29.059","31.785","39.866","34.021","32.97","42.282","25.482","50.695","33.509","50.954","62.434","65.501","73.82899999999999","83.071","78.3","89.5","79.40000000000001","83.5","90.59999999999999","122","114.8","138.5","164.2","202.3","204.8"
"operating_income","46.578","49.582","45.439","44.279","30.994","23.95","49.582","33.636","52.779","34.733","31.566","80.038","89.544","90.09999999999999","100.6","126.3","149","169.7","199.1","221","78.7","307.6","402.2","593.4","604.1"
