"Company: ","Cincinnati Financial Corporation (CINF:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","115.82","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","18271","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","18500","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"premiums_earned","1907","2152","2478","2748","3020","3164","3278","3250","3136","3054","3082","3194","3522","3902","4243","4480","4710","4954","5170","5604","5980","6478","7225","7958","8111"
"net_investment_income","415","421","445","465","492","526","570","608","537","501","492","467","498","527","525","520","593","600","210","2263","1433","3089","-699","2060","2182"
"fees_and_other_income","9","-12","-80","-32","102","77","702","401","151","348","198","142","91","102","177","142","146","178","27","57","123","59","37","-5","414"
"revenue","2331","2561","2843","3181","3614","3767","4550","4259","3824","3903","3772","3803","4111","4531","4945","5142","5449","5732","5407","7924","7536","9626","6563","10013","10707"
"sga","523","576","674","740","885","929","984","13","987","20","","","","","","","","","","","","","","",""
"net_policyholder_claims_expense","1581","1663","1826","1887","1846","1911","2128","1963","2193","2242","2180","2524","2322","2505","2856","2808","3107","3390","3490","3638","4134","3909","5019","5274","5225"
"policy_acquisition_expense","-33","-27","-57","-42","-30","-19","-21","-9","-17","","","","","","","","","","","","","","","",""
"interest_expense_insurance","37","39","35","34","38","51","53","52","53","55","54","54","54","54","53","53","53","53","53","53","54","53","53","54","53"
"operating_income","109","221","279","480","800","823","1329","1192","540","582","498","173","566","714","721","881","812","730","251","2472","1499","3698","-694","2276","2961"
"pretax_income","109","221","279","480","800","823","1329","1192","540","582","498","173","566","714","721","881","812","730","251","2472","1499","3698","-694","2276","2961"
"income_tax","9","-28","-41","-106","-216","-221","-399","-337","-111","-150","-123","-9","-145","-197","-196","-247","-221","315","36","-475","-283","-730","207","-433","-588"
"net_income_continuing","118","193","238","374","584","602","930","855","429","432","375","164","421","517","525","634","591","1045","287","1997","1216","2968","-487","1843","2373"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","118","193","238","374","584","602","930","855","429","432","375","164","421","517","525","634","591","1045","287","1997","1216","2968","-487","1843","2373"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","118","193","238","374","584","602","930","855","429","432","375","164","421","517","525","634","591","1045","287","1997","1216","2968","-487","1843","2373"
"eps_basic","0.67","1.09","1.33","2.11","3.3","3.44","5.36","5.01","2.63","2.66","2.3","1.01","2.59","3.16","3.21","3.87","3.59","6.36","1.76","12.24","7.55","18.43","-3.06","11.74","15.13"
"eps_diluted","0.66","1.08","1.32","2.1","3.28","3.4","5.3","4.97","2.62","2.65","2.3","1.01","2.57","3.12","3.18","3.83","3.55","6.29","1.75","12.1","7.49","18.24","-3.06","11.66","15.03"
"shares_basic","177.074","177.067","179.92","178.292","178.377","177.116","173.423","170.595","163.15","162.595","162.778","162.7","162.5","163.5","163.5","164","164.5","164.2","163.2","163.2","161.2","161","158.8","157","157"
"shares_diluted","180.723","179.045","179.92","178.5","178.377","177.116","175.451","172.167","163.362","162.867","163.274","163.3","163.7","165.4","165.1","165.6","166.5","166","164.5","165.1","162.4","162.7","158.8","158.1","158.1"
"cash_and_equiv","60","48","112","91","306","119","202","226","1009","557","385","438","487","433","591","544","777","657","784","767","900","1139","1264","907","907"
"total_investments","11247","11505","11189","12449","12639","12657","13699","12198","8807","10562","11424","20514","21559","22617","23778","24006","25504","27647","27298","31148","33532","37359","34105","24780","24780"
"receivables","683","759","989","1141","2001","1221","1236","1199","1130","1070","1088","1904","2019","2099","2148","2164","2263","2216","2331","2597","2627","2865","3239","3543","3543"
"deferred_policy_acquisition_cost","259","286","343","372","400","429","453","461","509","481","488","477","470","565","578","616","637","670","738","774","805","905","1013","1093","1093"
"ppe_net","122","125","128","153","156","168","193","239","236","251","229","227","217","210","194","185","183","185","195","207","213","205","202","208","208"
"intangible_assets","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_lt_assets","916","1191","1361","1303","605","1409","1439","2314","1678","1519","1481","-7925","-8204","-8262","-8541","-8627","-8978","-9532","-9411","-10085","-10535","-11086","-10091","2238","2238"
"total_assets","13287","13914","14122","15509","16107","16003","17222","16637","13369","14440","15095","15635","16548","17662","18748","18888","20386","21843","21935","25408","27542","31387","29732","32769","32769"
"unearned_premiums","922","1062","1319","1446","1539","1559","1579","1564","1544","1509","1553","1633","1792","1976","2082","2201","2307","2404","2516","2788","2960","3271","3689","4119","4119"
"future_policy_benefits","605","674","917","1025","","1343","1409","1478","1551","1783","2034","2214","2295","2390","2497","2583","2671","2729","2779","2835","2915","3014","3015","3068","3068"
"other_current_liabilities","2473","2887","3176","3415","4743","3661","3896","3967","4086","4142","4200","4339","4230","4311","4485","4718","5085","5273","5707","6147","6746","7305","8400","9050","9050"
"st_debt","170","183","183","183","","","49","69","49","49","49","104","104","104","49","35","20","24","32","39","54","54","50","25","25"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"lt_debt","449","426","420","420","791","791","791","791","791","790","807","821","827","835","822","821","826","827","834","845","845","843","841","849","849"
"other_lt_liabilities","2673","2684","2509","2816","2785","2563","2690","2839","1166","1407","1420","1491","1847","1976","2240","2103","2417","2343","2234","2890","3233","3795","3175","3560","3560"
"total_liabilities","7292","7916","8524","9305","9858","9917","10414","10708","9187","9680","10063","10602","11095","11592","12175","12461","13326","13600","14102","15544","16753","18282","19170","20671","20671"
"common_stock","346","350","352","352","370","389","391","393","393","393","393","393","394","397","397","397","397","397","397","397","397","397","397","397","397"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","1620","1678","1772","1986","2057","2088","2786","3404","3579","3862","3980","3863","4021","4268","4505","4762","5037","5180","7625","9257","10085","12625","11711","13084","13084"
"aoci","4156","4113","3643","4084","3787","3284","3379","2151","347","624","769","901","1129","1504","1744","1344","1693","2788","22","448","769","648","-614","-435","-435"
"apic","254","284","300","306","618","969","1015","1049","1069","1081","1091","1096","1134","1191","1214","1232","1252","1265","1281","1306","1328","1356","1392","1437","1437"
"treasury_stock","-381","-427","-469","-524","-583","-644","-763","-1068","-1206","-1200","-1201","-1220","-1225","-1290","-1287","-1308","-1319","-1387","-1492","-1544","-1790","-1921","-2324","-2385","-2385"
"other_equity","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_equity","5995","5998","5598","6204","6249","6086","6808","5929","4182","4760","5032","5033","5453","6070","6573","6427","7060","8243","7833","9864","10789","13105","10562","12098","12098"
"total_liabilities_and_equity","13287","13914","14122","15509","16107","16003","17222","16637","13369","14440","15095","15635","16548","17662","18748","18888","20386","21843","21935","25408","27542","31387","29732","32769","32769"
"cfo_net_income","118","193","238","374","584","602","930","855","429","432","375","164","421","517","525","634","591","1045","287","1997","1216","2968","-487","1843","2373"
"cfo_da","18","25","22","30","28","33","38","36","32","38","41","42","44","50","51","52","48","55","63","72","109","118","127","112","106"
"cfo_receivables","-153","-414","-274","-97","-118","2","-13","-50","43","148","79","-128","-118","-70","-62","-54","-118","77","-107","-175","-23","-240","-340","-264","-238"
"cfo_inventory","","","","","","","","","","","","","","","","","","","","","","","","",""
