"Company: ","Cisco Systems Inc (CSCO:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","47.38","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Communications Equipment","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","190482","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","191814","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-07","2001-07","2002-07","2003-07","2004-07","2005-07","2006-07","2007-07","2008-07","2009-07","2010-07","2011-07","2012-07","2013-07","2014-07","2015-07","2016-07","2017-07","2018-07","2019-07","2020-07","2021-07","2022-07","2023-07","TTM"
"revenue","18928","22293","18915","18878","22045","24801","28484","34922","39540","36117","40040","43218","46061","48607","47142","49161","49247","48005","49330","51904","49301","49818","51557","56998","55364"
"cogs","6746","11221","6902","5645","6919","8130","9737","12663","14194","13023","14397","16682","17852","19167","19373","19480","18287","17781","18724","19238","17618","17924","19309","21245","19569"
"gross_profit","12182","11072","12013","13233","15126","16671","18747","22259","25346","23094","25643","26536","28209","29440","27769","29681","30960","30224","30606","32666","31683","31894","32248","35753","35795"
"sga","4579","6074","4882","4818","5397","5680","7200","8552","10077","9968","10715","11720","11969","11802","11437","11861","11433","11177","11386","11398","11094","11411","11186","12358","12842"
"rnd","4077","4777","3513","3139","3195","3348","4158","4679","5328","5271","5273","5823","5488","5942","6294","6207","6296","6059","6332","6577","6347","6549","6774","7551","7757"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","291","1055","699","394","242","227","393","407","499","533","491","520","383","395","275","359","303","259","221","150","141","215","313","282","500"
"total_opex","8947","11906","9094","8351","8834","9255","11751","13638","15904","15772","16479","18063","17840","18139","18006","18427","18032","17495","17939","18125","17582","18175","18273","20191","21099"
"operating_income","3235","-834","2919","4882","6292","7416","6996","8621","9442","7322","9164","8473","10369","11301","9763","11254","12928","12729","12667","14541","14101","13719","13975","15562","14696"
"net_interest_income_normal","1108","967","895","660","512","552","607","715","824","499","12","13","54","71","127","203","329","477","565","449","335","184","116","535","708"
"other_nonoperating_income","","-1007","-1104","-529","188","68","30","125","-11","-128","239","-661","-264","-145","-175","-256","-337","-919","-193","-419","-466","-641","386","-779","-1095"
"pretax_income","4343","-874","2710","5013","6992","8036","7633","9461","10255","7693","9415","7825","10159","11227","9715","11201","12920","12287","13039","14571","13970","13262","14477","15318","14309"
"income_tax","-1675","-140","-817","-1435","-2024","-2295","-2053","-2128","-2203","-1559","-1648","-1335","-2118","-1244","-1862","-2220","-2181","-2678","-12929","-2950","-2756","-2671","-2665","-2705","-2193"
"net_income_continuing","2668","-1014","1893","3578","4968","5741","5580","7333","8052","6134","7767","6490","8041","9983","7853","8981","10739","9609","110","11621","11214","10591","11812","12613","12116"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","","","","-567","","","","","","","","","","","","","","","","","","","",""
"net_income","2668","-1014","1893","3578","4401","5741","5580","7333","8052","6134","7767","6490","8041","9983","7853","8981","10739","9609","110","11621","11214","10591","11812","12613","12116"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","2668","-1014","1893","3578","4401","5741","5580","7333","8052","6134","7767","6490","8041","9983","7853","8981","10739","9609","110","11621","11214","10591","11812","12613","12116"
