"Company: ","Citigroup Inc (C:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","61.58","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Banks","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","117002","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","129767","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","62749","64484","58939","57047","63621","75922","93611","121347","106499","76398","79282","71858","67298","62970","61683","58551","57988","61579","70828","76510","58089","50475","74408","133258","140086"
"total_interest_expense","36459","31793","21248","17271","22004","36676","55683","75958","52750","27902","25096","24209","20612","16177","13690","11921","12512","16518","24266","28382","13338","7981","25740","78358","85027"
"net_interest_income","26290","32691","37691","39776","41617","39246","37928","45389","53749","48496","54186","47649","46686","46793","47993","46630","45476","45061","46562","48128","44751","42494","48668","54900","55059"
"total_noninterest_revenue","37282","34676","33617","37666","38018","44396","48399","31911","-1652","31789","32415","29682","22504","29931","29226","29724","25321","27383","26292","26939","30743","29393","26637","23586","24061"
"revenue","63572","67367","71308","77442","79635","83642","86327","77300","52097","80285","86601","77331","69190","76724","77219","76354","70797","72444","72854","75067","75494","71887","75305","78486","79120"
"credit_losses_provision","5339","6800","9995","8046","6233","8179","6570","16982","33311","39004","25077","11387","10442","7684","6666","7182","6778","7342","7467","8310","17375","-3891","5112","9123","9483"
"net_interest_income_after_credit_losses_provision","20951","25891","27696","31730","35384","31067","31358","28407","20438","9492","29109","36262","36244","39109","41327","39448","38698","37719","39095","39818","27376","46385","43556","45777","45576"
"total_noninterest_expense","38259","39681","40882","43394","50671","46030","51268","58144","69591","49193","48340","51222","50923","49238","55852","44346","42542","42341","41942","42856","44487","48309","51386","55672","55796"
"pretax_income","19258","20432","20446","26048","22736","29433","28489","646","-52355","-7799","13184","14722","7825","19802","14701","24826","21477","22761","23445","23901","13632","27469","18807","12910","11271"
"income_tax","-7027","-7203","-6998","-8195","-6464","-9078","-7749","2546","20326","6733","-2233","-3575","-7","-6186","-7197","-7440","-6444","-29388","-5357","-4430","-2525","-5451","-3642","-3528","-3133"
"net_income_continuing","12231","13229","13448","17853","16272","20355","20740","3192","-32029","-1066","10951","11147","7818","13616","7504","17386","15033","-6627","18088","19471","11107","22018","15165","9382","8138"
"net_income_discontinued","1288","1055","1875","","992","4832","1087","708","4002","-445","-68","68","-58","270","-2","-54","-58","-111","-8","-4","-20","7","-231","-1","-1"
"net_income","13519","14126","15276","17853","17046","24589","21538","3617","-27684","-1606","10602","11067","7541","13659","7310","17242","14912","-6798","18045","19401","11047","21952","14845","9228","7993"
"preferred_dividends","119","110","83","71","68","68","64","36","1695","2988","9","26","26","194","511","769","1077","1213","1174","1109","1095","1040","1032","1198","1200"
"net_income_available_to_shareholders","13400","14016","15193","17782","16978","24521","21474","3581","-29379","-4594","10593","11041","7515","13465","6799","16473","13835","-8011","16871","18292","9952","20912","13813","8030","6793"
"eps_basic","26.9","27.9","29.9","34.9","33.2","48.4","43.9","6.8","-56.3","-7.99","3.65","3.73","2.51","4.35","2.21","5.41","4.72","-2.98","6.69","8.08","4.74","10.21","7.04","4.07","3.41"
"eps_diluted","26.2","27.2","29.4","34.2","32.6","47.5","43.1","6.7","-56.3","-7.99","3.54","3.63","2.44","4.34","2.2","5.4","4.72","-2.98","6.68","8.039999999999999","4.72","10.14","7","4.04","3.38"
"shares_basic","497.7","503.17","507.8","509.33","510.72","506.76","488.73","490.58","526.54","1156.8","2877.6","2909.8","2930.6","3035.8","3031.6","3004","2888.1","2698.5","2493.3","2249.2","2085.8","2033","1946.7","1930.1","1930.1"
"shares_diluted","512.22","514.7","516.62","519.36","520.74","516.04","498.61","492.4","576.89","1209.9","2967.8","2998.8","3015.5","3041.6","3037","3007.7","2888.3","2698.5","2494.8","2265.3","2099","2049.4","1964.3","1955.8","1955.8"
"cash_and_equiv","30785","37731","33708","40926","47445","55277","69036","107572","199584","192886","190409","184485","138587","198890","160197","133097","160494","180516","188105","193919","309615","262033","342025","260932","260932"
"loans_gross","367022","391933","447805","478006","548829","602130","706357","826285","694477","590036","647086","645807","653883","663663","643148","615007","622447","665324","682664","698098","675145","667312","656867","688994","688994"
"allowance_for_loan_losses","-8961","-10088","-11101","-12643","-11269","-9782","-8940","-16117","-29616","-36033","-40655","-30115","-25455","-19648","-15994","-12626","-12060","-12355","-12315","-12783","-24956","-16455","-16974","-18145","-18145"
"loans_net","358061","381845","436704","465363","537560","591578","697528","810419","660939","552537","605528","614577","627213","642881","625918","602546","610459","652943","670349","685315","650189","650857","639893","670849","670849"
"total_investments","252635","305741","324721","418211","493410","401151","580871","620371","518366","590013","585223","522820","578635","515099","545490","477719","507161","495692","491532","513823","647003","700253","716228","721817","721817"
"ppe_net","","","","","","","","","","","","","","","","","","","","","","24328","26253","28747","28747"
