"Company: ","Citizens Financial Group Inc (CFG:US)","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","",""
"Last Close Price: ","34.99","","","","","","","","","","","","",""
"Industry: ","Banks","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","",""
"Market Cap.: ","16103","","","","","","","","","","","","",""
"Enterprise Value: ","16672","","","","","","","","","","","","",""
"period_end_date","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","4204","3846","3501","3664","3854","4266","4920","5758","6189","5357","4851","7060","10204","10412"
"total_interest_expense","884","619","443","363","452","508","747","1226","1575","771","339","1048","3963","4372"
"net_interest_income","3320","3227","3058","3301","3402","3758","4173","4532","4614","4586","4512","6012","6241","6040"
"total_noninterest_revenue","1711","1667","1632","1390","1422","1497","1534","1596","1877","2319","2135","2040","1983","2012"
"revenue","5031","4894","4690","4691","4824","5255","5707","6128","6491","6905","6647","8052","8224","8052"
"credit_losses_provision","882","413","479","319","302","369","321","326","393","1616","-411","474","687","690"
"net_interest_income_after_credit_losses_provision","2438","2814","2579","2982","3100","3389","3852","4206","4221","2970","4923","5538","5554","5350"
"total_noninterest_expense","3371","3457","3218","3223","3209","3318","3456","3570","3835","3981","4046","4679","5403","5432"
"pretax_income","778","1024","-3468","1268","1263","1534","1912","2183","2251","1298","2977","2655","2030","1796"
"income_tax","-272","-381","42","-403","-423","-489","-260","-462","-460","-241","-658","-582","-422","-365"
"net_income_continuing","506","643","-3426","865","840","1045","1652","1721","1791","1057","2319","2073","1608","1431"
"net_income_discontinued","","","","","","","","","","","","","",""
"net_income","506","643","-3426","865","840","1045","1652","1721","1791","1057","2319","2073","1608","1431"
"preferred_dividends","","","","","7","14","14","29","73","107","113","113","117","124"
"net_income_available_to_shareholders","506","643","-3426","865","833","1031","1638","1692","1718","950","2206","1960","1491","1307"
