"Company: ","Clearway Energy Inc Class C (CWEN:US)","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","",""
"Last Close Price: ","25.76","","","","","","","","","","","","","",""
"Industry: ","Independent Power and Renewable Electricity Producers","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","",""
"Market Cap.: ","5100","","","","","","","","","","","","","",""
"Enterprise Value: ","12201","","","","","","","","","","","","","",""
"period_end_date","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","143","164","175","387","828","968","1035","1009","1053","1032","1199","1286","1190","1314","1289"
"cogs","97","103","114","148","277","323","308","326","327","337","366","451","435","473","491"
"gross_profit","46","61","61","239","551","645","727","683","726","695","833","835","755","841","798"
"sga","10","11","7","7","8","12","16","19","20","29","34","40","40","36","37"
"rnd","","","","","","","","","3","5","5","6","2","",""
"special_charges","","","","","","","","","","","","","","",""
"other_opex","16","22","25","74","233","303","303","334","336","401","428","509","512","526","552"
"total_opex","26","33","32","81","241","315","319","353","359","435","467","555","554","562","589"
"operating_income","20","28","29","158","310","330","408","330","367","260","366","280","201","279","209"
"net_interest_income_normal","-13","-19","-28","-52","-216","-267","-284","-307","-306","-404","-415","-312","-232","-337","-295"
"other_nonoperating_income","4","15","21","25","18","21","-123","25","55","40","-5","-31","1313","42","63"
"pretax_income","11","24","22","131","112","84","1","48","116","-104","-54","-63","1282","-16","-23"
"income_tax","-4","-9","-10","-8","-4","-12","1","-72","-62","8","-8","-12","-222","2","3"
"net_income_continuing","7","15","12","123","108","72","2","-24","54","-96","-62","-75","1060","-14","-20"
"net_income_discontinued","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","-96","-48","-39","51","15","-2","85","87","126","-478","93","97"
"other_income_statement_items","","","","-14","-44","","4","-7","-4","","","","","",""
"net_income","7","15","12","13","16","33","57","-16","48","-11","25","51","582","79","77"
"preferred_dividends","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","7","15","12","13","16","33","57","-16","48","-11","25","51","582","79","77"
"eps_basic","0.11","0.23","0.18","0.29","0.3","0.4","0.58","-0.16","0.46","-0.1","0.22","0.44","4.99","0.67","0.65"
"eps_diluted","0.11","0.23","0.18","0.29","0.3","0.4","0.58","-0.16","0.46","-0.1","0.22","0.44","4.99","0.67","0.65"
"shares_basic","65.25","65.25","65.25","46","56","84","98","99","104","109","115","117","117","117","117"
"shares_diluted","65.25","65.25","65.25","46","56","84","98","99","104","109","116","117","117","117","117"
"cash_and_equiv","","24","22","59","429","111","322","148","407","155","268","179","657","535","535"
"st_investments","","","","","","","","","","","","","","",""
"receivables","","50","31","209","124","118","111","108","104","118","143","144","153","345","345"
"inventories","","5","5","15","32","36","39","39","40","40","42","37","47","55","55"
"other_current_assets","","11","23","95","71","151","198","187","205","295","255","1171","419","625","625"
"total_current_assets","","90","81","378","656","416","670","482","756","608","708","1531","1276","1560","1560"
"equity_and_other_investments","","210","220","227","410","697","1152","1178","1172","1183","741","381","364","360","360"
"ppe_gross","","618","1713","2465","5613","6660","6530","6695","6835","8166","9877","10701","10972","13608","13608"
"accumulated_depreciation","","-92","-115","-174","-438","-782","-976","-1285","-1590","-1880","-2323","-2501","-3024","-3485","-3485"
"ppe_net","","526","1598","2291","5175","5878","5554","5410","5245","6286","7554","8200","7948","10123","10123"
"intangible_assets","","31","30","103","1424","1362","1303","1228","1156","1428","1370","2499","2565","2374","2374"
"goodwill","","","","","","","","","","","","","","",""
"other_lt_assets","","17","35","239","195","336","283","191","171","195","219","202","159","284","284"
"total_assets","","874","1964","3238","7860","8689","8962","8489","8500","9700","10592","12813","12312","14701","14701"
"accounts_payable","","32","192","94","68","109","63","95","64","105","89","181","77","161","161"
"tax_payable","","","","","","","","","","","","","","",""
"current_accrued_liabilities","","9","16","30","65","77","86","88","101","112","123","138","168","136","136"
"st_debt","","33","58","214","224","264","323","339","535","1824","384","772","322","558","558"
"current_deferred_revenue","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","",""
"other_current_liabilities","","60","19","31","52","39","33","18","4","16","38","540","50","51","51"
"total_current_liabilities","","134","285","369","409","489","505","540","704","2057","634","1631","617","906","906"
"lt_debt","","312","749","1569","4697","5329","5726","5659","5447","4956","6585","6939","6491","7479","7479"
"noncurrent_capital_leases","","","","","","","","","","227","345","561","548","627","627"
"pension_liabilities","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","21","4","","","","","","","","","13","119","127","127"
"other_lt_liabilities","","-367","86","48","129","133","132","131","125","198","313","369","505","568","568"
"total_liabilities","","100","1124","1986","5235","5951","6363","6330","6276","7438","7877","9513","8280","9707","9707"
"common_stock","","","840","","","1","1","1","1","1","1","1","","",""
"preferred_stock","","","","","","","","","","","","","","",""
"retained_earnings","","40","","8","3","12","-2","-69","-58","-72","-84","-33","463","361","361"
"aoci","","-15","","","-9","-27","-28","-28","-18","-15","-14","-6","9","7","7"
"apic","","362","","621","1240","1855","1879","1843","1897","1936","1922","1872","1761","1732","1732"
"treasury_stock","","","","","","","","","","","","","","",""
"other_equity","","387","","","","","","","","-1","","","","",""
"minority_interest_liability","","","","623","1391","897","749","412","402","413","890","1466","1799","2894","2894"
"total_equity","","774","840","1252","2625","2738","2599","2159","2224","2262","2715","3300","4032","4994","4994"
"total_liabilities_and_equity","","874","1964","3238","7860","8689","8962","8489","8500","9700","10592","12813","12312","14701","14701"
"cfo_net_income","7","15","12","123","108","72","2","-24","54","-96","-62","-75","1060","-14","-20"
"cfo_da","16","23","25","75","263","358","379","404","405","472","518","655","684","711","736"
"cfo_receivables","","","","","","","","","","","","","","",""
"cfo_inventory","","","","","","","","","","","","","","",""
"cfo_prepaid_expenses","","","","","","","","","","","","","","",""
"cfo_other_working_capital","11","-11","5","-63","-17","-31","3","-9","-34","-9","-46","-9","18","-70","-73"
"cfo_change_in_working_capital","11","-11","5","-63","-17","-31","3","-9","-34","-9","-46","-9","18","-70","-73"
"cfo_deferred_tax","4","9","10","8","4","12","-1","72","62","-8","8","12","194","13","14"
"cfo_stock_comp","","","","","","","","","","","","","","",""
"cfo_other_noncash_items","-2","-3","4","-23","4","14","194","74","11","118","127","118","-1169","62","51"
"cf_cfo","36","33","56","120","362","425","577","517","498","477","545","701","787","702","708"
"cfi_ppe_net","-25","-132","-564","-353","-60","-29","-20","-190","-83","-228","-124","-21","-112","-82","-304"
"cfi_acquisitions_net","-139","-88","-27","-154","-1208","-1095","-132","-276","-126","-266","-37","-486","1247","-14","-123"
"cfi_investment_net","","","","","-357","","","","","","","","","",""
"cfi_intangibles_net","","","","","","","","","","","","","","",""
"cfi_other","4","1","-3","-8","886","26","21","24","24","26","99","-358","-70","-427","-213"
"cf_cfi","-160","-219","-594","-515","-739","-1098","-131","-442","-185","-468","-62","-865","1065","-523","-640"
