"Company: ","Cognex Corporation (CGNX:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","46.66","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Electronic Equipment, Instruments & Components","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","8009","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","7731","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","250.726","140.729","114.107","150.092","201.957","216.875","238.318","225.683","242.68","175.727","290.691","321.914","324.279","307.651","426.449","450.557","529.515","766.083","806.338","725.625","811.02","1037.098","1006.09","837.547","847.22"
"cogs","53.791","62.345","39.859","50.139","57.371","62.899","64.83799999999999","64.34999999999999","68.42700000000001","56.387","77.58799999999999","77.919","79.495","62.889","94.06699999999999","102.571","131.07","187.289","206.052","189.754","206.421","277.271","284.185","236.306","247.782"
"gross_profit","196.935","78.384","74.248","99.953","144.586","153.976","173.48","161.333","174.253","119.34","213.103","243.995","244.784","244.762","332.382","347.986","398.445","578.794","600.2859999999999","535.871","604.599","759.827","721.905","601.241","599.438"
"sga","61.915","61.59","58.026","55.724","70.67400000000001","82.33199999999999","96.675","99.813","112.629","96.34999999999999","104.235","117.694","119.828","123.509","148.699","156.674","166.11","220.728","262.699","273.842","267.593","309.354","312.107","339.139","346.73"
"rnd","33.341","30.094","25.63","24.719","27.063","27.64","32.332","33.384","36.262","31.132","33.08","40.946","41.549","44.315","55.831","69.791","78.26900000000001","99.205","116.445","119.427","130.982","135.372","141.133","139.4","137.963"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","11.993","14.04","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","107.249","105.724","83.65600000000001","80.443","97.73699999999999","109.972","129.007","133.197","148.891","127.482","137.315","158.64","161.377","167.824","204.53","226.465","244.379","319.933","379.144","393.269","398.575","444.726","453.24","478.539","484.693"
"operating_income","89.68600000000001","-27.34","-9.407999999999999","19.51","46.849","44.004","44.473","28.136","25.362","-8.141999999999999","75.788","85.355","83.407","76.938","127.852","121.521","154.066","258.861","221.142","142.602","206.024","315.101","268.665","122.702","114.745"
"net_interest_income_normal","","","","","","","","","7.101","2.185","1.421","2.902","","","","","","","","","","","","",""
"other_nonoperating_income","10.532","11.669","1.204","3.738","6.311","4.242","6.104","7.986","2.905","-4.419","-1.106","-1.14","3.223","1.518","3.904","5.441","8.010999999999999","7.603","13.432","20.392","-19.113","3.799","-17.97","12.646","11.954"
"pretax_income","100.218","-15.671","-8.204000000000001","23.248","53.16","48.246","50.577","36.122","35.368","-10.376","76.10299999999999","87.117","86.63","78.456","131.756","126.962","162.077","266.464","234.574","162.994","186.911","318.9","250.695","135.348","126.699"
